Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,85517
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,80426
668804566601196,Giorgos Patoulis,Georgios Patoulis,37301
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,33547
107898832590939,European Commission,European Commission,24179
240638659452549,To Potami,To Potami,22660
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,21908
159977541380043,The President,The President,17925
31324524225,Greenpeace Greece,Greenpeace Greece,16349
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,15470
231622590274503,Η Άποψη,Evanthia Nasopoulou-Nasiopoulou,13390
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,13204
225197477683663,Ρένα Δούρου,Ρένα Δούρου,12773
192906947432657,Protagon.gr (official),Protagon.gr (official),12211
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,11301
1523771647899219,Γιώργος Χριστοφορίδης,Γιώργος Χριστοφορίδης,11166
54529589753,ActionAid Hellas,ActionAid Hellas,10217
142786442458509,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,10108
309795039074935,Vassilis Kikilias,Vassilis Kikilias,9764
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,9647
1572650866310052,Niki Kerameus,Niki Kerameus,9638
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,9637
254883792041627,In Progress,In Progress,9333
230319800467420,Ομάδα Μνήμης,In Progress,9317
109447140544937,Greece 2021,Greece 2021,9133
2273336566260671,Οι Έλληνες,In Progress,8588
284294775065460,Konstantinos Kyranakis,Konstantinos Kyranakis,8586
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,7978
