Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,35815
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,30689
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,17206
107898832590939,European Commission,European Commission,10304
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,8945
240638659452549,To Potami,To Potami,7498
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,6689
1982227018503804,Φερραίος Αλέξανδρος blog page,Alexandros Ferraios,6600
494931820680985,Αντώνης Σαουλίδης - Δικηγόρος,Αντώνης Σαουλίδης - Δικηγόρος,6237
2205467789572382,Σύνθια Ροδάνθη Σάπικα,Rodanthi Sapika,5964
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,5518
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,5255
192906947432657,Protagon.gr (official),Protagon.gr (official),4883
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,4624
31324524225,Greenpeace Greece,Greenpeace Greece,4619
159977541380043,The President,The President,4363
127082307305119,Εφημερίδα Μακεδονία,Εφημερίδα Μακεδονία,4281
115993476456791,Θεσσαλονίκη - 21ος αιώνας,These ads ran without a disclaimer,4196
254883792041627,In Progress,In Progress,3933
230319800467420,Ομάδα Μνήμης,In Progress,3770
109447140544937,Greece 2021,Greece 2021,3719
231622590274503,Η Άποψη,Evanthia Nasopoulou-Nasiopoulou,3579
2273336566260671,Οι Έλληνες,In Progress,3565
54529589753,ActionAid Hellas,ActionAid Hellas,3335
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,2942
540255419338122,Dove,"Dove, a Unilever brand",2856
181983285852386,Νίκος Ταχιάος,These ads ran without a disclaimer,2804
2383994518552744,Galamatis Dimitris,Galamatis Dimitris,2760
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,2702
1481103192022351,Theodoros Tonas,Tonas Theodoros,2517
108183264211965,UNICEF Greece,UNICEF Greece,2412
94051187805,Markos Bolaris | Μάρκος Μπόλαρης,Ilias Bolaris,2354
632938680115937,Κώστας Γιουτίκας - Kostas Gioutikas,These ads ran without a disclaimer,2338
751503651885833,Δημήτρης Κούβελας - Dimitris Kouvelas,These ads ran without a disclaimer,2330
369693523475596,INBOX,New Digital Media,2263
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,2250
328579347615625,Φιλελεύθερος,Φιλελεύθερος,2204
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),2138
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,2111
1438293789797221,ecoelastika,ecoelastika,2078
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,2078
565112637016256,dimarxos.gr,These ads ran without a disclaimer,1897
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,1873
729627343834501,Kialo,These ads ran without a disclaimer,1850
