Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,13778
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,11029
230783627111785,Θεανώ Βρέντζου - Σκορδαλάκη / Theano Vrentzou - Skordalaki,Θεανώ Βρέντζου - Σκορδαλάκη / Theano Vrentzou - Skordalaki,10537
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,6692
107898832590939,European Commission,European Commission,4250
23182996671,Ντόρα Μπακογιάννη - Dora Bakoyannis,Ντόρα Μπακογιάννη - Dora Bakoyannis,3951
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3378
1561616060574694,Χάρης Μαμουλάκης,These ads ran without a disclaimer,3082
1561616060574694,Χάρης Μαμουλάκης,Χάρης Μαμουλάκης,2717
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,2615
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,2508
1689683741064617,Πράξη Αγάπης,Πράξη Αγάπης,2158
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,1986
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,1933
31324524225,Greenpeace Greece,Greenpeace Greece,1875
134552316636,Λευτέρης Αυγενάκης,Λευτέρης Αυγενάκης,1667
263403903698764,Μανούσος Βολουδάκης,Μανούσος Βολουδάκης,1659
878694282192260,Maximos Senetakis - Μάξιμος Σενετάκης,Maximos Senetakis - Μάξιμος Σενετάκης,1632
109447140544937,Greece 2021,Greece 2021,1566
54529589753,ActionAid Hellas,ActionAid Hellas,1560
254883792041627,In Progress,In Progress,1556
886299418239270,Βασίλης Διγαλάκης - Vassilis Digalakis,These ads ran without a disclaimer,1533
192906947432657,Protagon.gr (official),Protagon.gr (official),1516
230319800467420,Ομάδα Μνήμης,In Progress,1411
159977541380043,The President,The President,1394
2273336566260671,Οι Έλληνες,In Progress,1355
494815481050497,ΗράκλειΟΝ αξίζει,Ηράκλειον Αξίζει,1144
551917914903015,ekriti.gr,ekriti.gr,1084
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,1083
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),1038
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,1018
540255419338122,Dove,"Dove, a Unilever brand",1002
108183264211965,UNICEF Greece,UNICEF Greece,886
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,853
369693523475596,INBOX,New Digital Media,850
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,815
216089191899991,Νίκος Ανδρουλάκης,Νίκος Ανδρουλάκης,787
1438293789797221,ecoelastika,ecoelastika,750
23182996671,Ντόρα Μπακογιάννη - Dora Bakoyannis,These ads ran without a disclaimer,747
738724249495865,Δύναμη Πολιτών Ηρακλείου,Δύναμη Πολιτών Hρακλείου,701
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,698
91877963116,WWF Greece,WWF Greece,692
298538796859273,Ματαλλιωτάκης Γιώργος (Matalliotakis Giorgos),These ads ran without a disclaimer,691
333635613794935,ΜέΡΑ25,ΜέΡΑ25,677
258117385131815,Νίκος Σκουλάς,These ads ran without a disclaimer,661
328579347615625,Φιλελεύθερος,Φιλελεύθερος,641
884232144944869,Coca-Cola,Coca-Cola,639
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,624
1208193765955691,Απόστολος Η. Πόντας,Απόστολος Πόντας,611
1803155206621023,Documento,Documento Media,606
605605622858447,Γιώργος Αγριμανάκης - Δημοτικός Σύμβουλος Δήμου Ηρακλείου,These ads ran without a disclaimer,603
