Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,10821
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,9355
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,5794
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3326
107898832590939,European Commission,European Commission,3143
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,2204
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,1620
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,1619
1433780063507247,Μάκης Παπαδόπουλος - Ο Τόπος Της Ζωής Μας,Μάκης Παπαδόπουλος,1575
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,1472
1476211962415668,Μακάριος Λαζαρίδης,Μακάριος Λαζαρίδης,1409
109447140544937,Greece 2021,Greece 2021,1392
192906947432657,Protagon.gr (official),Protagon.gr (official),1364
159977541380043,The President,The President,1276
254883792041627,In Progress,In Progress,1217
327810108148191,Τάνια Ελευθεριάδου - βουλευτής Καβάλας,Σουλτανα Ελευθεριαδου,1115
31324524225,Greenpeace Greece,Greenpeace Greece,1066
230319800467420,Ομάδα Μνήμης,In Progress,1024
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,1022
2273336566260671,Οι Έλληνες,In Progress,1009
54529589753,ActionAid Hellas,ActionAid Hellas,937
540255419338122,Dove,"Dove, a Unilever brand",902
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,815
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,789
1438293789797221,ecoelastika,ecoelastika,753
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,712
369693523475596,INBOX,New Digital Media,711
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),697
328579347615625,Φιλελεύθερος,Φιλελεύθερος,682
108183264211965,UNICEF Greece,UNICEF Greece,675
189670551222049,ΚΑΠ  Βαγγέλης Παππάς  Υποψήφιος Δήμαρχος Καβάλας,Κ.Α.Π,660
527150297793347,Περιφέρεια σε Δράση - Κωστής Σιμιτσής,Κωστής Σιμιτσής,640
152123234823184,"Άρης Βέρρος, επικεφαλής - δημοτικός σύμβουλος, Συμπαράταξη Πολιτών",Άρης Βέρρος,633
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,616
1803155206621023,Documento,Documento Media,608
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,592
349629809016331,Μενέλαος Μαλτέζος,These ads ran without a disclaimer,590
1425011587749373,ΗΡΩΝ,ΗΡΩΝ,586
