Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4731
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,3237
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1823
599519984038036,Αντώνης Χαρίτος,Αντωνιος Χαριτος,1570
107898832590939,European Commission,European Commission,1402
31324524225,Greenpeace Greece,Greenpeace Greece,1091
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,863
1730497350381866,Μαριλένα Μάστορα,These ads ran without a disclaimer,839
109447140544937,Greece 2021,Greece 2021,739
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,620
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,588
54529589753,ActionAid Hellas,ActionAid Hellas,573
159977541380043,The President,The President,566
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,564
192906947432657,Protagon.gr (official),Protagon.gr (official),544
1438293789797221,ecoelastika,ecoelastika,447
254883792041627,In Progress,In Progress,434
425177148292524,Περιφερειακή Ενότητα Κεφαλονιάς & Ιθάκης,These ads ran without a disclaimer,432
168168133914310,Στέφανος Σωτ. Γκίκας,These ads ran without a disclaimer,399
2273336566260671,Οι Έλληνες,In Progress,392
230319800467420,Ομάδα Μνήμης,In Progress,388
604830393301751,Πρώτα η Κέρκυρα,These ads ran without a disclaimer,385
318454308303412,Νικολουδάκης Αντώνης,Antonios Nikoloudakis,366
318454308303412,Νικολουδάκης Αντώνης,These ads ran without a disclaimer,354
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,329
2095807224051935,Γερασιμούλα Π. Θεοδωρακάτου,These ads ran without a disclaimer,322
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,315
1536398560005004,Εφημερίδα Ημέρα - Imera newspaper,These ads ran without a disclaimer,297
540255419338122,Dove,"Dove, a Unilever brand",297
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,292
108183264211965,UNICEF Greece,UNICEF Greece,289
328579347615625,Φιλελεύθερος,Φιλελεύθερος,284
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,282
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,280
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),278
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,270
91877963116,WWF Greece,WWF Greece,269
615833012217686,Δημοκρατική Συνεργασία για το Νότο.,These ads ran without a disclaimer,264
1539775006287948,"Σπύρος Κροκίδης, Κέρκυρα",Σπυριδων Κροκιδης,256
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,252
1803155206621023,Documento,Documento Media,232
528797520505550,Δημήτρης Παπαδημούλης I Dimitris Papadimoulis,Dimitrios Papadimoulis,219
2271418643120711,Giannis Vradis,These ads ran without a disclaimer,213
