Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4115
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,2980
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1793
107898832590939,European Commission,European Commission,1461
109447140544937,Greece 2021,Greece 2021,1095
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,942
212250018798244,Νότης Μηταράκης (Notis Mitarachi),Νότης Μηταράκης (Notis Mitarachi),749
212250018798244,Νότης Μηταράκης (Notis Mitarachi),These ads ran without a disclaimer,552
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,551
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,545
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,530
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,473
159977541380043,The President,The President,463
192906947432657,Protagon.gr (official),Protagon.gr (official),457
31324524225,Greenpeace Greece,Greenpeace Greece,456
54529589753,ActionAid Hellas,ActionAid Hellas,443
254883792041627,In Progress,In Progress,396
1796286800600041,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,363
2273336566260671,Οι Έλληνες,In Progress,354
230319800467420,Ομάδα Μνήμης,In Progress,343
1438293789797221,ecoelastika,ecoelastika,340
103032231289361,Συντονιστική  Επιτροπή Αγώνα Αιρετών και Κατοίκων της Χίου,Γιάννης Μισετζής,333
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,319
347692235990760,ΣυμμαΧία Αξιών - Κώστας Τριαντάφυλλος,These ads ran without a disclaimer,304
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,300
345105299517369,Χριστόδουλος Στεφανάδης -  Βουλευτής Ν.Σάμου,These ads ran without a disclaimer,296
1970779819866623,Kostas Dervos,Kostas Dervos,295
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),288
540255419338122,Dove,"Dove, a Unilever brand",287
108183264211965,UNICEF Greece,UNICEF Greece,281
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,269
328579347615625,Φιλελεύθερος,Φιλελεύθερος,250
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,247
91877963116,WWF Greece,WWF Greece,237
186974508081005,Γιώργος Καμίνης,Georgios Kaminis,236
1520804594812977,Γιάννης Μπουρνούς - Yiannis Bournous,Ioannis Bournous,233
369693523475596,INBOX,New Digital Media,232
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,226
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,223
1803155206621023,Documento,Documento Media,222
1520804594812977,Γιάννης Μπουρνούς - Yiannis Bournous,These ads ran without a disclaimer,218
282059189113208,Στο Νησί,These ads ran without a disclaimer,200
1425011587749373,ΗΡΩΝ,ΗΡΩΝ,191
345265419428174,Γεώργιος Φ. Διονυσίου,These ads ran without a disclaimer,190
528797520505550,Δημήτρης Παπαδημούλης I Dimitris Papadimoulis,Dimitrios Papadimoulis,178
884232144944869,Coca-Cola,Coca-Cola,178
371502160052057,Μένουμε δυνατοί,ΚΚΕ,177
1810483529251990,ΔΕΗ Α.Ε.,These ads ran without a disclaimer,176
1748153855406537,vradini.gr,vradini.gr,173
216089191899991,Νίκος Ανδρουλάκης,Νίκος Ανδρουλάκης,167
2245032148843299,Nikos Papandreou,Nikos Papandreou,164
768996799785550,Παύλος Ελευθεριάδης,Pavlos Eleftheriadis,164
248309308515494,Ίδρυμα Ωνάση / Onassis Foundation,Ίδρυμα Ωνάση / Onassis Foundation,155
134135906635470,newsbomb.gr,newsbomb.gr,155
239059192856378,parapolitika.gr,parapolitika.gr,149
511603515593150,Nestlé,Nestlé,142
1689683741064617,Πράξη Αγάπης,Πράξη Αγάπης,139
1645903788996329,liberal.gr,liberal.gr,138
462297943960823,Πλεύση Ελευθερίας,Πλεύση Ελευθερίας,136
540653716458457,Labros Palantzas / Λάμπρος Παλάντζας,Lampros Palantzas,132
117072912198,protothema.gr,protothema.gr,131
1867952363274780,economico.gr,Theodoros Kaloudis,131
142786442458509,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,131
240638659452549,To Potami,To Potami,129
831092343941016,Dimitrios Gomos,These ads ran without a disclaimer,125
2361393570538816,newsbreak.gr,newsbreak.gr,121
309095606378306,Παναγιώτης Χριστόφας - Panagiotis Christofas,Quidro Web & Media,119
104999117631014,Trelanemas.gr,Trelanemas.gr,117
105109546186973,TA NEA,Alter Ego Media,116
729627343834501,Kialo,These ads ran without a disclaimer,116
309095606378306,Παναγιώτης Χριστόφας - Panagiotis Christofas,These ads ran without a disclaimer,115
13721812367,Eva Kaili,Eva Kaili,115
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,114
2212837805653569,Χριστίνα Τσιλιγκίρη / Christina Tsiligkiri,Christina Tsiligkiri,114
67561345728,Fofi Gennimata,Κίνημα Αλλαγής,113
101208938155181,QuickenLaw Νομικοί Σύμβουλοι,These ads ran without a disclaimer,113
147547541961576,Council of the European Union,Council of the European Union,112
106952522717824,Iefimerida,iefimerida,110
166028460704464,Law&Order,Law&Order,109
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,109
2266638883578251,Κώστας Αστυρακάκης "Επανεκκίνηση",These ads ran without a disclaimer,108
339741359534555,Katerina Panagopoulos,These ads ran without a disclaimer,106
101818184760634,Ελλάδα Χωρίς Πλαστικά Μίας Χρήσης,SupFreeGreece,105
226397774096827,Δημιουργία Ξανά,Δημιουργία Ξανά,104
381579661926927,RP.GR,Spyridon Rizopoulos,104
230852653624004,Στέλιος Κούλογλου - Stelios Kouloglou,Στέλιος Κούλογλου,101
1340416019467671,Νάσος Γιακαλής,Νάσος Γιακαλής,≤100
357567421559428,Newsique,Emmanouil Kaklamanos,≤100
141366725876424,European Greens,European Greens,≤100
195279033847869,ΑΒ Βασιλόπουλος,ΑΒ Βασιλόπουλος,≤100
101137087979209,seventhgenerationgr,"Seventh Generation, a Unilever brand",≤100
1236719233006589,PeopleCert Education,These ads ran without a disclaimer,≤100
235332330007800,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,≤100
96558369375,Εμπορικός Σύλλογος Αθηνών,Εμπορικός Σύλλογος Αθηνών,≤100
1949870255322243,Cruel,In Progress,≤100
159977541380043,The President,These ads ran without a disclaimer,≤100
295707953817867,LesvosPost.com,These ads ran without a disclaimer,≤100
1102181443166866,Γιώργος Πάλλης - Giorgos Pallis,These ads ran without a disclaimer,≤100
130154107009856,UNHCR GREECE,UNHCR GREECE,≤100
400617333831528,Κώστας Βεργίνας,These ads ran without a disclaimer,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
1632988056952632,Ιωάννης Σαρακιώτης • Ioannis Sarakiotis,Ιωάννης Σαρακιώτης • Ioannis Sarakiotis,≤100
321412505438775,Ιωάννα Καραγιάννη,Ioanna Karagianni,≤100
104299506270374,Euro2day,Euro2day,≤100
150398005058111,ASD Account Financial Advisor SA,Mairi Dimoula,≤100
2249028181983165,Alexis Mitropoulos,These ads ran without a disclaimer,≤100
111254140378170,ΟΛΕ - Όλοι Ενωμένοι,Oloi Enomenoi,≤100
80258823622,Evaggelos Venizelos,Evaggelos Venizelos,≤100
323456224972682,Στέλιος Κυμπουρόπουλος,Στέλιος Κυμπουρόπουλος,≤100
443842809693601,Βασιλική Λαζαράκου,Βασιλική Λαζαράκου,≤100
68078766209,Public,Public,≤100
333635613794935,ΜέΡΑ25,ΜέΡΑ25,≤100
412207436231536,Γιώργος Νικητιάδης,Georgios Nikitiadis,≤100
184884834877395,Tovimagr,Alter Ego Media,≤100
521189744638510,Κίνημα Υπέρβαση,Γεωργιος Κοντος,≤100
195643347979465,Ioannis Vardakastanis,Ioannis Vardakastanis,≤100
665353683916657,Giwrgos Petrellis,These ads ran without a disclaimer,≤100
1886449184996763,EliteBoutique,These ads ran without a disclaimer,≤100
990976074263449,The Indicator,The Indicator,≤100
2152799581481416,Δήμος Δυτικής Σάμου-Municipality of Western Samos,These ads ran without a disclaimer,≤100
305998399465211,Νίκος Δένδιας,Νίκος Δένδιας,≤100
224407310782,Εκδόσεις Διόπτρα - Dioptra Publications,Εκδόσεις Διόπτρα,≤100
91157111480,news247.gr,news247.gr,≤100
383369342003599,Green Mission,Green Mission,≤100
1758118501156962,Υπουργείο Εσωτερικών,These ads ran without a disclaimer,≤100
2292065661122369,Τσουπής Παναγιώτης,These ads ran without a disclaimer,≤100
1394997234118853,Άννα Μισέλ Ασημακοπούλου - Anna Michelle Asimakopoulou,Άννα Μισέλ Ασημακοπούλου,≤100
773135603029457,Love Beauty and Planet GR,"Love Beauty and Planet GR, a Unilever brand",≤100
1523771647899219,Γιώργος Χριστοφορίδης,Γιώργος Χριστοφορίδης,≤100
253581075582399,Μιχάλης Αγγελόπουλος,Michalis Angelopoulos,≤100
488881447893898,Parizianista,These ads ran without a disclaimer,≤100
689308668149675,Γιώργος Αμέντας,Dafni Mytiglaki,≤100
1922448441148089,Οι Άριστοι,In Progress,≤100
674103179323981,Μίνα Καούνη & Συνεργάτες,Μίνα Καούνη & Συνεργάτες,≤100
841244745994599,E-κύκλος,KYKLOS IDEON GIA THN ETHNIKI ANASIGKROTISSI,≤100
186848962521,www.capital.gr,www.capital.gr,≤100
232855570573144,Ίδρυμα Vodafone,These ads ran without a disclaimer,≤100
1413834448867079,George Kyrtsos - Γιώργος Κύρτσος,DigitalWise Agency,≤100
344396292816360,Βίκυ Φλέσσα -Vicky Flessa,Pulse and Opinion S.A.,≤100
1533927046820932,Astraparis,Ioannis Stevis,≤100
413481085342507,Lidl Hellas,These ads ran without a disclaimer,≤100
1208193765955691,Απόστολος Η. Πόντας,Απόστολος Πόντας,≤100
15087023444,Nike,These ads ran without a disclaimer,≤100
162281617279086,Popaganda,Popaganda,≤100
105607473329002,GPO - Greek Public Opinion,Greek Public Opinion,≤100
222713424521765,Novalac.gr,These ads ran without a disclaimer,≤100
126822114784105,Voxpop Analysis,Ιωάννης Απόστολος Σκλίας,≤100
109910114134172,Emfietzoglou Prodromos,Georgios Kourtelis,≤100
177141002834880,Enel Green Power,Enel Green Power,≤100
527829243999074,Πρωτοβουλία για τη Χίο,These ads ran without a disclaimer,≤100
379350912849023,Όλοι μαζί για τη Σάμο,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
627330267312880,Vouliwatch,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1561616060574694,Χάρης Μαμουλάκης,Χάρης Μαμουλάκης,≤100
615448205135697,Ypervasi TV,Γεωργιος Κοντος,≤100
293918447422796,Γιάννης N. Mισετζής,Γιάννης Μισετζής,≤100
104172728093075,TERNA ENERGY,Terna Energy,≤100
311429699524367,Νικόλαος Χ. Καπτανής-Υποψήφιος Δημ. Σύμβουλος Μυτιλήνης με Δύναμη Ενότητας,These ads ran without a disclaimer,≤100
