Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,8581
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,6415
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3883
107898832590939,European Commission,European Commission,2617
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2026
401979686644217,Μίλτος Χρυσομάλλης,Miltiadis Chrysomallis,1905
109447140544937,Greece 2021,Greece 2021,1767
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,1292
1053731898051818,Πιπίνα Π. Κουμάντου,Παναγιωτα Κουμαντου,1262
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,1160
159977541380043,The President,The President,1129
402620960334011,Σόνια Τάνταρου Κρίγγου,Θεοδοσια Τανταρου,1092
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,1090
192906947432657,Protagon.gr (official),Protagon.gr (official),1085
651704324941711,Γερονικολός Μενέλαος / Geronikolos Menelaos,Menelaos Geronikolos,1072
743353205696144,Πέτρος Τατούλης,These ads ran without a disclaimer,1014
31324524225,Greenpeace Greece,Greenpeace Greece,962
254883792041627,In Progress,In Progress,923
627249040690694,Παναγιώτης Ε. Νίκας,Παναγιώτης Ε. Νίκας,898
54529589753,ActionAid Hellas,ActionAid Hellas,832
230319800467420,Ομάδα Μνήμης,In Progress,822
2273336566260671,Οι Έλληνες,In Progress,807
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,750
965450110143851,Adequate Consulting,Adequate,735
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,722
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,686
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,684
1438293789797221,ecoelastika,ecoelastika,682
328579347615625,Φιλελεύθερος,Φιλελεύθερος,676
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,675
226397774096827,Δημιουργία Ξανά,Δημιουργία Ξανά,640
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,617
540255419338122,Dove,"Dove, a Unilever brand",616
108183264211965,UNICEF Greece,UNICEF Greece,541
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),539
650820388683787,Αναστάσιος Γανώσης,These ads ran without a disclaimer,518
1970779819866623,Kostas Dervos,Kostas Dervos,517
1803155206621023,Documento,Documento Media,514
1717719938515504,Ανοιχτός Δήμος - Ενεργοί Πολίτες Καλαμάτας,These ads ran without a disclaimer,509
369693523475596,INBOX,New Digital Media,494
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,458
528797520505550,Δημήτρης Παπαδημούλης I Dimitris Papadimoulis,Dimitrios Papadimoulis,439
296107141177054,Alexis Charitsis - Αλέξης Χαρίτσης,Αλέξης Χαρίτσης,439
1425011587749373,ΗΡΩΝ,ΗΡΩΝ,413
1748153855406537,vradini.gr,vradini.gr,408
91877963116,WWF Greece,WWF Greece,408
