Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,11304
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,10181
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,5851
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3396
107898832590939,European Commission,European Commission,3389
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,2286
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,2275
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,1752
192906947432657,Protagon.gr (official),Protagon.gr (official),1654
1420129114945539,Αθανάσιος Λιούτας Βουλευτής Ν. Τρικάλων,Αθανάσιος Λιούτας - Υποψήφιος Βουλευτής Ν. Τρικάλων ΝΔ,1647
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,1507
109447140544937,Greece 2021,Greece 2021,1457
159977541380043,The President,The President,1422
254883792041627,In Progress,In Progress,1328
1584288081801850,Χρήστος Μπουκώρος Βουλευτής Ν.Μαγνησίας,These ads ran without a disclaimer,1307
230319800467420,Ομάδα Μνήμης,In Progress,1244
31324524225,Greenpeace Greece,Greenpeace Greece,1205
2273336566260671,Οι Έλληνες,In Progress,1191
54529589753,ActionAid Hellas,ActionAid Hellas,1073
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,1056
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,1039
540255419338122,Dove,"Dove, a Unilever brand",963
328579347615625,Φιλελεύθερος,Φιλελεύθερος,943
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,938
1438293789797221,ecoelastika,ecoelastika,896
706654046051746,Κωνσταντίνος Αγόρης / Konstantinos Agoris,Konstantinos Agoris,867
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,822
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,817
108183264211965,UNICEF Greece,UNICEF Greece,769
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),743
1803155206621023,Documento,Documento Media,722
369693523475596,INBOX,New Digital Media,688
639821096138707,Αντιδημαρχία Πολιτισμού και Επιστημών Δήμου Λαρισαίων,These ads ran without a disclaimer,683
1425011587749373,ΗΡΩΝ,ΗΡΩΝ,636
134135906635470,newsbomb.gr,newsbomb.gr,635
1748153855406537,vradini.gr,vradini.gr,580
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,576
528797520505550,Δημήτρης Παπαδημούλης I Dimitris Papadimoulis,Dimitrios Papadimoulis,558
768996799785550,Παύλος Ελευθεριάδης,Pavlos Eleftheriadis,547
91877963116,WWF Greece,WWF Greece,538
239059192856378,parapolitika.gr,parapolitika.gr,534
1417294345190837,Ανεξάρτητη Προοδευτική Συμμαχία Πολιτών Καρδίτσας,These ads ran without a disclaimer,528
1810483529251990,ΔΕΗ Α.Ε.,These ads ran without a disclaimer,517
540653716458457,Labros Palantzas / Λάμπρος Παλάντζας,Lampros Palantzas,508
884232144944869,Coca-Cola,Coca-Cola,489
511603515593150,Nestlé,Nestlé,471
117072912198,protothema.gr,protothema.gr,468
729627343834501,Kialo,These ads ran without a disclaimer,466
2224002347855382,Ανδρέας Ν. Δογκάκης,These ads ran without a disclaimer,459
1645903788996329,liberal.gr,liberal.gr,452
439046506142516,Αλέξανδρος Μεϊκόπουλος • Alexandros Meikopoulos,Alexandros Meikopoulos,439
1584288081801850,Χρήστος Μπουκώρος Βουλευτής Ν.Μαγνησίας,Christos Boukoros,435
1970779819866623,Kostas Dervos,Kostas Dervos,428
142786442458509,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,422
248309308515494,Ίδρυμα Ωνάση / Onassis Foundation,Ίδρυμα Ωνάση / Onassis Foundation,410
106952522717824,Iefimerida,iefimerida,407
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,400
371502160052057,Μένουμε δυνατοί,ΚΚΕ,398
240638659452549,To Potami,To Potami,397
216089191899991,Νίκος Ανδρουλάκης,Νίκος Ανδρουλάκης,384
2245032148843299,Nikos Papandreou,Nikos Papandreou,382
443842809693601,Βασιλική Λαζαράκου,Βασιλική Λαζαράκου,382
1867952363274780,economico.gr,Theodoros Kaloudis,380
101137087979209,seventhgenerationgr,"Seventh Generation, a Unilever brand",378
