Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1682369295364121,Απόστολος Βεσυρόπουλος,These ads ran without a disclaimer,≤100
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,≤100
127507727286766,Γιάννης Καραγιάννης - Ioannis Karagiannis,These ads ran without a disclaimer,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
195643347979465,Ioannis Vardakastanis,These ads ran without a disclaimer,≤100
107898832590939,European Commission,European Commission,≤100
126822114784105,Voxpop Analysis,Ιωάννης Απόστολος Σκλίας,≤100
409494612982826,Φώτης Κουτσουπιάς,These ads ran without a disclaimer,≤100
306956756634577,Σγουράκης Σταμάτης-Αποκόρωνας Ενότητα Ελπίδα Προοπτική,These ads ran without a disclaimer,≤100
333895330613134,Λάζαρος Τσαβδαρίδης - Βουλευτής ΝΔ Ημαθίας,These ads ran without a disclaimer,≤100
956206111434059,Σκαρτσάρης Ανδρέας,These ads ran without a disclaimer,≤100
639591159827848,Γιώργος Αναστασιάδης,These ads ran without a disclaimer,≤100
393762801206065,Πέτρος Ν. Πετρής-Υποψήφιος δημοτικός σύμβουλος,These ads ran without a disclaimer,≤100
178362315106,European Parliament,European Parliament,≤100
385625388925897,Δημήτρης Χαματζόγλου,These ads ran without a disclaimer,≤100
352726181581226,Φρόσω Καρασαρλίδου,Effrosyni Karasarlidou,≤100
31324524225,Greenpeace Greece,Greenpeace Greece,≤100
140247186053373,Όλγα Κεφαλογιάννη / Olga Kefalogianni,Όλγα Κεφαλογιάννη / Olga Kefalogianni,≤100
832766380123763,Κατερινα Μαρκου,These ads ran without a disclaimer,≤100
412343665635401,Giannis Oikonomou,Ιωαννης Οικονομου,≤100
161951727170444,Θεοδόσης Πελεγρίνης,These ads ran without a disclaimer,≤100
863701927325695,Σοφία Θεολογίτου,These ads ran without a disclaimer,≤100
235332330007800,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,≤100
918665584992305,Erik Miltiadis Edman,These ads ran without a disclaimer,≤100
650820388683787,Αναστάσιος Γανώσης,These ads ran without a disclaimer,≤100
1473711802662072,The gallery  Οργάνωση εκδηλώσεων ανάπτυξη πολιτισμού,These ads ran without a disclaimer,≤100
1222123337968826,Ποιοτική Αιγιάλεια- Βασιλική Ψυχράμη,These ads ran without a disclaimer,≤100
396101231114983,Μαρία Ζωγράφου-Τσαντάκη,These ads ran without a disclaimer,≤100
369693523475596,INBOX,New Digital Media,≤100
169980137712,Theodoros Theodoridis,These ads ran without a disclaimer,≤100
1306987025984296,Σπήλιος Λιβανός,These ads ran without a disclaimer,≤100
511556309330155,Αντώνης Καμπουράκης,These ads ran without a disclaimer,≤100
296107141177054,Alexis Charitsis - Αλέξης Χαρίτσης,Alexis Charitsis - Αλέξης Χαρίτσης,≤100
158233651450504,Rabet,These ads ran without a disclaimer,≤100
1393598414244222,Παναγιωτης Ψωμιαδης,These ads ran without a disclaimer,≤100
322928891749288,Δημήτριος Μελάς,These ads ran without a disclaimer,≤100
1691552761062869,Κίνημα Χριστιανικής Δημοκρατίας,These ads ran without a disclaimer,≤100
551418815068551,Sakis Ioannidis,These ads ran without a disclaimer,≤100
575669316265506,Μαρία Αρβανιτίδου - Δημοτική Σύμβουλος Δήμου Θεσσαλονίκης,These ads ran without a disclaimer,≤100
2295653707418221,"Μακρίδης Φώτιος, Υποψήφιος Βουλευτής Ν. Πέλλας",These ads ran without a disclaimer,≤100
148030566117538,Απόστολος Δ. Παπαδούλης - Υποψήφιος Δήμαρχος Βόλου,These ads ran without a disclaimer,≤100
365092757566611,Δημήτρης Παπαθανάσης - Dimitris Papathanasis,These ads ran without a disclaimer,≤100
1509906355898593,Brooks Brothers,These ads ran without a disclaimer,≤100
106640404652,Athena Korka - Αθηνά Κόρκα,These ads ran without a disclaimer,≤100
