Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4670
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,3675
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2498
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1676
107898832590939,European Commission,European Commission,1383
1492929560841573,Στέργιος Μεν. Κιάνας,These ads ran without a disclaimer,771
504891253213373,Κίνημα Αλλαγής,Κίνημα Αλλαγής,750
117261614999869,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,Γραφείο του Ευρωπαϊκού Κοινοβουλίου στην Ελλάδα,660
159977541380043,The President,The President,648
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,640
343233902394715,Ανεξάρτητοι 'Ελληνες,Start Business Hellas,627
192906947432657,Protagon.gr (official),Protagon.gr (official),621
109447140544937,Greece 2021,Greece 2021,600
254883792041627,In Progress,In Progress,561
364661944164044,Ανδρέας Πάτσης,These ads ran without a disclaimer,535
2273336566260671,Οι Έλληνες,In Progress,506
230319800467420,Ομάδα Μνήμης,In Progress,488
540653716458457,Labros Palantzas / Λάμπρος Παλάντζας,Lampros Palantzas,477
31324524225,Greenpeace Greece,Greenpeace Greece,425
207373442616924,Ευρωπαϊκή Επιτροπή στην Ελλάδα,Ευρωπαϊκή Επιτροπή στην Ελλάδα,410
1438293789797221,ecoelastika,ecoelastika,401
54529589753,ActionAid Hellas,ActionAid Hellas,398
540255419338122,Dove,"Dove, a Unilever brand",373
311791572779718,Thodoris Kalabokis,Thodoris Kalabokis,370
328579347615625,Φιλελεύθερος,Φιλελεύθερος,360
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,353
111836563539156,Τάκης Θεοδωρικάκος - Takis Theodorikakos,Takis Theodorikakos,345
1803155206621023,Documento,Documento Media,327
2900340223524662,Γιώργος Αμανατίδης - Giorgos Amanatidis,These ads ran without a disclaimer,306
108183264211965,UNICEF Greece,UNICEF Greece,299
369693523475596,INBOX,New Digital Media,287
234040963454964,Πέτρος Κόκκαλης - Petros Kokkalis,Πέτρος Κόκκαλης - Petros Kokkalis,281
352723815813,Γιατροί Χωρίς Σύνορα (MSF),Médecins Sans Frontières Greece (MSF)| Γιατροί Χωρίς Σύνορα (ΓΧΣ),276
103017518234414,Μπαράκ Ομπάμα: Γη Της Επαγγελίας,Obamabook.gr,266
1425011587749373,ΗΡΩΝ,ΗΡΩΝ,261
1401940050103840,Τελιγιορίδου Ολυμπία -Βουλευτής Καστοριάς - Συριζα,These ads ran without a disclaimer,255
91877963116,WWF Greece,WWF Greece,251
1401940050103840,Τελιγιορίδου Ολυμπία -Βουλευτής Καστοριάς - Συριζα,Olympia Teligioridou,247
528797520505550,Δημήτρης Παπαδημούλης I Dimitris Papadimoulis,Dimitrios Papadimoulis,242
134135906635470,newsbomb.gr,newsbomb.gr,233
1748153855406537,vradini.gr,vradini.gr,231
2234905403234467,Κώστας Βασιλείου Αντιδήμαρχος Φλώρινας,These ads ran without a disclaimer,228
289210077762825,Orizontes Press,These ads ran without a disclaimer,223
239059192856378,parapolitika.gr,parapolitika.gr,214
768996799785550,Παύλος Ελευθεριάδης,Pavlos Eleftheriadis,206
1810483529251990,ΔΕΗ Α.Ε.,These ads ran without a disclaimer,206
1645903788996329,liberal.gr,liberal.gr,197
884232144944869,Coca-Cola,Coca-Cola,196
1970779819866623,Kostas Dervos,Kostas Dervos,194
216089191899991,Νίκος Ανδρουλάκης,Νίκος Ανδρουλάκης,187
511603515593150,Nestlé,Nestlé,184
117072912198,protothema.gr,protothema.gr,183
396463891188421,Γιάννης Αβραμίδης,These ads ran without a disclaimer,178
729627343834501,Kialo,These ads ran without a disclaimer,178
67561345728,Fofi Gennimata,Κίνημα Αλλαγής,176
1054613224709214,Στέλλα Θεοχάρη -  Stella Theohari Υποψήφια Βουλευτής ΠΕ Κοζάνης-ΣΥΡΙΖΑ,These ads ran without a disclaimer,172
248309308515494,Ίδρυμα Ωνάση / Onassis Foundation,Ίδρυμα Ωνάση / Onassis Foundation,168
462297943960823,Πλεύση Ελευθερίας,Πλεύση Ελευθερίας,167
357567421559428,Newsique,Emmanouil Kaklamanos,165
165710610795923,Δημήτρης Καιρίδης-Dimitris Kairidis,Dimitrios Kairidis,163
240638659452549,To Potami,To Potami,162
1689683741064617,Πράξη Αγάπης,Πράξη Αγάπης,161
1867952363274780,economico.gr,Theodoros Kaloudis,161
106952522717824,Iefimerida,iefimerida,160
381579661926927,RP.GR,Spyridon Rizopoulos,157
2245032148843299,Nikos Papandreou,Nikos Papandreou,157
371502160052057,Μένουμε δυνατοί,ΚΚΕ,153
337788662974718,"Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής",Επαμεινωνδας Μαριας,150
235332330007800,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,Θοδωρής Ζαγοράκης / Thodoris Zagorakis,148
159977541380043,The President,These ads ran without a disclaimer,146
142786442458509,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,Στέγη Ιδρύματος Ωνάση / Οnassis Cultural Centre Athens,146
166028460704464,Law&Order,Law&Order,145
230852653624004,Στέλιος Κούλογλου - Stelios Kouloglou,Στέλιος Κούλογλου,143
104999117631014,Trelanemas.gr,Trelanemas.gr,134
101137087979209,seventhgenerationgr,"Seventh Generation, a Unilever brand",131
423211294908947,Σωκράτης Μπουρινάρης - υποψήφιος Δήμαρχος Άργους Ορεστικού,These ads ran without a disclaimer,126
352726181581226,Φρόσω Καρασαρλίδου,Effrosyni Karasarlidou,125
105109546186973,TA NEA,Alter Ego Media,124
339741359534555,Katerina Panagopoulos,These ads ran without a disclaimer,123
104299506270374,Euro2day,Euro2day,122
186974508081005,Γιώργος Καμίνης,Georgios Kaminis,121
1949870255322243,Cruel,In Progress,121
443842809693601,Βασιλική Λαζαράκου,Βασιλική Λαζαράκου,119
195279033847869,ΑΒ Βασιλόπουλος,ΑΒ Βασιλόπουλος,119
13721812367,Eva Kaili,Eva Kaili,116
127082307305119,Εφημερίδα Μακεδονία,Εφημερίδα Μακεδονία,116
409494612982826,Φώτης Κουτσουπιάς,These ads ran without a disclaimer,116
866035200090418,Νίκη Τζαβέλα - Niki Tzavela Official,Φερονικη Τζαβελα,115
412207436231536,Γιώργος Νικητιάδης,Georgios Nikitiadis,114
796453027383327,Ραφαηλίδης Αναστάσιος - Δημοτικός Σύμβουλος Κοζάνης,These ads ran without a disclaimer,114
2361393570538816,newsbreak.gr,newsbreak.gr,112
747061278686088,Ευάγγελος Σημανδράκος,Evangelos Simandrakos,110
96558369375,Εμπορικός Σύλλογος Αθηνών,Εμπορικός Σύλλογος Αθηνών,110
323456224972682,Στέλιος Κυμπουρόπουλος,Στέλιος Κυμπουρόπουλος,108
316614365714226,Σοφία Φουδούλη Τζώτζη,These ads ran without a disclaimer,108
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,107
231622590274503,Η Άποψη,Evanthia Nasopoulou-Nasiopoulou,107
990976074263449,The Indicator,The Indicator,106
165737600104399,ΑΚΡΙΤΙΔΗΣ ΠΟΛΥΧΡΟΝΗΣ (ΧΡΟΝΗΣ),These ads ran without a disclaimer,105
80258823622,Evaggelos Venizelos,Evaggelos Venizelos,≤100
