Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,1590
178362315106,European Parliament,European Parliament,1555
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,1505
308327622557496,Valentin Dujmović,Hrvatska narodna stranka - liberalni demokrati (HNS),1328
1575164029415898,Zoran Milanović,Zoran Milanović,1185
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,936
1547834282153752,Srđ je grad,Možemo - politička platforma,890
107898832590939,European Commission,European Commission,843
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,836
129634970518,SDP Hrvatske,SDP Hrvatske,637
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,545
688325737947866,Telegram.hr,Telegram.hr,449
712037602308181,Robert Pauletić Pravi glas Dalmacije,Robert Pauletić,433
106928174232844,Domovinski pokret,Domovinski pokret,387
1547834282153752,Srđ je grad,Igor Miosic,338
127718107295530,Miroslav Škoro,Miroslav Škoro,312
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,310
104762641204910,Mirna Kovačić,Mirna Kovačić,284
103757233129920,Božo Petrov,MOST nezavisnih lista,282
122081620813,DNEVNIK.hr,NOVA TV,277
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,254
1781165065440754,N1 Hrvatska,N1 Hrvatska,247
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,238
241209912952970,SDP Dubrovnik,SDP Hrvatske,231
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,200
633028036739134,Andrej Plenković,Andrej Plenković,199
144815235686385,Centar,Pametno,194
198365754440754,Mato Frankovic,These ads ran without a disclaimer,190
230457220694091,Nikola Dobroslavić,HDZ - Hrvatska demokratska zajednica,189
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,183
165908423840461,Marija Vučković,HDZ - Hrvatska demokratska zajednica,175
102511101494804,Branko Bačić,HDZ - Hrvatska demokratska zajednica,169
140693889702485,Hrvatskadanas,Hrvatskadanas,160
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,156
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,156
198365754440754,Mato Frankovic,HDZ - Hrvatska demokratska zajednica,152
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,148
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,147
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",141
161469323948491,HNS Dubrovačko-neretvanske županije,Hrvatska narodna stranka - liberalni demokrati (HNS),141
1487935214842281,Faktograf.hr,Faktograf.hr,140
1252295741481540,Miro Bulj,MOST nezavisnih lista,132
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,122
141366725876424,European Greens,European Greens,121
389724134384503,Davor Bernardić,SDP Hrvatske,120
