Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,3079
178362315106,European Parliament,European Parliament,2893
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,2764
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,2488
34840143543,Boris Miletić,Boris Miletić,2277
1575164029415898,Zoran Milanović,Zoran Milanović,1987
441675022557503,Valter Flego,Valter Flego,1842
107898832590939,European Commission,European Commission,1574
61662918960,IDS - Istarski Demokratski Sabor,IDS - Istarski Demokratski Sabor,1231
770459529655215,Radnička Fronta,Radnička Fronta,1199
129634970518,SDP Hrvatske,SDP Hrvatske,1182
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,1182
688325737947866,Telegram.hr,Telegram.hr,820
100431345139502,Marin Lerotić,Marin Lerotić,725
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,685
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,616
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,565
814276785317917,Radnička fronta Istra i Kvarner,Radnička fronta Istra i Kvarner,512
122081620813,DNEVNIK.hr,NOVA TV,506
106928174232844,Domovinski pokret,Domovinski pokret,488
1781165065440754,N1 Hrvatska,N1 Hrvatska,481
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,417
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,403
633028036739134,Andrej Plenković,Andrej Plenković,384
528846604195065,Demokrati,Demokrati,378
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,377
127718107295530,Miroslav Škoro,Miroslav Škoro,376
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,328
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,326
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,326
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,317
1487935214842281,Faktograf.hr,Faktograf.hr,309
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,307
1530584447184394,SDP Pula,Restart koalicija,298
590439658149251,SDP ISTRA,Restart koalicija,292
141366725876424,European Greens,European Greens,273
