Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,1498
178362315106,European Parliament,European Parliament,1294
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,1169
1575164029415898,Zoran Milanović,Zoran Milanović,1035
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,899
107898832590939,European Commission,European Commission,748
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,716
129634970518,SDP Hrvatske,SDP Hrvatske,674
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,656
395914237426926,Nezavisna lista Dimitrija Birača - Za radnički Karlovac,Birac Dimitrije,501
688325737947866,Telegram.hr,Telegram.hr,401
287054392229717,Nikolina Brnjac,HDZ - Hrvatska demokratska zajednica,279
187680621342377,Mihael Zmajlović,SDP Hrvatske,272
1781165065440754,N1 Hrvatska,N1 Hrvatska,256
106928174232844,Domovinski pokret,Domovinski pokret,255
122081620813,DNEVNIK.hr,NOVA TV,251
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,246
127718107295530,Miroslav Škoro,Miroslav Škoro,245
291638950941144,Živi zid,Živi zid,238
102179328217634,HDZ - 1. izborna jedinica,HDZ-Hrvatska demokratska zajednica,212
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,205
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,179
231052047413325,GLAS Građansko-liberalni savez,GLAS Građansko-liberalni savez,174
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,168
633028036739134,Andrej Plenković,Andrej Plenković,163
389724134384503,Davor Bernardić,SDP Hrvatske,140
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,139
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,137
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,131
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,130
103834115019033,Dimitrije Birač,Birac Dimitrije,120
46059676384,Zlatko Komadina,SDP Hrvatske,119
140693889702485,Hrvatskadanas,Hrvatskadanas,116
441798972688338,Slaven Dobrović,Slaven Dobrović,111
1487935214842281,Faktograf.hr,Faktograf.hr,110
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,110
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",107
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,106
94301596592,RTL Vijesti,Vijesti.hr,≤100
141366725876424,European Greens,European Greens,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,≤100
1504547499764434,Ivan Vilibor Sinčić,Živi zid,≤100
347410108970355,Dario Zurovec - gradonačelnik Grada Svete Nedelje,FOKUS,≤100
1504547499764434,Ivan Vilibor Sinčić,Ivan Vilibor Sinčić,≤100
1252295741481540,Miro Bulj,MOST nezavisnih lista,≤100
102198203158768,AgroKlub.com,AgroKlub.com,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
2344393559181359,Nezavisna Lista Mladih,Nezavisna Lista Mladih,≤100
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",≤100
110503984003109,Gordan Jandroković,Gordan Jandroković,≤100
584966128586909,Unija Kvarnera,Pametno,≤100
1296798187066807,Majda Burić,HDZ - Hrvatska demokratska zajednica,≤100
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,≤100
