Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,1541
178362315106,European Parliament,European Parliament,1202
1575164029415898,Zoran Milanović,Zoran Milanović,1004
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,964
107898832590939,European Commission,European Commission,666
831490250252482,prigorski.hr,Prigorski Marketing,662
129634970518,SDP Hrvatske,SDP Hrvatske,650
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,474
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,453
688325737947866,Telegram.hr,Telegram.hr,333
1105752456200889,Mišel Jakšić,Mišel Jakšić,275
127718107295530,Miroslav Škoro,Miroslav Škoro,256
106928174232844,Domovinski pokret,Domovinski pokret,252
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,244
941907929204784,Ivan Lovrinović,Živi zid,243
1659286830980592,Dario Hrebak,Dario Hrebak,240
122081620813,DNEVNIK.hr,NOVA TV,219
1781165065440754,N1 Hrvatska,N1 Hrvatska,216
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,202
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,201
110503984003109,Gordan Jandroković,HDZ - Hrvatska demokratska zajednica,195
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,181
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,176
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,147
112121190399322,Centar Stranka,strankasImenomiPrezimenom,145
389724134384503,Davor Bernardić,SDP Hrvatske,143
590810610937440,Željko Lacković,These ads ran without a disclaimer,141
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,141
157025101623973,Nenad Matić Zelena lista,Epithymia Doo,140
633028036739134,Andrej Plenković,Andrej Plenković,134
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,124
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,120
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,115
102198203158768,AgroKlub.com,AgroKlub.com,111
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",≤100
94301596592,RTL Vijesti,Vijesti.hr,≤100
135517913287398,Nino Raspudić,Most nezavisnih lista,≤100
1487935214842281,Faktograf.hr,Faktograf.hr,≤100
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
528846604195065,Demokrati,Demokrati,≤100
110515527377881,Gordan Grlić Radman,HDZ - Hrvatska demokratska zajednica,≤100
102179328217634,HDZ - 1. izborna jedinica,HDZ-Hrvatska demokratska zajednica,≤100
141366725876424,European Greens,European Greens,≤100
113119060448324,Damir Bajs,Damir Bajs,≤100
136128386462976,SDP Koprivničko-križevačke županije,These ads ran without a disclaimer,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,≤100
2344393559181359,Nezavisna Lista Mladih,Nezavisna Lista Mladih,≤100
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,≤100
530488583992543,RTLplay,RTLplay,≤100
590810610937440,Željko Lacković,Željko Lacković,≤100
508795765833382,Europski parlament u Hrvatskoj,Europski parlament u Hrvatskoj,≤100
110503984003109,Gordan Jandroković,Gordan Jandroković,≤100
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",≤100
291638950941144,Živi zid,Živi zid,≤100
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,≤100
1252295741481540,Miro Bulj,MOST nezavisnih lista,≤100
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,≤100
105173264586483,Sonja Celiščak,HDZ - Hrvatska demokratska zajednica,≤100
326373464600,Liberali - HSLS,Liberali - HSLS,≤100
210627425725812,Studentski.hr,Studentski.hr,≤100
770459529655215,Radnička Fronta,Radnička Fronta,≤100
106276896145581,VELUX,VELUX,≤100
100509545053616,Miroslav Tuđman,HDZ - Hrvatska demokratska zajednica,≤100
104711457960709,Ante Deur,HDZ - Hrvatska demokratska zajednica,≤100
305608429284,EU Environment,EU Environment,≤100
157025101623973,Nenad Matić Zelena lista,These ads ran without a disclaimer,≤100
131718973563002,Agencija za mobilnost i programe Europske unije,Agencija za mobilnost i programe Europske unije,≤100
669860900101100,Danica.hr,Danica.hr,≤100
103757233129920,Božo Petrov,MOST nezavisnih lista,≤100
103685141391385,Kristina Škoda Vajdić,HSS Hrvatska,≤100
480559052058396,Europska komisija u Hrvatskoj,Europska komisija u Hrvatskoj,≤100
113058410411980,Osječka Stvarnost,McElit,≤100
105473794189484,FOCUS,Fokus Online,≤100
668680796599725,Miro Totgergeli,HDZ - Hrvatska demokratska zajednica,≤100
144815235686385,Centar,pametno.org,≤100
688325737947866,Telegram.hr,These ads ran without a disclaimer,≤100
500484933617705,Optimum Shop,These ads ran without a disclaimer,≤100
1914254365351413,Saša Poljanec-Borić,Hrvatska socijalno liberalna stranka,≤100
101425798435860,Đurđevačka Stvarnost,Stvarnost.hr,≤100
122081620813,DNEVNIK.hr,These ads ran without a disclaimer,≤100
136900153422435,Tomislav Sokol,Dr. sc. Tomislav Sokol,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
408695383042330,Stjepan Adanić,HDZ - Hrvatska demokratska zajednica,≤100
421240981635243,Župan.hr,Župan.hr,≤100
831490250252482,prigorski.hr,These ads ran without a disclaimer,≤100
885402088226804,Darko Sobota,HDZ - Hrvatska demokratska zajednica,≤100
136900153422435,Tomislav Sokol,Tomislav Sokol,≤100
1382789368713509,Ivan Pernar,Ivan Pernar,≤100
102782071706960,Ured za ljudska prava i prava nacionalnih manjina Vlade Republike Hrvatske,Ured za ljudska prava i prava nacionalnih manjina Vlade Republike Hrvatske,≤100
560822223989381,European Christian Political Movement,European Christian Political Movement,≤100
109063407516926,Tomislav Okroša,HDZ - Hrvatska demokratska zajednica,≤100
1480553625495384,Ivan Penava,These ads ran without a disclaimer,≤100
1322879044433069,Tihomir Jaić,Tihomir Jaić,≤100
1379977375431894,Eclectica,These ads ran without a disclaimer,≤100
