Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,1323
178362315106,European Parliament,European Parliament,954
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,835
1575164029415898,Zoran Milanović,Zoran Milanović,791
39573819820,Predrag Štromar,Hrvatska narodna stranka - liberalni demokrati (HNS),759
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),643
107898832590939,European Commission,European Commission,580
867369366747020,Blaženka Divjak,Hrvatska narodna stranka - liberalni demokrati (HNS),485
102179328217634,HDZ - 1. izborna jedinica,HDZ-Hrvatska demokratska zajednica,418
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,402
129634970518,SDP Hrvatske,SDP Hrvatske,358
110808720629223,Siniša Hajdaš Dončić,Marija Klasić,346
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,258
688325737947866,Telegram.hr,Telegram.hr,247
106928174232844,Domovinski pokret,Domovinski pokret,223
127718107295530,Miroslav Škoro,Miroslav Škoro,183
122081620813,DNEVNIK.hr,NOVA TV,159
1781165065440754,N1 Hrvatska,N1 Hrvatska,153
110808720629223,Siniša Hajdaš Dončić,Minkdesignlab,150
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,148
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,134
941907929204784,Ivan Lovrinović,Živi zid,134
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,133
144815235686385,Centar,Pametno,125
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,115
745435638859057,HDZ Krapinsko-zagorske županije,HDZ - Hrvatska demokratska zajednica,115
1023608807697819,Mladi HNS-a Varaždinske Županije,Hrvatska narodna stranka - liberalni demokrati (HNS),113
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,≤100
94301596592,RTL Vijesti,Vijesti.hr,≤100
633028036739134,Andrej Plenković,Andrej Plenković,≤100
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,≤100
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",≤100
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,≤100
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,≤100
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,≤100
389724134384503,Davor Bernardić,SDP Hrvatske,≤100
308047399807126,Milorad Batinić,Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
487461731627739,01Portal,01Portal,≤100
2305130156436757,Hrvatski suverenisti,Hrvatski suverenisti,≤100
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,≤100
114791170259532,Politika s rezultatom,Narodna stranka - REFORMISTI,≤100
371878040075944,Dražen Pavleković,Dražen Pavleković,≤100
140693889702485,Hrvatskadanas,Hrvatskadanas,≤100
1504547499764434,Ivan Vilibor Sinčić,Živi zid,≤100
231052047413325,GLAS Građansko-liberalni savez,GLAS Građansko-liberalni savez,≤100
223612895080539,Darko Zver,These ads ran without a disclaimer,≤100
141366725876424,European Greens,European Greens,≤100
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,≤100
113119060448324,Damir Bajs,Damir Bajs,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
1487935214842281,Faktograf.hr,Faktograf.hr,≤100
530488583992543,RTLplay,RTLplay,≤100
102198203158768,AgroKlub.com,AgroKlub.com,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
223612895080539,Darko Zver,Zver Darko,≤100
101214551645695,Anđelko Stričak,HDZ - Hrvatska demokratska zajednica,≤100
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,≤100
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,≤100
