Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,1606
178362315106,European Parliament,European Parliament,1472
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,1335
1575164029415898,Zoran Milanović,Zoran Milanović,1192
223612895080539,Darko Zver,Zver Darko,1157
39573819820,Predrag Štromar,Hrvatska narodna stranka - liberalni demokrati (HNS),1153
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),1117
107898832590939,European Commission,European Commission,859
129634970518,SDP Hrvatske,SDP Hrvatske,788
867369366747020,Blaženka Divjak,Hrvatska narodna stranka - liberalni demokrati (HNS),774
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,693
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,537
688325737947866,Telegram.hr,Telegram.hr,413
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,320
106928174232844,Domovinski pokret,Domovinski pokret,317
114791170259532,Politika s rezultatom,Narodna stranka - REFORMISTI,276
122081620813,DNEVNIK.hr,NOVA TV,271
941907929204784,Ivan Lovrinović,Živi zid,270
1781165065440754,N1 Hrvatska,N1 Hrvatska,235
127718107295530,Miroslav Škoro,Miroslav Škoro,212
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,200
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,189
110808720629223,Siniša Hajdaš Dončić,Marija Klasić,186
389724134384503,Davor Bernardić,SDP Hrvatske,175
633028036739134,Andrej Plenković,Andrej Plenković,173
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,169
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,168
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,164
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,154
1023608807697819,Mladi HNS-a Varaždinske Županije,Hrvatska narodna stranka - liberalni demokrati (HNS),147
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,144
2305130156436757,Hrvatski suverenisti,Hrvatski suverenisti,144
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",139
144815235686385,Centar,Pametno,134
421240981635243,Župan.hr,Župan.hr,128
1653467684937977,Darko Horvat,HDZ - Hrvatska demokratska zajednica,116
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,104
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,102
1487935214842281,Faktograf.hr,Faktograf.hr,101
223612895080539,Darko Zver,These ads ran without a disclaimer,≤100
102336937908811,Varaždin bez smeća - udruga VBS,Varaždin bez smeća - udruga VBS,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
141366725876424,European Greens,European Greens,≤100
103759411561248,Neven Bosilj,Minkdesignlab,≤100
102198203158768,AgroKlub.com,AgroKlub.com,≤100
482597361772021,Sunčana Glavak,HDZ - Hrvatska demokratska zajednica,≤100
94301596592,RTL Vijesti,Vijesti.hr,≤100
101214551645695,Anđelko Stričak,HDZ - Hrvatska demokratska zajednica,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
223612895080539,Darko Zver,FOKUS,≤100
1731065780516003,Damir Habijan,HDZ-Hrvatska demokratska zajednica,≤100
1747126668848581,Veljko Kajtazi,Veljko Kajtazi,≤100
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,≤100
291638950941144,Živi zid,Živi zid,≤100
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,≤100
131718973563002,Agencija za mobilnost i programe Europske unije,Agencija za mobilnost i programe Europske unije,≤100
841254035937909,Liberal.hr,Liberal.hr,≤100
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",≤100
