Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,4645
178362315106,European Parliament,European Parliament,4442
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,4046
1575164029415898,Zoran Milanović,Zoran Milanović,3066
129634970518,SDP Hrvatske,SDP Hrvatske,2583
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,2173
107898832590939,European Commission,European Commission,2051
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),1996
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,1974
638604229648184,Ivan Anušić,HDZ - Hrvatska demokratska zajednica,1723
106928174232844,Domovinski pokret,Domovinski pokret,1579
688325737947866,Telegram.hr,Telegram.hr,1539
127718107295530,Miroslav Škoro,Miroslav Škoro,1337
460105977392397,Ivan Vrdoljak,Hrvatska narodna stranka - liberalni demokrati (HNS),1250
204268830209981,Ivan Radić,Ivan Radić,1055
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,991
231052047413325,GLAS Građansko-liberalni savez,GLAS Građansko-liberalni savez,945
1781165065440754,N1 Hrvatska,N1 Hrvatska,851
122081620813,DNEVNIK.hr,NOVA TV,848
140693889702485,Hrvatskadanas,Hrvatskadanas,825
105641114531323,Marko Pavić,HDZ - Hrvatska demokratska zajednica,723
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,637
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,632
633028036739134,Andrej Plenković,Andrej Plenković,593
389724134384503,Davor Bernardić,SDP Hrvatske,587
530784557868450,Goran Kušec,Goran Kušec,579
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,529
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,528
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,521
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,513
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,506
102198203158768,AgroKlub.com,AgroKlub.com,463
1487935214842281,Faktograf.hr,Faktograf.hr,435
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",433
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,398
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,363
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,355
815210188828975,Žana Gamoš,Žana Gamoš,340
1094938077187544,Bruno Zorić,HSS Hrvatska,337
141366725876424,European Greens,European Greens,333
94301596592,RTL Vijesti,Vijesti.hr,323
110933407315208,Hrvatski-glasnik,Ante Rašić,307
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,298
798612287169115,Ivica Todorić,Ivica Todorić,297
2203684973028242,Katarina Peović,Ivan Paradinović,279
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,261
1252295741481540,Miro Bulj,MOST nezavisnih lista,245
421240981635243,Župan.hr,Župan.hr,245
291638950941144,Živi zid,Živi zid,238
