Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,1010
178362315106,European Parliament,European Parliament,865
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,850
1575164029415898,Zoran Milanović,Zoran Milanović,759
129634970518,SDP Hrvatske,SDP Hrvatske,719
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,526
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,487
107898832590939,European Commission,European Commission,475
106928174232844,Domovinski pokret,Domovinski pokret,356
688325737947866,Telegram.hr,Telegram.hr,300
127718107295530,Miroslav Škoro,Miroslav Škoro,294
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,203
100999648325354,Josip Aladrović,HDZ - Hrvatska demokratska zajednica,161
122081620813,DNEVNIK.hr,NOVA TV,156
1781165065440754,N1 Hrvatska,N1 Hrvatska,144
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,129
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,128
180606022092597,Dražen Đurović,Levak Lara,127
106252521132621,Ljubica Maksimčuk,HDZ - Hrvatska demokratska zajednica,126
633028036739134,Andrej Plenković,Andrej Plenković,126
389724134384503,Davor Bernardić,SDP Hrvatske,120
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,118
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,109
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,103
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,102
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,≤100
111110286918041,Mario Banožić,HDZ - Hrvatska demokratska zajednica,≤100
140693889702485,Hrvatskadanas,Hrvatskadanas,≤100
102198203158768,AgroKlub.com,AgroKlub.com,≤100
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,≤100
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,≤100
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",≤100
1487935214842281,Faktograf.hr,Faktograf.hr,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
144815235686385,Centar,Pametno,≤100
370476546447674,Sdp Požega,SDP Požega,≤100
109412750700163,Slavonija.in,Marko Marinić,≤100
421240981635243,Župan.hr,Župan.hr,≤100
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,≤100
1985857354989635,Brodska Stvarnost,McElit,≤100
2344393559181359,Nezavisna Lista Mladih,Nezavisna Lista Mladih,≤100
1252295741481540,Miro Bulj,MOST nezavisnih lista,≤100
1757152901230042,Pero Ćosić,HDZ - Hrvatska demokratska zajednica,≤100
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
271616359641512,Daniel Majer - Na mladima svijet ostaje,Milena Stjepanović Majer,≤100
1524124241208931,Hsls Požega,Milena Stjepanović Majer,≤100
113119060448324,Damir Bajs,Damir Bajs,≤100
291638950941144,Živi zid,Živi zid,≤100
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",≤100
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,≤100
110503984003109,Gordan Jandroković,Gordan Jandroković,≤100
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,≤100
508795765833382,Europski parlament u Hrvatskoj,Europski parlament u Hrvatskoj,≤100
141366725876424,European Greens,European Greens,≤100
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,≤100
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
1774798116169873,Marijan Pavliček,HKS - Hrvatska konzervativna stranka,≤100
103757233129920,Božo Petrov,MOST nezavisnih lista,≤100
530488583992543,RTLplay,RTLplay,≤100
1774798116169873,Marijan Pavliček,Marijan Pavliček,≤100
131718973563002,Agencija za mobilnost i programe Europske unije,Agencija za mobilnost i programe Europske unije,≤100
105473794189484,FOCUS,Fokus Online,≤100
770459529655215,Radnička Fronta,Radnička Fronta,≤100
210627425725812,Studentski.hr,Studentski.hr,≤100
688325737947866,Telegram.hr,These ads ran without a disclaimer,≤100
106276896145581,VELUX,VELUX,≤100
1480553625495384,Ivan Penava,These ads ran without a disclaimer,≤100
941907929204784,Ivan Lovrinović,Živi zid,≤100
305608429284,EU Environment,EU Environment,≤100
101350014968086,Josip Šarić,HDZ - Hrvatska demokratska zajednica,≤100
272201060331942,Karlo Ressler,Karlo Ressler,≤100
136900153422435,Tomislav Sokol,Dr. sc. Tomislav Sokol,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
111421992219589,Dnevno.hr,Logobox d.o.o.,≤100
215152641879933,Dr.sc.  Danijel Marušić,HDZ - Hrvatska demokratska zajednica,≤100
122081620813,DNEVNIK.hr,These ads ran without a disclaimer,≤100
100146918420058,Nikola Nino Barišić,McElit,≤100
109210060846664,Žetončići 2020.,zetoncici2020,≤100
1382789368713509,Ivan Pernar,Ivan Pernar,≤100
144188562443964,Davor Božinović,HDZ - Hrvatska demokratska zajednica,≤100
500484933617705,Optimum Shop,These ads ran without a disclaimer,≤100
112121190399322,Centar Stranka,strankasImenomiPrezimenom,≤100
1984286805018866,Dalija Orešković,Dalija Orešković,≤100
100971168193648,FOKUS na bitno,FOKUS,≤100
136900153422435,Tomislav Sokol,Tomislav Sokol,≤100
480559052058396,Europska komisija u Hrvatskoj,Europska komisija u Hrvatskoj,≤100
106228877811259,Stribor Valenta,McElit,≤100
291638950941144,Živi zid,These ads ran without a disclaimer,≤100
560822223989381,European Christian Political Movement,European Christian Political Movement,≤100
789855157727222,HKS - Hrvatska konzervativna stranka,HKS - Hrvatska konzervativna stranka,≤100
176565220704,Zelena akcija / FoE Croatia,Zelena akcija / FoE Croatia,≤100
