Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,2089
178362315106,European Parliament,European Parliament,1656
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,1480
1575164029415898,Zoran Milanović,Zoran Milanović,1346
109128867478623,Davorko Vidović,SDP Hrvatske,1333
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,1120
107898832590939,European Commission,European Commission,927
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,889
129634970518,SDP Hrvatske,SDP Hrvatske,818
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,787
972895572808817,Goran Beus Richembergh,GLAS Građansko-liberalni savez,566
688325737947866,Telegram.hr,Telegram.hr,490
361597794007338,Bojan Glavašević,Možemo - politička platforma,486
1781165065440754,N1 Hrvatska,N1 Hrvatska,471
106928174232844,Domovinski pokret,Domovinski pokret,429
127718107295530,Miroslav Škoro,Miroslav Škoro,361
110866737315332,Davor Huić,Davor Huić,337
122081620813,DNEVNIK.hr,NOVA TV,317
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,305
291638950941144,Živi zid,Živi zid,282
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,240
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,239
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,237
112395623833441,Darinko Dumbovic,Darinko Dumbović,237
144188562443964,Davor Božinović,HDZ - Hrvatska demokratska zajednica,234
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,232
102179328217634,HDZ - 1. izborna jedinica,HDZ-Hrvatska demokratska zajednica,231
633028036739134,Andrej Plenković,Andrej Plenković,230
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,219
487461731627739,01Portal,01Portal,214
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,209
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,204
941907929204784,Ivan Lovrinović,Živi zid,195
389724134384503,Davor Bernardić,SDP Hrvatske,181
94301596592,RTL Vijesti,Vijesti.hr,181
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,178
1487935214842281,Faktograf.hr,Faktograf.hr,169
1418903245032313,Marijana Petir,HDZ - Hrvatska demokratska zajednica,157
140693889702485,Hrvatskadanas,Hrvatskadanas,155
157025101623973,Nenad Matić Zelena lista,These ads ran without a disclaimer,148
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",134
798612287169115,Ivica Todorić,Ivica Todorić,122
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,121
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,121
102198203158768,AgroKlub.com,AgroKlub.com,118
770459529655215,Radnička Fronta,Radnička Fronta,113
1252295741481540,Miro Bulj,MOST nezavisnih lista,109
586605041357982,Dražen Barišić,HDZ - Hrvatska demokratska zajednica,109
1504547499764434,Ivan Vilibor Sinčić,Živi zid,107
2344393559181359,Nezavisna Lista Mladih,Nezavisna Lista Mladih,103
141366725876424,European Greens,European Greens,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
110503984003109,Gordan Jandroković,Gordan Jandroković,≤100
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",≤100
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,≤100
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,≤100
111207880633017,Stephen Nikola Bartulica,Stephen Nikola Bartulica,≤100
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
508795765833382,Europski parlament u Hrvatskoj,Europski parlament u Hrvatskoj,≤100
632873143499825,UNIQA osiguranje Hrvatska,UNIQA osiguranje Hrvatska,≤100
416492182218417,Željko Lenart,HSS Hrvatska,≤100
113119060448324,Damir Bajs,Damir Bajs,≤100
272201060331942,Karlo Ressler,HDZ - Hrvatska demokratska zajednica,≤100
978440248989207,Siscia.hr,Siscia.hr,≤100
768827176596756,Željka Josić,HDZ - Hrvatska demokratska zajednica,≤100
106276896145581,VELUX,VELUX,≤100
105473794189484,FOCUS,Fokus Online,≤100
1175158545891284,Bandić Milan 365-Stranka rada I solidarnosti-GO Ivanić Grad,Jasenka Haleuš,≤100
530488583992543,RTLplay,RTLplay,≤100
101537134887558,Ivan Celjak,HDZ - Hrvatska demokratska zajednica,≤100
103757233129920,Božo Petrov,MOST nezavisnih lista,≤100
210627425725812,Studentski.hr,Studentski.hr,≤100
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,≤100
726730447728561,044Portal,044Portal,≤100
428199153929325,Mato Čičak,Mato Čičak,≤100
978440248989207,Siscia.hr,These ads ran without a disclaimer,≤100
136900153422435,Tomislav Sokol,Dr. sc. Tomislav Sokol,≤100
305608429284,EU Environment,EU Environment,≤100
1480553625495384,Ivan Penava,These ads ran without a disclaimer,≤100
421240981635243,Župan.hr,Župan.hr,≤100
215152641879933,Dr.sc.  Danijel Marušić,HDZ - Hrvatska demokratska zajednica,≤100
102782071706960,Ured za ljudska prava i prava nacionalnih manjina Vlade Republike Hrvatske,Ured za ljudska prava i prava nacionalnih manjina Vlade Republike Hrvatske,≤100
131718973563002,Agencija za mobilnost i programe Europske unije,Agencija za mobilnost i programe Europske unije,≤100
1418903245032313,Marijana Petir,Marijana Petir,≤100
500484933617705,Optimum Shop,These ads ran without a disclaimer,≤100
685830871495445,Hdz Sisak,HDZ Sisak,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
101446358532361,Bojan Dadasović,Bojan Dadasović,≤100
122081620813,DNEVNIK.hr,These ads ran without a disclaimer,≤100
414865581996126,Nacional News Magazin,Nacional News Magazin,≤100
688325737947866,Telegram.hr,These ads ran without a disclaimer,≤100
416492182218417,Željko Lenart,Željko Lenart,≤100
136900153422435,Tomislav Sokol,Tomislav Sokol,≤100
428199153929325,Mato Čičak,01Portal,≤100
102286244817422,Sisačka Stvarnost,McElit,≤100
1774798116169873,Marijan Pavliček,HKS - Hrvatska konzervativna stranka,≤100
1540466589534047,Narodna stranka - Reformisti,These ads ran without a disclaimer,≤100
480559052058396,Europska komisija u Hrvatskoj,Europska komisija u Hrvatskoj,≤100
1878060065746368,Tihomir Lukanić,Živi zid,≤100
