Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,6822
178362315106,European Parliament,European Parliament,5988
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,5747
1575164029415898,Zoran Milanović,Zoran Milanović,4150
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,3704
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,3415
107898832590939,European Commission,European Commission,2827
129634970518,SDP Hrvatske,SDP Hrvatske,2552
613858055490098,Željko Kerum,Željko Kerum,2545
712037602308181,Robert Pauletić Pravi glas Dalmacije,Robert Pauletić,2164
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,2007
688325737947866,Telegram.hr,Telegram.hr,1764
106928174232844,Domovinski pokret,Domovinski pokret,1751
1252295741481540,Miro Bulj,MOST nezavisnih lista,1671
127718107295530,Miroslav Škoro,Miroslav Škoro,1630
102343874870461,Danica Baričević,HDZ - Hrvatska demokratska zajednica,1551
104762641204910,Mirna Kovačić,Mirna Kovačić,1521
984228071666006,Ante Pranić,Ante Pranić,1387
106552118138528,Ante Franić,SDP Split,1302
101195991906319,Vice Mihanović,HDZ Split,1193
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,1141
122081620813,DNEVNIK.hr,NOVA TV,1067
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,1059
1781165065440754,N1 Hrvatska,N1 Hrvatska,1023
144815235686385,Centar,Pametno,893
308327622557496,Valentin Dujmović,Hrvatska narodna stranka - liberalni demokrati (HNS),734
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,734
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,727
633028036739134,Andrej Plenković,Andrej Plenković,724
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,664
2203684973028242,Katarina Peović,Ivan Paradinović,647
103216131548930,Dr. Zdeslav Benzon - Split može bolje,Hrvatska socijalno-liberalna stranka,636
108317247370445,Baterije,Ante Zoričić,626
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,623
1487935214842281,Faktograf.hr,Faktograf.hr,583
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,577
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",558
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,540
2268602929863854,Ruža Kovačević Bilić,Hrvatska narodna stranka - liberalni demokrati (HNS),529
141366725876424,European Greens,European Greens,523
140693889702485,Hrvatskadanas,Hrvatskadanas,520
94301596592,RTL Vijesti,Vijesti.hr,498
2344393559181359,Nezavisna Lista Mladih,Nezavisna Lista Mladih,480
69200976701,Blaženko Boban,HDZ - Hrvatska demokratska zajednica,475
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,460
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,459
389724134384503,Davor Bernardić,SDP Hrvatske,459
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,459
111289382263907,SDP Split,SDP Hrvatske,453
103757233129920,Božo Petrov,MOST nezavisnih lista,441
798612287169115,Ivica Todorić,Ivica Todorić,436
291638950941144,Živi zid,Živi zid,419
117545046768322,Možemo Split - Politička platforma,Možemo Split - Politička platforma,398
272201060331942,Karlo Ressler,HDZ - Hrvatska demokratska zajednica,358
107452617678338,Ante Mihanović,HDZ - Hrvatska demokratska zajednica,351
382700868516005,Karlo Starčević,Hrvatska stranka prava - HSP,337
377283356332665,Domagoj Maroević,HDZ - Hrvatska demokratska zajednica,317
112121190399322,Centar Stranka,strankasImenomiPrezimenom,313
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",305
1570501086345718,Goran Kotur,Kotur Goran,302
238451609958762,Nezavisna Lista Mladih - Solin,Nezavisna Lista Mladih - Solin,288
241209912952970,SDP Dubrovnik,SDP Hrvatske,287
125701390812094,Akcija mladih,Kurelic Bojan,277
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,275
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,273
770459529655215,Radnička Fronta,Radnička Fronta,265
230457220694091,Nikola Dobroslavić,HDZ - Hrvatska demokratska zajednica,263
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,261
210627425725812,Studentski.hr,Studentski.hr,260
113328045516968,Centar za Split,Centar,258
584048385059605,Nezavisna lista Stipe Petrina,Nezavisna lista Stipe Petrina,258
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,258
628758467261963,Petar Škorić,HDZ - Hrvatska demokratska zajednica,250
110503984003109,Gordan Jandroković,Gordan Jandroković,247
104232571329705,Ivan Malenica,HDZ - Hrvatska demokratska zajednica,244
729627343834501,Kialo,These ads ran without a disclaimer,239
591983584333946,Ante Bilić,Ante Bilić,237
706769699498076,Nova ljevica,Možemo - politička platforma,234
165908423840461,Marija Vučković,HDZ - Hrvatska demokratska zajednica,232
508795765833382,Europski parlament u Hrvatskoj,Europski parlament u Hrvatskoj,230
105473794189484,FOCUS,Fokus Online,229
169060793727857,Ante Bačić,HDZ - Hrvatska demokratska zajednica,229
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,225
101867594984890,Damir Barbir SDP,Damir Barbir,224
111726773916131,Silvana Burilović Crnov,Silvana Burilović Crnov,220
386037878435616,Joško Markić,Joško Markić,218
102511101494804,Branko Bačić,HDZ - Hrvatska demokratska zajednica,215
421240981635243,Župan.hr,Župan.hr,212
106772534584820,Branka Ramljak,Branka Ramljak,206
316940115357868,Ante Čikotić,MOST nezavisnih lista,206
225289841587601,Ivan Budalić,HDZ - Hrvatska demokratska zajednica,205
167619146997356,Hrvoje Zekanović,Hrvoje Zekanović,200
102198203158768,AgroKlub.com,AgroKlub.com,199
107814997637185,Marko Slišković - za Hrvatsku 2.0.,Marko Slišković,199
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),197
414865581996126,Nacional News Magazin,Nacional News Magazin,196
122081620813,DNEVNIK.hr,These ads ran without a disclaimer,192
439496746110562,Zoran Paunovic,SDP Makarska,191
147547541961576,Council of the European Union,Council of the European Union,187
131718973563002,Agencija za mobilnost i programe Europske unije,Agencija za mobilnost i programe Europske unije,186
1480553625495384,Ivan Penava,These ads ran without a disclaimer,185
136900153422435,Tomislav Sokol,Dr. sc. Tomislav Sokol,184
109210060846664,Žetončići 2020.,zetoncici2020,181
688325737947866,Telegram.hr,These ads ran without a disclaimer,177
100101048644522,Pametno.info,Ante Renić,173
106276896145581,VELUX,VELUX,171
388550077899912,MOST nezavisnih lista,Most nezavisnih lista,169
632873143499825,UNIQA osiguranje Hrvatska,UNIQA osiguranje Hrvatska,165
326373464600,Liberali - HSLS,Liberali - HSLS,165
530488583992543,RTLplay,RTLplay,163
1110561955621886,Josip Bilaver,HDZ - Hrvatska demokratska zajednica,158
206124719869995,Bolji Solin,Davor Mikas,156
