Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,1165
178362315106,European Parliament,European Parliament,973
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,947
1575164029415898,Zoran Milanović,Zoran Milanović,840
129634970518,SDP Hrvatske,SDP Hrvatske,654
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,529
107898832590939,European Commission,European Commission,525
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,439
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),409
106928174232844,Domovinski pokret,Domovinski pokret,327
127718107295530,Miroslav Škoro,Miroslav Škoro,304
688325737947866,Telegram.hr,Telegram.hr,296
460105977392397,Ivan Vrdoljak,Hrvatska narodna stranka - liberalni demokrati (HNS),260
638604229648184,Ivan Anušić,HDZ - Hrvatska demokratska zajednica,260
421240981635243,Župan.hr,Župan.hr,259
537801813300408,Miran Janečić,Miran Janečić,234
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,216
1781165065440754,N1 Hrvatska,N1 Hrvatska,182
122081620813,DNEVNIK.hr,NOVA TV,179
105641114531323,Marko Pavić,HDZ - Hrvatska demokratska zajednica,179
389724134384503,Davor Bernardić,SDP Hrvatske,159
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,140
633028036739134,Andrej Plenković,Andrej Plenković,135
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,130
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,122
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,117
102198203158768,AgroKlub.com,AgroKlub.com,117
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,114
231052047413325,GLAS Građansko-liberalni savez,GLAS Građansko-liberalni savez,102
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,≤100
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,≤100
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,≤100
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,≤100
140693889702485,Hrvatskadanas,Hrvatskadanas,≤100
1487935214842281,Faktograf.hr,Faktograf.hr,≤100
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",≤100
94301596592,RTL Vijesti,Vijesti.hr,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,≤100
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
1252295741481540,Miro Bulj,MOST nezavisnih lista,≤100
815210188828975,Žana Gamoš,Žana Gamoš,≤100
2344393559181359,Nezavisna Lista Mladih,Nezavisna Lista Mladih,≤100
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,≤100
287054392229717,Nikolina Brnjac,HDZ - Hrvatska demokratska zajednica,≤100
291638950941144,Živi zid,Živi zid,≤100
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",≤100
508795765833382,Europski parlament u Hrvatskoj,Europski parlament u Hrvatskoj,≤100
941907929204784,Ivan Lovrinović,Živi zid,≤100
530488583992543,RTLplay,RTLplay,≤100
110503984003109,Gordan Jandroković,Gordan Jandroković,≤100
272201060331942,Karlo Ressler,HDZ - Hrvatska demokratska zajednica,≤100
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,≤100
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,≤100
141366725876424,European Greens,European Greens,≤100
113823477040243,Mate Vukušić,Petar Magdić,≤100
100971168193648,FOKUS na bitno,FOKUS,≤100
103757233129920,Božo Petrov,MOST nezavisnih lista,≤100
770459529655215,Radnička Fronta,Radnička Fronta,≤100
1654260144589969,Igor Andrović,HDZ - Hrvatska demokratska zajednica,≤100
1561212917518503,Ana-Marija Petin,HSS Hrvatska,≤100
105473794189484,FOCUS,Fokus Online,≤100
210627425725812,Studentski.hr,Studentski.hr,≤100
