Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,2143
102179328217634,HDZ - 1. izborna jedinica,HDZ-Hrvatska demokratska zajednica,1844
178362315106,European Parliament,European Parliament,1519
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,1227
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,1013
1575164029415898,Zoran Milanović,Zoran Milanović,983
941907929204784,Ivan Lovrinović,Živi zid,898
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,802
107898832590939,European Commission,European Commission,766
487461731627739,01Portal,01Portal,762
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,654
116341938452283,SDP Zagrebačke županije,SDP Zagrebačke županije,638
187680621342377,Mihael Zmajlović,Mihael Zmajlović,582
129634970518,SDP Hrvatske,SDP Hrvatske,528
688325737947866,Telegram.hr,Telegram.hr,502
106928174232844,Domovinski pokret,Domovinski pokret,455
113284537168938,Vesna Škare Ožbolt,Vesna Škare Ožbolt,416
2203684973028242,Katarina Peović,Ivan Paradinović,392
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,381
103971088258940,Ivan Bekavac gradonačelnik Velike Gorice,Most nezavisnih lista,377
1781165065440754,N1 Hrvatska,N1 Hrvatska,322
127718107295530,Miroslav Škoro,Miroslav Škoro,314
110503984003109,Gordan Jandroković,HDZ - Hrvatska demokratska zajednica,286
113119060448324,Damir Bajs,Damir Bajs,280
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,260
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,251
122081620813,DNEVNIK.hr,NOVA TV,246
110866737315332,Davor Huić,Davor Huić,246
1504547499764434,Ivan Vilibor Sinčić,Živi zid,243
972895572808817,Goran Beus Richembergh,GLAS Građansko-liberalni savez,226
1640498249359280,Davor Nađi,FOKUS,211
144815235686385,Centar,Pametno,209
109128867478623,Davorko Vidović,SDP Hrvatske,207
140693889702485,Hrvatskadanas,Hrvatskadanas,204
94301596592,RTL Vijesti,Vijesti.hr,191
188979244465897,Mirando Mrsić,Demokrati,180
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,178
109063407516926,Tomislav Okroša,HDZ - Hrvatska demokratska zajednica,174
528846604195065,Demokrati,Demokrati,165
441798972688338,Slaven Dobrović,Slaven Dobrović,164
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,161
831490250252482,prigorski.hr,Prigorski Marketing,158
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,153
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",152
1659286830980592,Dario Hrebak,Dario Hrebak,139
291638950941144,Živi zid,Živi zid,134
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,133
633028036739134,Andrej Plenković,Andrej Plenković,133
141366725876424,European Greens,European Greens,125
1262594650584725,Joško Klisović,Klisovic Josko,124
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,123
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,116
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,113
421240981635243,Župan.hr,Župan.hr,112
187680621342377,Mihael Zmajlović,SDP Hrvatske,110
1487935214842281,Faktograf.hr,Faktograf.hr,105
1590166327969227,Željko Turk,Željko Turk,≤100
106574730746742,Želim biti Milan Bandić gradonačelnik svemira,Želim biti Milan Bandić predsjednik RH,≤100
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
770459529655215,Radnička Fronta,Radnička Fronta,≤100
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,≤100
231052047413325,GLAS Građansko-liberalni savez,GLAS Građansko-liberalni savez,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
662601470477389,"RRiF - Računovodstvo, revizija i financije","RRiF - Računovodstvo, revizija i financije",≤100
1252295741481540,Miro Bulj,MOST nezavisnih lista,≤100
508795765833382,Europski parlament u Hrvatskoj,Europski parlament u Hrvatskoj,≤100
347410108970355,Dario Zurovec - gradonačelnik Grada Svete Nedelje,FOKUS,≤100
389724134384503,Davor Bernardić,SDP Hrvatske,≤100
