Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,22244
178362315106,European Parliament,European Parliament,18035
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,16545
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,16102
1575164029415898,Zoran Milanović,Zoran Milanović,13109
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,9444
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,8067
688325737947866,Telegram.hr,Telegram.hr,8004
129634970518,SDP Hrvatske,SDP Hrvatske,7857
102179328217634,HDZ - 1. izborna jedinica,HDZ-Hrvatska demokratska zajednica,7698
107898832590939,European Commission,European Commission,7303
127718107295530,Miroslav Škoro,Miroslav Škoro,4662
106928174232844,Domovinski pokret,Domovinski pokret,4583
941907929204784,Ivan Lovrinović,Živi zid,4304
1781165065440754,N1 Hrvatska,N1 Hrvatska,3460
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,3366
122081620813,DNEVNIK.hr,NOVA TV,3142
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,2984
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,2825
291638950941144,Živi zid,Živi zid,2816
1262594650584725,Joško Klisović,Klisovic Josko,2722
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,2688
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,2523
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,2490
633028036739134,Andrej Plenković,Andrej Plenković,2423
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,2348
389347084776786,Zagreb je NAŠ,Zagreb je NAŠ,2166
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,2153
1487935214842281,Faktograf.hr,Faktograf.hr,2151
109128867478623,Davorko Vidović,SDP Hrvatske,2133
972895572808817,Goran Beus Richembergh,GLAS Građansko-liberalni savez,2120
110866737315332,Davor Huić,Davor Huić,2005
1659286830980592,Dario Hrebak,Dario Hrebak,1975
141366725876424,European Greens,European Greens,1944
187680621342377,Mihael Zmajlović,SDP Hrvatske,1889
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,1813
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),1783
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",1764
1524093761198048,Anka Mrak - Taritaš,GLAS Građansko-liberalni savez,1739
140693889702485,Hrvatskadanas,Hrvatskadanas,1735
94301596592,RTL Vijesti,Vijesti.hr,1642
2203684973028242,Katarina Peović,Ivan Paradinović,1621
188979244465897,Mirando Mrsić,Demokrati,1562
528846604195065,Demokrati,Demokrati,1455
389724134384503,Davor Bernardić,SDP Hrvatske,1420
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,1411
798612287169115,Ivica Todorić,Ivica Todorić,1302
112121190399322,Centar Stranka,strankasImenomiPrezimenom,1215
1504547499764434,Ivan Vilibor Sinčić,Živi zid,1066
487461731627739,01Portal,01Portal,1043
100971168193648,FOKUS na bitno,FOKUS,990
451079008266520,Gordan Maras,Maras Gordan,973
441798972688338,Slaven Dobrović,Slaven Dobrović,961
1252295741481540,Miro Bulj,MOST nezavisnih lista,931
770459529655215,Radnička Fronta,Radnička Fronta,924
107935284075382,Ivan Vidiš,HDZ - Hrvatska demokratska zajednica,923
231052047413325,GLAS Građansko-liberalni savez,GLAS Građansko-liberalni savez,889
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,888
