Page ID,Page Name,Disclaimer,Amount Spent (HUF),Number of Ads in Library
120370174702378,Magyarország Kormánya,Magyarország Kormánya,236058248,37
9844779306,Fidesz,Fidesz,118657223,284
100401808007704,EzaLényeg.hu,EzaLényeg.hu,62974094,6208
178362315106,European Parliament,European Parliament,55112295,888
592204747588011,Momentum Mozgalom,Momentum Mozgalom,44222061,1463
109637397268775,Nyugati Pályán,Splendidea Communications Kft,36322537,259
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,26152574,270
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,23362924,120
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,22643380,567
115388925185513,Magyar Szocialista Párt,MSZP,20929976,336
193944440638410,Karácsony Gergely,Párbeszéd Magyarországért,20046588,223
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,18577910,217
264517713636590,PestiSracok.hu,PestiSrácok.hu,18257991,768
71547793430,Fidelitas,Fidelitas,16736779,123
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,16243065,352
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,15959037,988
107898832590939,European Commission,European Commission,15146949,280
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,13832805,160
1880809845328535,Dobrev Klára,Demokratikus Koalíció,13393688,321
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,12482281,431
664749840618152,Veres Pál,Függetlenek a Szinva Városáért Egyesület,12340656,141
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,11851916,256
100299381703981,Pesti TV,PestiTV,10448219,427
594088897289853,Alapjogokért Központ,Alapjogokért Központ,9695718,1197
193944440638410,Karácsony Gergely,Mindenki Budapestért Egyesület,9224749,127
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,8851959,162
102159197929139,Terra Case,Görög Ádám,8131762,457
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,7764679,187
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,7745019,229
326635018181862,Magyar Nemzet,Magyar Nemzet,7451853,1604
607398386415342,Nemesi Pál,Nemesi Pál,7110811,266
149061108240,Kocsis Máté,Kocsis Máté,6832325,351
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,6135015,1205
44847086574,Amnesty International Magyarország,Amnesty International,6092467,35
230385242742,KDNP és Frakciója,KDNP frakció,5779977,717
294815374340858,Donáth Anna,Donáth Anna - Momentum,5467329,189
227990271950152,Koncz Zsófia,Koncz Zsófia,5462124,145
202099276507678,24.hu,24.hu,5449815,422
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,5411762,675
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,5358552,79
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,5302755,27
113132560042939,Alakszai Zoltán,Alakszai Zoltán,5097829,79
141366725876424,European Greens,European Greens,4955216,13
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,4912858,1202
1406386486355924,Partizán,Gulyás Márton Ferenc,4870912,279
438674070213065,Magyar Állampapír,Magyar Állampapír,4867661,63
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,4746876,59
164061553749320,Nemzeti Televízió,Alfahír Hírportál,4703700,108
788960034452071,Potápi Árpád János,Potápi Árpád János,4654377,90
101132471267061,EzaLényeg.hu - Miskolc,EzaLényeg.hu,4465813,483
128573907819549,Fekete-Győr András,Fekete-Győr András,4447517,207
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,4429475,163
106230544086256,EzaLényeg.hu - Pécs,EzaLényeg.hu,4400533,591
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,4390086,119
1094845533905589,Sára Botond,Sára Botond,4373178,149
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,4264220,141
554058754619723,IKEA,IKEA,4215803,13
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,4181561,80
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,4099929,16
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,3984337,561
100401808007704,EzaLényeg.hu,These ads ran without a disclaimer,3889517,283
108346693873484,Győrffy Balázs,Balazs Gyorffy,3829557,211
2291596937833656,Grezsa István,Grezsa István - polgármesterjelölt,3796124,111
193702058028595,Lázár János hivatalos oldala,Lázár János hivatalos oldala,3487371,118
136489826373485,MINap Online l miskolci hírforrás,Miskolci Kommunikációs Nonprofit Kft.,3394801,48
142116653162328,Márki-Zay Péter,Márki-Zay Péter,3339907,225
2158405567819066,Fülöp Attila,Fülöp Attila,3241205,359
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,3127686,63
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,3110463,301
150836998898897,aHang,aHang,3091626,282
1425355697692924,Dr. Tóth Bertalan,MSZP,3067783,151
682448271826776,Cseh Katalin,Momentum Mozgalom,3065588,86
126539424061030,Háttér Társaság,Háttér Társaság,2811580,168
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,2709751,52
143382602349078,Kiss László,Kiss László,2624529,162
525574220799452,Alfahír,Alfahír Hírportál,2576287,63
105097844200628,EzaLényeg.hu - Pestlőrinc,EzaLényeg.hu,2513403,573
607398386415342,Nemesi Pál,These ads ran without a disclaimer,2513266,98
851784814892644,Simicskó István,KDNP frakció,2491334,105
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,2485200,79
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,2420796,15
506348326210466,Ungár Péter,Ungár Péter,2410498,162
977398622334966,Aliatic,These ads ran without a disclaimer,2334376,1
2309737912651039,Péterffy Attila,Péterffy Attila,2330960,173
114322993270501,EzaLényeg.hu - Dél-Buda,EzaLényeg.hu,2264238,623
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,2234220,380
259814413936,Dr. Bácskai János,Dr. Bácskai János,2227254,84
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,2179313,2
152408681635243,Hírklikk.hu,Hírklikk.hu,2167754,93
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,2160585,229
510078013063912,Rózsa László Péter,Rózsa László Péter,2150387,90
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,2135764,178
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,2103188,111
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,2076749,95
