Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,8828612
106230544086256,EzaLényeg.hu - Pécs,EzaLényeg.hu,4400533
9844779306,Fidesz,Fidesz,3504998
178362315106,European Parliament,European Parliament,2114797
2309737912651039,Péterffy Attila,Péterffy Attila,1944502
459857721241298,"Vári Attila, Pécs önkormányzati képviselője","Vári Attila, Pécs polgármesterjelöltje",1643573
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1497313
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1417783
100401808007704,EzaLényeg.hu,EzaLényeg.hu,1391630
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,1175670
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,1091743
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,1046323
127355373967413,Pécsi STOP.hu,Pécsi STOP.hu,886429
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,849532
115388925185513,Magyar Szocialista Párt,MSZP,832159
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,775211
102581967957130,Pávkovics Gábor,Pávkovics Gábor,680950
107792104113928,EzaLényeg.hu - Baranya,EzaLényeg.hu,672884
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,657181
107898832590939,European Commission,European Commission,640001
264517713636590,PestiSracok.hu,PestiSrácok.hu,598399
1215492498464496,Angyal Károly,Angyal Károly Tibor,558928
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,552179
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,507041
102641477991941,bahir.hu - BAHÍR,ZÖLD BARANYA KFT.,482880
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,476701
1880809845328535,Dobrev Klára,Demokratikus Koalíció,473928
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,459456
228208347319442,Pécs Jövője,Sik László Zoltán,450905
994901094011388,Mindenki Pécsért Egyesület,Péterffy Attila,415555
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,363823
132593883577930,Dr. Keresztes László Lóránt,Dr. Keresztes László Lóránt,353539
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,308641
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,306898
2309737912651039,Péterffy Attila,These ads ran without a disclaimer,295461
100299381703981,Pesti TV,PestiTV,274580
107721833978571,Ferenc Csorbai,Csorbai Ferenc,273699
160935777365,bama.hu - a baranya megyei hírportál,bama.hu - a baranya megyei hírportál,271341
102159197929139,Terra Case,Görög Ádám,248287
106230544086256,EzaLényeg.hu - Pécs,These ads ran without a disclaimer,243146
1491154841110951,Mi Hazánk Mozgalom - Mohács,Mi Hazánk Mozgalom,241179
326635018181862,Magyar Nemzet,Magyar Nemzet,233085
44847086574,Amnesty International Magyarország,Amnesty International,230280
100221074822970,Csizmadia Péter,Dr. Csizmadia Péter,223439
294815374340858,Donáth Anna,Donáth Anna - Momentum,217929
100973207964721,Schwarcz-Kiefer Patrik,Jobbik Magyarországért Mozgalom,215490
202099276507678,24.hu,24.hu,214132
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,214064
107832043902507,"Horváth Tamás - Mindenki Pécsért, ÚVNP",Horváth Tamás,211869
230385242742,KDNP és Frakciója,KDNP frakció,211700
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,206239
111084083597131,Decsi István,Decsi István,205124
418919345190837,Nemes Balázs - Momentum,Nemes Balázs - Momentum,202000
438674070213065,Magyar Állampapír,Magyar Állampapír,198578
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,183715
128573907819549,Fekete-Győr András,Fekete-Győr András,183062
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,181611
164061553749320,Nemzeti Televízió,Alfahír Hírportál,181571
149061108240,Kocsis Máté,Kocsis Máté,181172
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,179824
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,179087
141366725876424,European Greens,European Greens,175858
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,174247
788960034452071,Potápi Árpád János,Potápi Árpád János,171649
108346693873484,Győrffy Balázs,Balazs Gyorffy,171418
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,170333
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,164376
111310417341906,Változást Akarók Nemzedéke,Változást Akarók Nemzedéke közéleti egyesület,162836
150368418323248,LMP Pécs - Baranya megye,LMP - Lehet Más a Politika,162614
682448271826776,Cseh Katalin,Momentum Mozgalom,161274
342785876208317,Mellár Tamás,Párbeszéd Magyarországért,159933
109340233981088,Pécs Aktuál,P1 Media Group Zrt.,159040
594088897289853,Alapjogokért Központ,Alapjogokért Központ,158220
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,156387
1267903443381921,Pentz Thomas - Momentum,Pentz Thomas Michael,154339
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,153895
1425355697692924,Dr. Tóth Bertalan,MSZP,152627
703933919730152,Fogarasi Gábor,Jobbik Magyarországért Mozgalom,152077
1406386486355924,Partizán,Gulyás Márton Ferenc,144904
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,143423
101913021386295,Dr. Barkóczi Csaba,Barkóczi Csaba,142489
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,141807
1215492498464496,Angyal Károly,These ads ran without a disclaimer,139037
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,137296
554058754619723,IKEA,IKEA,133968
1059773170712510,dr. Őri László,Dr. Őri László Szabolcs,133081
152408681635243,Hírklikk.hu,Hírklikk.hu,126155
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,126130
104675117554541,Ágoston Andrea önkormányzati képviselő,Párbeszéd Magyarországért Párt,121657
1517256948506526,Polics József,Polics József,119876
2158405567819066,Fülöp Attila,Fülöp Attila,117272
110980928915528,Dr. Hoppál Péter,Dr. Hoppál Péter,114272
176397072377393,Jobbik Pécs,Jobbik  Magyarországért Mozgalom,111738
126539424061030,Háttér Társaság,Háttér Társaság,110827
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,107083
100973207964721,Schwarcz-Kiefer Patrik,Schwarcz-Kiefer Patrik,107015
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,106999
228208347319442,Pécs Jövője,Pécs Jövője,104396
110932766911029,Péderi Tamás • Momentum,Péderi Tamás,102116
525574220799452,Alfahír,Kiegyensúlyozott Médiáért Alapítvány,100256
587548641365971,Berényi Zoltán önkormányzati képviselő,Berényi Zoltán Attila,99152
107502403932396,Tóth Róbert - ÖPE,Tóth Róbert,96305
85568463466,Mérce,Mérce,94816
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,92704
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,90967
104697847737607,Civil Közösségi Szolgáltató Központ - Baranya megye,Civil Információs Centrum - Baranya megye,89902
525574220799452,Alfahír,Alfahír Hírportál,89816
332813840396462,Pécsi Érték,Pécsi Értékközösség Alapítvány,88466
191461774219575,hirado.hu,hirado.hu,87838
106338920709247,Beke Zoltán,Beke Zoltán,87047
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,86957
302651676502052,Mohács Választ 2019,Bognár Sándor Zoltán,86565
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,85868
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,81588
851784814892644,Simicskó István,KDNP frakció,81005
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,80994
977398622334966,Aliatic,These ads ran without a disclaimer,80858
459857721241298,"Vári Attila, Pécs önkormányzati képviselője",These ads ran without a disclaimer,79719
