Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,55609259
100401808007704,EzaLényeg.hu,EzaLényeg.hu,50437004
9844779306,Fidesz,Fidesz,46145048
193944440638410,Karácsony Gergely,Párbeszéd Magyarországért,19978826
71547793430,Fidelitas,Fidelitas,16414282
178362315106,European Parliament,European Parliament,15625751
592204747588011,Momentum Mozgalom,Momentum Mozgalom,15152644
193944440638410,Karácsony Gergely,Mindenki Budapestért Egyesület,9224729
109637397268775,Nyugati Pályán,Splendidea Communications Kft,7720685
264517713636590,PestiSracok.hu,PestiSrácok.hu,7542665
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,7160271
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,6903238
594088897289853,Alapjogokért Központ,Alapjogokért Központ,6529937
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,6344460
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,6011060
100299381703981,Pesti TV,PestiTV,5592550
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,4899559
115388925185513,Magyar Szocialista Párt,MSZP,4570564
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,4476050
1094845533905589,Sára Botond,Sára Botond,4341556
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,4252036
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,4075435
100401808007704,EzaLényeg.hu,These ads ran without a disclaimer,3784304
102159197929139,Terra Case,Görög Ádám,3719415
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,3663591
1880809845328535,Dobrev Klára,Demokratikus Koalíció,3597630
149061108240,Kocsis Máté,Kocsis Máté,3195524
107898832590939,European Commission,European Commission,3182855
44847086574,Amnesty International Magyarország,Amnesty International,2736523
143382602349078,Kiss László,Kiss László,2618970
326635018181862,Magyar Nemzet,Magyar Nemzet,2611596
105097844200628,EzaLényeg.hu - Pestlőrinc,EzaLényeg.hu,2513403
114322993270501,EzaLényeg.hu - Dél-Buda,EzaLényeg.hu,2264237
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,2254257
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,2231597
259814413936,Dr. Bácskai János,Dr. Bácskai János,2226638
1406386486355924,Partizán,Gulyás Márton Ferenc,2142507
141366725876424,European Greens,European Greens,2136039
150836998898897,aHang,aHang,2041531
440386766094990,"Dr. Oláh Lajos, Terézváros és Erzsébetváros országgyűlési képviselője",Dr. Oláh Lajos,2017763
294815374340858,Donáth Anna,Donáth Anna - Momentum,2010203
762305787130420,Józsefvárosi Fidesz,Józsefvárosi Fidesz,2003374
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,1836884
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,1833717
111935763510882,EzaLényeg.hu - FerencJózsef,EzaLényeg.hu,1820513
118657215352253,Dr. László Imre,Demokratikus Koalíció,1722221
543788999005363,ORIGO,New Wave Media Group Kft.,1687368
113622593341249,EzaLényeg.hu - Észak-Pest,EzaLényeg.hu,1644383
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzata,1631423
528938113912149,Baranyi Krisztina,Baranyi Krisztina,1629707
1381558792064873,Niedermüller Péter,Niedermüller Péter,1545456
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,1499949
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1439930
136387873164491,Csárdi Antal,LMP - Lehet Más a Politika,1429413
100505208108482,Budapest Városháza,Budapest Főváros Önkormányzat,1386624
173688126557724,Soproni Tamás,Soproni Tamás,1340408
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,1335715
554058754619723,IKEA,IKEA,1332309
230385242742,KDNP és Frakciója,KDNP frakció,1330787
