Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,11939663
9844779306,Fidesz,Fidesz,4707794
178362315106,European Parliament,European Parliament,2630237
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1930512
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1727868
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,1260154
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,1256845
115388925185513,Magyar Szocialista Párt,MSZP,1045733
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,965029
107898832590939,European Commission,European Commission,859365
100401808007704,EzaLényeg.hu,EzaLényeg.hu,834916
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,747989
100561241325032,EzaLényeg.hu - Baja,EzaLényeg.hu,739673
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,680569
428800467250448,Farkas Gergely,Farkas Gergely,677166
264517713636590,PestiSracok.hu,PestiSrácok.hu,647318
1880809845328535,Dobrev Klára,Demokratikus Koalíció,611295
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,606506
428800467250448,Farkas Gergely,Országgyűlés Hivatala Jobbik Frakció,540926
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,535286
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,467865
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,455798
100760797963400,Kudron  Bács3,Nandor Antoniusz Kudron-Tonigold,410149
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,405898
726958080707895,Sikeres Bajáért Egyesület,Sikeres Bajáért Egyesület,380932
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,376985
326635018181862,Magyar Nemzet,Magyar Nemzet,309556
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,299307
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,295457
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,292890
230385242742,KDNP és Frakciója,KDNP frakció,286671
100299381703981,Pesti TV,PestiTV,285427
202099276507678,24.hu,24.hu,278260
438674070213065,Magyar Állampapír,Magyar Állampapír,273129
102159197929139,Terra Case,Görög Ádám,269125
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,265692
108346693873484,Győrffy Balázs,Balazs Gyorffy,250127
350338649023047,Kecsup hírek,AB Holding Kft.,248083
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,246648
149061108240,Kocsis Máté,Kocsis Máté,232831
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,226152
105270077856684,EzaLényeg.hu - Kiskunság,EzaLényeg.hu,225650
164061553749320,Nemzeti Televízió,Alfahír Hírportál,225276
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,224428
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,221130
44847086574,Amnesty International Magyarország,Amnesty International,217033
1690416611287093,Garami Artúr oldala,Artúr Garami,216752
746677268726321,Csányi József legyen Félegyháza polgármestere,Dósai Bence,215683
788960034452071,Potápi Árpád János,Potápi Árpád János,214795
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,211708
594088897289853,Alapjogokért Központ,Alapjogokért Központ,210604
294815374340858,Donáth Anna,Donáth Anna - Momentum,201741
104222087611578,Mindenki Magyarországa Mozgalom Kiskunhalas,Rétfalvi József Istvánné,201237
128573907819549,Fekete-Győr András,Fekete-Győr András,195162
2345004285770715,Szövetség a Hírös Városért Egyesület,Szövetség a Hírös Városért Egyesület,190952
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,189337
113447970208705,EzaLényeg.hu - Kecskemét,EzaLényeg.hu,189059
554058754619723,IKEA,IKEA,178924
141366725876424,European Greens,European Greens,176947
108146403966754,Dr. Bagó Zoltán,Dr. Bagó Zoltán,171577
2158405567819066,Fülöp Attila,Fülöp Attila,157421
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,156855
126539424061030,Háttér Társaság,Háttér Társaság,155107
551672728204311,Bányai Gábor országgyűlési képviselő,Bányai Gábor országgyűlési képviselő,154345
101920364522288,Fidesz Ladánybene,Bari Anita,150534
1425355697692924,Dr. Tóth Bertalan,MSZP,149871
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,149454
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,147771
1406386486355924,Partizán,Gulyás Márton Ferenc,145459
542202259608397,Czeller Zoltán polgármester,Czeller Zoltán,143866
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,142651
366570173973144,Rideg László,Rideg László,142249
387587118510926,Nyirati Klára,Sikeres Bajáért Egyesület,137720
1036660543179166,Filvig Géza,FIlvig Géza,128729
161884671213989,Bodrozsán Alexandra,Bodrozsán Alexandra,126211
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,124269
525574220799452,Alfahír,Alfahír Hírportál,119527
851784814892644,Simicskó István,KDNP frakció,118332
191946490841225,Dúró Dóra,Sipos,115950
104480624261163,Nagy István önkormányzati képviselő,Jobbik Magyarországért Mozgalom,115806
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,115690
276903039059158,Bácsmegye,Bácsmegye,115544
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,114940
112482456961313,EzaLényeg.hu - Kalocsa,EzaLényeg.hu,108871
682448271826776,Cseh Katalin,Momentum Mozgalom,107977
977398622334966,Aliatic,These ads ran without a disclaimer,106603
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,104348
191461774219575,hirado.hu,hirado.hu,103849
2385953951423643,Kecel Összeköt,Kecel Összeköt Egyesület,103573
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,102324
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,102311
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,102182
106084261205943,Mondok József,Mondok József,102158
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,101562
112879632128020,Novák Előd,Mi Hazánk Mozgalom,101560
102335977791251,József Dobos,Dobos József,101340
140775436606643,Jobbik Kerekegyháza,Jobbik Magyarországért Mozgalom,100000
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,97035
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,95862
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,95104
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,94279
152408681635243,Hírklikk.hu,Hírklikk.hu,92281
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",92225
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,91759
630618270337003,Kis-Szeniczey Kálmán,LMP - Magyarország Zöld Pártja,90253
484401051735475,Príma,Príma,83993
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,83672
551672728204311,Bányai Gábor országgyűlési képviselő,Fidesz Bács-Kiskun 5vk,83188
721675401259234,Együtt Kiskunmajsáért Egyesület  EKE,Faludi Tamás,82887
103311404364866,Kolossai János Kiskunfélegyháza polgármesterjelöltje,Kolossai Ágnes,81846
85568463466,Mérce,Mérce,81423
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,81210
1036660543179166,Filvig Géza,These ads ran without a disclaimer,80098
