Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,9691498
607398386415342,Nemesi Pál,Nemesi Pál,6751180
9844779306,Fidesz,Fidesz,3909860
2291596937833656,Grezsa István,Grezsa István - polgármesterjelölt,3794802
607398386415342,Nemesi Pál,These ads ran without a disclaimer,2485936
178362315106,European Parliament,European Parliament,2416186
193702058028595,Lázár János hivatalos oldala,Lázár János hivatalos oldala,2322776
142116653162328,Márki-Zay Péter,Márki-Zay Péter,2238124
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1556144
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1477925
2099839810244976,Promenad,Promenad,1231170
115388925185513,Magyar Szocialista Párt,MSZP,1216124
252439751452248,Szegedma Hírportál,Szűcs Viktória,1200865
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,1132423
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,905665
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,902827
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,802984
122148514472963,Botka László,Összefogás Szegedért Egyesület,760908
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,705681
1880809845328535,Dobrev Klára,Demokratikus Koalíció,633582
107898832590939,European Commission,European Commission,629122
264517713636590,PestiSracok.hu,PestiSrácok.hu,617903
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,615863
100808557949454,Mucsi Tamás,Mucsi Tamás,585858
100401808007704,EzaLényeg.hu,EzaLényeg.hu,554795
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,534714
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,496618
105316514364415,EzaLényeg.hu - Szeged,EzaLényeg.hu,451863
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,419233
2280937925322660,Fehér Attila,Fehér Attila,417779
297831313655876,Makó Híradó,Makó Híradó,383972
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,370492
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,367897
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,336496
385564832068641,Nemesi Pált Szeged Polgármesterének,These ads ran without a disclaimer,329622
2291596937833656,Grezsa István,These ads ran without a disclaimer,324408
101048094602317,Dr. Fodor Antal,Dr. Fodor Antal,314414
2169722316616799,Fidesz Hódmezővásárhely,Fidesz Hódmezővásárhely,294619
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,288442
294815374340858,Donáth Anna,Donáth Anna - Momentum,270429
102159197929139,Terra Case,Görög Ádám,268808
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,265423
108162020743292,EzaLényeg.hu - Csongrád,EzaLényeg.hu,264865
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,264308
270741976461920,Farkas Éva Erzsébet,Nagy Dániel,260456
1588524871238500,Bartók Csaba,These ads ran without a disclaimer,252037
326635018181862,Magyar Nemzet,Magyar Nemzet,245444
100299381703981,Pesti TV,PestiTV,237339
202099276507678,24.hu,24.hu,236928
44847086574,Amnesty International Magyarország,Amnesty International,235953
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,232891
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,216966
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,215255
141366725876424,European Greens,European Greens,210666
230385242742,KDNP és Frakciója,KDNP frakció,207050
164061553749320,Nemzeti Televízió,Alfahír Hírportál,202925
128573907819549,Fekete-Győr András,Fekete-Győr András,202021
438674070213065,Magyar Állampapír,Magyar Állampapír,201873
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,200344
734217673259088,Ujhelyi István dr.,MSZP,192028
160378424145671,Összefogás Szegedért Egyesület,Összefogás Szegedért Egyesület,177500
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,172191
632059103499141,Fidesz Makó,Fidesz Makó,172103
149061108240,Kocsis Máté,Kocsis Máté,171925
594088897289853,Alapjogokért Központ,Alapjogokért Központ,171719
788960034452071,Potápi Árpád János,Potápi Árpád János,171659
1336736869713612,Korponyai Ernő,These ads ran without a disclaimer,170931
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,170400
108346693873484,Győrffy Balázs,Balazs Gyorffy,164723
102944531079002,Fekete György hivatalos oldala,These ads ran without a disclaimer,161590
1425355697692924,Dr. Tóth Bertalan,MSZP,160671
270741976461920,Farkas Éva Erzsébet,Andrási Lilla,158214
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,155298
554058754619723,IKEA,IKEA,154009
101834121646723,Kiss Balázs Imre,Kiss Balázs Imre,148204
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,134582
1406386486355924,Partizán,Gulyás Márton Ferenc,134297
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,133873
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,131105
126539424061030,Háttér Társaság,Háttér Társaság,126022
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,117000
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,114504
113336626700054,Cseri Tamás,Fidesz Hódmezővásárhely,114500
1414560395442333,Jobbik Csongrád,Jobbik Magyarországért Mozgalom,111555
2158405567819066,Fülöp Attila,Fülöp Attila,110713
198824743628480,Tisza Lajos Közéleti Egyesület,Brillmann Zsolt,110157
525574220799452,Alfahír,Alfahír Hírportál,108972
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,105480
149979188955749,Mihálik Edvin,Momentum Mozgalom,103803
2530996833793589,Kovács Tamás,Kovacs Tamas Balazs,98813
110427810314382,Berta Róbert hivatalos oldala,These ads ran without a disclaimer,98120
461592697751268,Már megint Laci,These ads ran without a disclaimer,98102
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,97906
2099839810244976,Promenad,These ads ran without a disclaimer,97514
100345284666554,Chovanecz Kata,These ads ran without a disclaimer,95500
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,95002
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,94712
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",94554
101223587919467,Varga Ferenc Önkormányzati Képviselő,Varga Ferenc,94326
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,92054
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,90411
106991104007794,Batári Dávid hivatalos oldala,These ads ran without a disclaimer,89800
1538125036419826,Szabó Tibor György Szegvár polgármestere,Szabó Tibor György,89742
