Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,12348558
9844779306,Fidesz,Fidesz,4804196
178362315106,European Parliament,European Parliament,2635150
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1883924
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1694585
101899688012247,EzaLényeg.hu - Győr,EzaLényeg.hu,1325110
115388925185513,Magyar Szocialista Párt,MSZP,1190756
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,1181989
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,1032342
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,1024813
193697200816659,Glázer Tímea,Demokratikus Koalíció,902655
107898832590939,European Commission,European Commission,834709
1880809845328535,Dobrev Klára,Demokratikus Koalíció,824276
264517713636590,PestiSracok.hu,PestiSrácok.hu,714674
324029851594302,Pollreisz Balázs,MSZP,705046
1567420900021321,Kara Ákos,Kara Ákos,675517
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,663792
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,616199
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,596135
100401808007704,EzaLényeg.hu,EzaLényeg.hu,581052
102523611114066,Dr. Varga Norbert,Dr. Varga Norbert,576042
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,553851
1792502637527821,Borkai Zsolt,Borkai Zsolt,548172
324029851594302,Pollreisz Balázs,Pollreisz Balázs,544361
110069120361485,Dr.Dézsi Csaba András,Dr. Dézsi Csaba András,497196
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,439615
180924612473518,Dr. Brenner Koloman,Dr. Brenner Koloman,436174
102159197929139,Terra Case,Görög Ádám,434504
164566760407329,Fidesz Sopron és környéke,Fidesz Sopron és környéke,395255
1439786569610603,Dr. Fekete Dávid,Fekete Dávid,380688
180924612473518,Dr. Brenner Koloman,Országgyűlés Hivatala Jobbik Frakció,378919
1713793492050749,Soproni Polgárok Közössége,Soproni Polgárok Közössége,370674
100241004684178,Balázs Endre - Momentum,Balázs Endre,360781
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,358405
109684877069674,Borsi Róbert,Borsi Róbert,358034
