Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,12644128
9844779306,Fidesz,Fidesz,4903086
178362315106,European Parliament,European Parliament,2959740
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1915045
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1865028
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,1304035
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,1155383
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,1011944
115388925185513,Magyar Szocialista Párt,MSZP,995842
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,782986
107898832590939,European Commission,European Commission,755661
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,749851
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,668015
100401808007704,EzaLényeg.hu,EzaLényeg.hu,662025
264517713636590,PestiSracok.hu,PestiSrácok.hu,640218
1880809845328535,Dobrev Klára,Demokratikus Koalíció,584221
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,565265
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,540332
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,466756
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,465206
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,441072
101127251609900,EzaLényeg.hu - Hajdúság,EzaLényeg.hu,377883
102159197929139,Terra Case,Görög Ádám,312117
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",298937
326635018181862,Magyar Nemzet,Magyar Nemzet,291368
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,290361
202099276507678,24.hu,24.hu,289610
438674070213065,Magyar Állampapír,Magyar Állampapír,288093
100299381703981,Pesti TV,PestiTV,283490
230385242742,KDNP és Frakciója,KDNP frakció,280932
108422757383800,EzaLényeg.hu - Debrecen,EzaLényeg.hu,274221
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,273626
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,266097
141366725876424,European Greens,European Greens,245839
44847086574,Amnesty International Magyarország,Amnesty International,240777
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,238789
108346693873484,Győrffy Balázs,Balazs Gyorffy,238160
881398955358662,Mándi László - Momentum,Mándi László,237738
149061108240,Kocsis Máté,Kocsis Máté,233088
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,231435
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,224521
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,223861
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,219251
788960034452071,Potápi Árpád János,Potápi Árpád János,217693
164061553749320,Nemzeti Televízió,Alfahír Hírportál,217258
294815374340858,Donáth Anna,Donáth Anna - Momentum,209159
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,206638
128573907819549,Fekete-Győr András,Fekete-Győr András,205622
594088897289853,Alapjogokért Központ,Alapjogokért Központ,201457
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,195220
554058754619723,IKEA,IKEA,192008
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,179624
2158405567819066,Fülöp Attila,Fülöp Attila,171480
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,169089
682448271826776,Cseh Katalin,Momentum Mozgalom,168156
108451703856510,Szabó Bence - Momentum,Szabó Bence,162822
920358707978994,Kosztin Mihály - Momentum,Momentum Mozgalom,154903
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,154834
126539424061030,Háttér Társaság,Háttér Társaság,148761
1425355697692924,Dr. Tóth Bertalan,MSZP,146118
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,137122
1406386486355924,Partizán,Gulyás Márton Ferenc,137043
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,129132
164978027477602,József Felföldi,József Felföldi,126645
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,123963
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,123838
421021688432072,Momentum Debrecen,Momentum Mozgalom,119178
525574220799452,Alfahír,Alfahír Hírportál,118513
596691814188107,Koroknai Imre,Koroknai Árpád,117713
851784814892644,Simicskó István,KDNP frakció,113708
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,112418
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,111316
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,110703
977398622334966,Aliatic,These ads ran without a disclaimer,105515
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,105218
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,105157
191946490841225,Dúró Dóra,Sipos,103546
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,102145
881398955358662,Mándi László - Momentum,Momentum Mozgalom,100388
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,100281
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,97149
108451703856510,Szabó Bence - Momentum,Momentum Mozgalom,95495
112879632128020,Novák Előd,Mi Hazánk Mozgalom,95371
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,93699
191461774219575,hirado.hu,hirado.hu,93021
101890201532453,EzaLényeg.hu - Berettyó,EzaLényeg.hu,92457
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,92332
142020589304689,Dr. Pósán László,These ads ran without a disclaimer,89994
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,89561
567351656665253,Varga Zoltán DK,Varga Zoltán Imre,83686
346662722696608,Jármi Péter,LMP - Lehet Más a Politika,83000
1828572300805912,Rosatom Global,These ads ran without a disclaimer,82459
734217673259088,Ujhelyi István dr.,MSZP,81693
103259234389098,Erdős László,Erdős László,80759
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,80137
1431472540477496,Dr. Fülöp Erik,Országgyűlés Hivatala,79825
152408681635243,Hírklikk.hu,Hírklikk.hu,78487
85568463466,Mérce,Mérce,77767
484401051735475,Príma,Príma,76606
407084009419897,Dr. Szakács László,Dr. Szakács László,76297
134477239724,Bringázz a Munkába,Magyar Kerékpárosklub,75460
682448271826776,Cseh Katalin,Cseh Katalin,75355
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,74337
176736266308423,Kiss László - Momentum,Momentum Mozgalom,73331
438674070213065,Magyar Állampapír,These ads ran without a disclaimer,71730
632806306818605,Novák Katalin,Novák Katalin,70821
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,69689
781030738624077,Gyöngyösi Márton,Országgyűlés Hivatala Jobbik Frakció,69335
510078013063912,Rózsa László Péter,Rózsa László Péter,67732
506348326210466,Ungár Péter,Ungár Péter,67701
228731803847927,Semjén Zsolt,KDNP frakció,67527
1855311791415561,Nurofen Magyarország,These ads ran without a disclaimer,67442
193702058028595,Lázár János hivatalos oldala,Lázár János hivatalos oldala,67230
2074269302652716,Menczer Tamás,These ads ran without a disclaimer,67125
320701218553533,Alternatíva Párt,Alternatíva párt,65670
425039614891063,Kovács Tibor - Momentum,Momentum Mozgalom,65246
150836998898897,aHang,aHang,64811
149061108240,Kocsis Máté,Fidesz frakció,62708
142020589304689,Dr. Pósán László,Dr. Pósán László,62231
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,61558
126893087354793,Európai Parlament,Európai Parlament,61324
257711127995971,Érem Művészeti Kiadó Kft.,These ads ran without a disclaimer,59996
1580459282191804,Agrármarketing Centrum,Agrármarketing Centrum,59741
100103228401991,Axióma,Axióma Kulturális Alapítvány,58672
230385242742,KDNP és Frakciója,KDNP és Frakciója,57459
228731803847927,Semjén Zsolt,Országgyűlés Hivatala KDNP frakció,57367
53447723449,Publicus Intézet,Publicus Kutató és Tanácsadó Kft.,57117
101929051172891,Dr Zákány Zsolt önkormányzati képviselő Berettyóújfalu,Dr. Zákány Zsolt,56973
129382163754757,Jobbik Ifjúsági Tagozat,Országgyűlés Hivatala Jobbik Frakció,55224
781150971947219,Jakab Péter,Jobbik Magyarországért Mozgalom,54077
623432561001127,Káposznyák István,Káposznyák István,53486
729627343834501,Kialo,These ads ran without a disclaimer,53083
745695918854943,Nyugati Fény,Nyugati Fény,52869
599485673455396,Magyar Éremkibocsátó Kft.,Magyar Éremkibocsátó Kft.,52684
237088069704442,Ádám Kósa MEP,"Adam Kosa, Member of the European Parliament",52554
2367481733536787,MSN Magyarország,These ads ran without a disclaimer,52474
132593883577930,Dr. Keresztes László Lóránt,Dr. Keresztes László Lóránt,52264
108988690853942,Kásler Miklós,Kásler Miklós,51950
109194702466311,Deutsches Kulturforum Debrecen,Deutsches Kulturforum Debrecen,51844
230385242742,KDNP és Frakciója,Országgyűlés Hivatala KDNP frakció,51359
107898832590939,European Commission,These ads ran without a disclaimer,51126
112407120345686,Farkas Örs,Farkas Örs,49452
543788999005363,ORIGO,New Wave Media Goup Kft.,49405
184890488198962,Bana Tibor,Országgyűlés Hivatala Jobbik Frakció,49304
453253875264,Vágó Gábor,LMP - Lehet Más a Politika,48793
112064378854586,Terror Háza Múzeum / House of Terror Museum,Terror Háza Múzeum / House of Terror Museum,48561
76945222898,Startlap,Centrál Médiacsoport,48216
142116653162328,Márki-Zay Péter,Márki-Zay Péter,47644
109503892404998,Világgazdaság,Világgazdaság,47514
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,47261
180924612473518,Dr. Brenner Koloman,Országgyűlés Hivatala Jobbik Frakció,47045
126893087354793,Európai Parlament,Európai Parlament Tájékoztatási Irodája,46263
129382163754757,Jobbik Ifjúsági Tagozat,Jobbik Magyarországért Mozgalom,45340
