Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,8598444
9844779306,Fidesz,Fidesz,3434659
178362315106,European Parliament,European Parliament,1805509
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1503952
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1212134
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,1160317
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,940073
1401080026811438,Csányi Tamás,Országgyűlés Hivatala Jobbik Frakció,826810
115388925185513,Magyar Szocialista Párt,MSZP,806459
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,775790
1620606484919998,Alföldhír.hu,Alföldhír Kft.,705905
247166652151336,Polgári Jászberény,Dr. Szabó Tamás,688520
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,613088
107898832590939,European Commission,European Commission,599386
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,579646
1880809845328535,Dobrev Klára,Demokratikus Koalíció,492862
100401808007704,EzaLényeg.hu,EzaLényeg.hu,491434
264517713636590,PestiSracok.hu,PestiSrácok.hu,428156
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,408237
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,374645
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,364708
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,362103
567941946745479,Budai Lóránt,Jobbik Magyarországért Mozgalom,354947
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,328761
490006464353222,Dr. Lukács László György,Jobbik Magyarországért Mozgalom,309987
100195391542032,EzaLényeg.hu - Szolnok,EzaLényeg.hu,287309
146541162119838,iSzolnok,Alföldhír Kft.,256209
110262004018057,EzaLényeg.hu - Jászság,EzaLényeg.hu,237764
132233380778392,Dr. Kállai Mária,dr. Kállai Mária,227503
202099276507678,24.hu,24.hu,205195
230385242742,KDNP és Frakciója,KDNP frakció,202917
326635018181862,Magyar Nemzet,Magyar Nemzet,202671
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,202546
