Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,7871911
9844779306,Fidesz,Fidesz,3104280
178362315106,European Parliament,European Parliament,1622154
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1165312
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,959853
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,792755
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,777232
592204747588011,Momentum Mozgalom,Momentum Mozgalom,757072
115388925185513,Magyar Szocialista Párt,MSZP,649748
101034934599890,Szücsné Posztovics Ilona,Szücsné Posztovics Ilona,616587
107898832590939,European Commission,European Commission,533029
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,496340
1429914920563493,Nunkovics Tibor,Országgyűlés Hivatala Jobbik Frakció,473633
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,458687
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,456518
1880809845328535,Dobrev Klára,Demokratikus Koalíció,447991
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,436826
264517713636590,PestiSracok.hu,PestiSrácok.hu,401299
100401808007704,EzaLényeg.hu,EzaLényeg.hu,375722
321901088360077,Mi Hazánk Tatabánya,Mi Hazánk Mozgalom Tatabányai Szervezete,334134
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,320846
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,319214
2258483594201110,Hernádi Ádám,Hernádi Ádám,301696
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,293855
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,280070
111964067179768,EzaLényeg.hu - Esztergom,EzaLényeg.hu,268886
113527130190024,EzaLényeg.hu - Tatabánya,EzaLényeg.hu,264823
2258483594201110,Hernádi Ádám,These ads ran without a disclaimer,248876
140640289378483,Michl József,Michl József Imre,233090
109839144060468,EzaLényeg.hu - Komárom,EzaLényeg.hu,227134
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,221315
102159197929139,Terra Case,Görög Ádám,215141
319108699013740,Komálom,Nagy Zoltán,210363
862060850470796,Komáromi Fidesz,Takács József,202153
326635018181862,Magyar Nemzet,Magyar Nemzet,180244
230385242742,KDNP és Frakciója,KDNP frakció,178177
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,176549
202099276507678,24.hu,24.hu,173600
100299381703981,Pesti TV,PestiTV,172131
1429914920563493,Nunkovics Tibor,Jobbik Magyarországért Mozgalom,170734
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,169810
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,166423
100704711850204,Klímatudatos Tata,Netwerk Media,157535
164061553749320,Nemzeti Televízió,Alfahír Hírportál,154258
112599466876693,Tatabánya Megyei Jogú Város,Tatabánya Megyei Jogú Város Önkormányzata,153541
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,151583
438674070213065,Magyar Állampapír,Magyar Állampapír,148778
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,146307
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,145311
44847086574,Amnesty International Magyarország,Amnesty International,145143
102493131238177,Szanyi Gábor,Jobbik Magyarországért Mozgalom,145036
149061108240,Kocsis Máté,Kocsis Máté,143204
294815374340858,Donáth Anna,Donáth Anna - Momentum,138652
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,136296
106082150753312,Renczes Dávid - Párbeszéd,Párbeszéd Magyarországért Párt,133181
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,131158
128573907819549,Fekete-Győr András,Fekete-Győr András,130940
594088897289853,Alapjogokért Központ,Alapjogokért Központ,127812
554058754619723,IKEA,IKEA,123976
788960034452071,Potápi Árpád János,Potápi Árpád János,120594
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,118358
141366725876424,European Greens,European Greens,117119
