Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,3866781
9844779306,Fidesz,Fidesz,1590767
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,775913
178362315106,European Parliament,European Parliament,750852
109637397268775,Nyugati Pályán,Splendidea Communications Kft,689203
592204747588011,Momentum Mozgalom,Momentum Mozgalom,589320
1102138083139329,Mátraszőlős Község Szeretlek,Tóth Gyula,583705
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,526310
108096777416791,EzaLényeg.hu - Nógrád,EzaLényeg.hu,522685
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,386273
115388925185513,Magyar Szocialista Párt,MSZP,369601
1102138083139329,Mátraszőlős Község Szeretlek,These ads ran without a disclaimer,358447
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,343547
1880809845328535,Dobrev Klára,Demokratikus Koalíció,263002
107898832590939,European Commission,European Commission,257451
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,249575
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,239493
100401808007704,EzaLényeg.hu,EzaLényeg.hu,209998
264517713636590,PestiSracok.hu,PestiSrácok.hu,204716
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,189484
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,175317
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,165041
105138317541029,Sándor József polgármesterjelölt,These ads ran without a disclaimer,159523
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,146484
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,137460
230385242742,KDNP és Frakciója,KDNP frakció,108299
1714281055259422,Momentum Nógrád,Momentum Mozgalom,107401
438674070213065,Magyar Állampapír,Magyar Állampapír,96463
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,93798
202099276507678,24.hu,24.hu,93187
326635018181862,Magyar Nemzet,Magyar Nemzet,92763
100299381703981,Pesti TV,PestiTV,90455
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,90302
1631641157097374,Fekete Zsolt,MSZP Nógrád Megyei Területi Szövetsége,83258
149061108240,Kocsis Máté,Kocsis Máté,83170
112792003408792,Balassagyarmat szeretlek,Csach Gábor Lóránt,82325
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,80458
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,79564
164061553749320,Nemzeti Televízió,Alfahír Hírportál,78058
788960034452071,Potápi Árpád János,Potápi Árpád János,77649
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,76612
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,73413
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,72791
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,71792
594088897289853,Alapjogokért Központ,Alapjogokért Központ,71105
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,69392
2158405567819066,Fülöp Attila,Fülöp Attila,69209
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,68151
71547793430,Fidelitas,Fidelitas,68092
1102138083139329,Mátraszőlős Község Szeretlek,Dr. Turza Csaba József,66299
128573907819549,Fekete-Győr András,Fekete-Győr András,66000
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,64364
44847086574,Amnesty International Magyarország,Amnesty International,63987
977398622334966,Aliatic,These ads ran without a disclaimer,63091
102159197929139,Terra Case,Görög Ádám,62719
108346693873484,Győrffy Balázs,Balazs Gyorffy,62530
294815374340858,Donáth Anna,Donáth Anna - Momentum,60984
1425355697692924,Dr. Tóth Bertalan,MSZP,59102
554058754619723,IKEA,IKEA,58305
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,52726
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,50378
1406386486355924,Partizán,Gulyás Márton Ferenc,48128
126539424061030,Háttér Társaság,Háttér Társaság,47323
141366725876424,European Greens,European Greens,47139
132040987346279,Csukáné Szerémy Andrea oldala,Csukáné Szerémy Andrea,44351
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,43289
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,42775
851784814892644,Simicskó István,KDNP frakció,42373
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,41979
1716515511989547,Szabó Csaba közszereplő,Fidesz,41703
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,39572
525574220799452,Alfahír,Alfahír Hírportál,39174
107453054183218,Berki Sándor,Párbeszéd Magyarországért,39093
106145428182812,Horváth Ferenc - Momentum,Momentum Mozgalom,38481
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,38263
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,37022
191946490841225,Dúró Dóra,Sipos,36455
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,36258
112879632128020,Novák Előd,Mi Hazánk Mozgalom,35222
191461774219575,hirado.hu,hirado.hu,34987
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,34674
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,34458
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,33941
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,33110
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,32754
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,31946
132040987346279,Csukáné Szerémy Andrea oldala,These ads ran without a disclaimer,31916
484401051735475,Príma,Príma,30902
152408681635243,Hírklikk.hu,Hírklikk.hu,29782
407084009419897,Dr. Szakács László,Dr. Szakács László,28728
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,28353
1431472540477496,Dr. Fülöp Erik,Országgyűlés Hivatala,28216
107042990653637,Fidesz-KDNP  Szécsény,These ads ran without a disclaimer,28112
510078013063912,Rózsa László Péter,Rózsa László Péter,26982
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,26970
116150066429881,Sági Alex,Jobbik Magyarországért Mozgalom,26927
2447633462171249,Szövetség a Balassagyarmatiakért,These ads ran without a disclaimer,26759
438674070213065,Magyar Állampapír,These ads ran without a disclaimer,26609
85568463466,Mérce,Mérce,26603
320701218553533,Alternatíva Párt,Alternatíva párt,26241
393705001216934,Dudás Róbert,Jobbik Magyarországért Mozgalom,25979
682448271826776,Cseh Katalin,Cseh Katalin,25314
682448271826776,Cseh Katalin,Momentum Mozgalom,24939
2302679173281077,Jobbik Salgótarján,Jobbik Magyarországért Mozgalom,24394
257711127995971,Érem Művészeti Kiadó Kft.,These ads ran without a disclaimer,24112
1828572300805912,Rosatom Global,These ads ran without a disclaimer,23990
781030738624077,Gyöngyösi Márton,Országgyűlés Hivatala Jobbik Frakció,23715
2074269302652716,Menczer Tamás,These ads ran without a disclaimer,23629
506348326210466,Ungár Péter,Ungár Péter,22947
103936480985864,Győri Enikő,Győri Enikő,22692
632806306818605,Novák Katalin,Novák Katalin,22525
149061108240,Kocsis Máté,Fidesz frakció,22301
1580459282191804,Agrármarketing Centrum,Agrármarketing Centrum,22203
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,22121
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,22038
599485673455396,Magyar Éremkibocsátó Kft.,Magyar Éremkibocsátó Kft.,21854
150836998898897,aHang,aHang,21475
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,21393
53447723449,Publicus Intézet,Publicus Kutató és Tanácsadó Kft.,21186
230385242742,KDNP és Frakciója,KDNP és Frakciója,20999
