Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,22110930
9844779306,Fidesz,Fidesz,8978724
592204747588011,Momentum Mozgalom,Momentum Mozgalom,5960705
178362315106,European Parliament,European Parliament,4878212
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,3169863
109637397268775,Nyugati Pályán,Splendidea Communications Kft,3109495
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,2736390
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,2396645
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,2393864
115388925185513,Magyar Szocialista Párt,MSZP,1788637
264517713636590,PestiSracok.hu,PestiSrácok.hu,1533964
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,1458994
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,1338571
107898832590939,European Commission,European Commission,1338350
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,1116021
1880809845328535,Dobrev Klára,Demokratikus Koalíció,1079887
100401808007704,EzaLényeg.hu,EzaLényeg.hu,1071558
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,1043830
113375923695023,Fidesz Budapest,Fidesz Budapest,1005111
788960034452071,Potápi Árpád János,Potápi Árpád János,978891
100299381703981,Pesti TV,PestiTV,939109
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,913623
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,871912
804685603241491,Czuczor Gergely,Dr. Czuczor Gergely,776712
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,733873
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,679709
102159197929139,Terra Case,Görög Ádám,656308
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,627537
326635018181862,Magyar Nemzet,Magyar Nemzet,623391
230385242742,KDNP és Frakciója,KDNP frakció,566028
128449957180084,T. Mészáros András,Összefogás Egyesület,555467
806011439524661,Zágráb Nándor: „A pénz visszajár",Zágráb Nándor,535901
161361167407820,Tuzson Bence,Tuzson Bence,535443
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,510050
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,487778
294815374340858,Donáth Anna,Donáth Anna - Momentum,486787
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,481976
202099276507678,24.hu,24.hu,481816
554058754619723,IKEA,IKEA,480698
149061108240,Kocsis Máté,Kocsis Máté,463366
1461534750733248,Schmuck Erzsébet,Zöld Baranya Kft._,461255
44847086574,Amnesty International Magyarország,Amnesty International,450534
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,442087
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,438294
128573907819549,Fekete-Győr András,Fekete-Győr András,430116
318239484894380,érdioldal.hu,Összefogás Egyesület,426504
594088897289853,Alapjogokért Központ,Alapjogokért Központ,426150
175428565870406,Mi Hazánk Göd,Mi Hazánk Mozgalom,422358
682448271826776,Cseh Katalin,Momentum Mozgalom,418487
103520614495214,Ollero Marco képviselő,Ollero Marco,410418
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,408389
438674070213065,Magyar Állampapír,Magyar Állampapír,406847
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,392030
1406386486355924,Partizán,Gulyás Márton Ferenc,378776
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,377424
164061553749320,Nemzeti Televízió,Alfahír Hírportál,370830
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,363019
112759893437851,Emeljük fel Pátyot,Varga István E.V.,342213
139388829437016,Társaság az Élhető Szentendréért Egyesület - TESZ Egyesület,Társaság az Élhető Szentendréért (TESZ),338127
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,337988
109675234029462,Buzinkay György,György Buzinkay,332684
2158405567819066,Fülöp Attila,Fülöp Attila,325981
677219495700605,Szövetség Biatorbágyért Egyesület,Szövetség Biatorbágyért Egyesület,319382
141366725876424,European Greens,European Greens,318358
