Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,6447919
9844779306,Fidesz,Fidesz,2728226
178362315106,European Parliament,European Parliament,1355863
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1287502
909857259153313,Dr. Steinmetz Ádám,Országgyűlés Hivatala Jobbik Frakció,1189728
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1120380
838631906208176,Ander Balázs,Országgyűlés Hivatala Jobbik Frakció,902823
1652741928333536,KPSVR,Kaposváriakért Egyesület,834014
822836871202195,Potocskáné Kőrösi Anita,Országgyűlés Hivatala Jobbik Frakció,805971
2401182856761664,Horváth Ákos,Kaposváriakért Egyesület,784730
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,765740
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,723854
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,595584
115388925185513,Magyar Szocialista Párt,MSZP,587754
264517713636590,PestiSracok.hu,PestiSrácok.hu,465379
107898832590939,European Commission,European Commission,458694
100105868381582,EzaLényeg.hu - Dél-Balaton,EzaLényeg.hu,449233
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,422705
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,411009
100401808007704,EzaLényeg.hu,EzaLényeg.hu,406152
1880809845328535,Dobrev Klára,Demokratikus Koalíció,377416
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,358213
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,353595
146157525396674,PSZP - Polgári Szabadság Platform,Polgári Szabadság Platform,307724
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,302832
115839966623459,EzaLényeg.hu - Kaposvár,EzaLényeg.hu,301358
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,280635
462139203805958,Gelencsér Attila,Gelencsér Attila,274990
105141277870718,EzaLényeg.hu - Dél-Somogy,EzaLényeg.hu,269574
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,261687
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,256024
326635018181862,Magyar Nemzet,Magyar Nemzet,183492
100299381703981,Pesti TV,PestiTV,178263
230385242742,KDNP és Frakciója,KDNP frakció,176625
1606133146285117,Dr. Gruber Attila,Dr. Gruber Attila László,175432
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,169724
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,163571
202099276507678,24.hu,24.hu,152283
438674070213065,Magyar Állampapír,Magyar Állampapír,152135
108346693873484,Győrffy Balázs,Balazs Gyorffy,151691
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,148828
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,146136
441822699210573,MSZP - Somogy,Harangozó Gábor István,145278
149061108240,Kocsis Máté,Kocsis Máté,140714
102159197929139,Terra Case,Görög Ádám,139828
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,139192
164061553749320,Nemzeti Televízió,Alfahír Hírportál,137483
1110826915772297,Biró Norbert,Biró Norbert,136901
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,135652
788960034452071,Potápi Árpád János,Potápi Árpád János,134408
294815374340858,Donáth Anna,Donáth Anna - Momentum,133082
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,131652
102969004387439,Anderné Röszler Erika,Anderné Röszler Erika,129089
594088897289853,Alapjogokért Központ,Alapjogokért Központ,126351
128573907819549,Fekete-Győr András,Fekete-Győr András,121111
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,118271
443096203143278,Becsülettel Siófokért Egyesület,Becsülettel Siófokért Egyesület,115239
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,113030
44847086574,Amnesty International Magyarország,Amnesty International,112213
153445464670787,LMP Kaposvár,LMP - Lehet Más a Politika,104593
2158405567819066,Fülöp Attila,Fülöp Attila,101466
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,101331
104963404190562,Dr Balassa Béla,dr Balassa Béla,100794
1798630263746693,Witzmann Mihály,Witzmann Mihály,100047
