Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,11797676
9844779306,Fidesz,Fidesz,4731101
178362315106,European Parliament,European Parliament,2471003
109637397268775,Nyugati Pályán,Splendidea Communications Kft,2073631
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,1246362
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,1183694
115388925185513,Magyar Szocialista Párt,MSZP,1076185
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,946009
592204747588011,Momentum Mozgalom,Momentum Mozgalom,889718
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,811338
107898832590939,European Commission,European Commission,796273
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,786762
1792920094355738,Simon Miklós országgyűlési képviselő,Dr. Simon Miklós,776771
100401808007704,EzaLényeg.hu,EzaLényeg.hu,675068
1880809845328535,Dobrev Klára,Demokratikus Koalíció,555618
264517713636590,PestiSracok.hu,PestiSrácok.hu,538890
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,523797
440197766088272,Jeszenszki András,MSZP,488829
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,469462
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,468559
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,456057
100680114833776,EzaLényeg.hu - Nyíregyháza,EzaLényeg.hu,447404
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,438236
471093016323310,Kovács Ferenc,Kovács Ferenc,427164
471093016323310,Kovács Ferenc,Dr. Kovács Ferenc,390424
471093016323310,Kovács Ferenc,These ads ran without a disclaimer,374388
114349043606073,EzaLényeg.hu - Nyírbátor,EzaLényeg.hu,311812
230385242742,KDNP és Frakciója,KDNP frakció,299696
284187002052790,Lengyel Máté,Jobbik Magyarországért Mozgalom,291465
438674070213065,Magyar Állampapír,Magyar Állampapír,289238
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,283782
202099276507678,24.hu,24.hu,279416
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,270248
326635018181862,Magyar Nemzet,Magyar Nemzet,268656
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,265666
149061108240,Kocsis Máté,Kocsis Máté,263290
100299381703981,Pesti TV,PestiTV,260231
108346693873484,Győrffy Balázs,Balazs Gyorffy,258361
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,244071
2158405567819066,Fülöp Attila,Fülöp Attila,233105
788960034452071,Potápi Árpád János,Potápi Árpád János,228014
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,220506
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,219116
164061553749320,Nemzeti Televízió,Alfahír Hírportál,214477
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,207275
102159197929139,Terra Case,Görög Ádám,204076
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,203560
227990271950152,Koncz Zsófia,Koncz Zsófia,197288
284187002052790,Lengyel Máté,Lengyel Máté,190789
1637701613185719,Dr. Gyüre Csaba,Országgyűlés Hivatala Jobbik Frakció,189431
594088897289853,Alapjogokért Központ,Alapjogokért Központ,184219
471957966936762,Aranyos Gábor,Aranyos Gábor,175706
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,174694
670057323048541,Szövetségben Nyíregyházáért,MSZP,174418
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,170875
306570976442637,Lövei Csaba,Lövei Csaba,167331
554058754619723,IKEA,IKEA,166879
294815374340858,Donáth Anna,Donáth Anna - Momentum,164991
44847086574,Amnesty International Magyarország,Amnesty International,162401
128573907819549,Fekete-Győr András,Fekete-Győr András,161460
141366725876424,European Greens,European Greens,158454
1425355697692924,Dr. Tóth Bertalan,MSZP,157894
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,156485
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,154506
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,151301
126539424061030,Háttér Társaság,Háttér Társaság,146975
407977179271063,Jobbik Nyíregyháza,Jobbik Nyíregyháza,143179
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,134734
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",133582
100432621680829,EzaLényeg.hu - Szatmár,EzaLényeg.hu,131478
1406386486355924,Partizán,Gulyás Márton Ferenc,129665
1916189258598218,Babosi György - Momentum,Babosi György,126303
605539649511179,Vinnai Győző,Dr. Vinnai Győző,125781
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,124907
814755801996851,Hanusi Péter,Dr. Hanusi Péter,124176
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,122669
851784814892644,Simicskó István,KDNP frakció,119781
977398622334966,Aliatic,These ads ran without a disclaimer,117843
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,116942
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,116883
102458644488152,Dócs Attila Kisvárda Független Polgármester Jelöltje,Dócs Attila,115191
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,110676
525574220799452,Alfahír,Alfahír Hírportál,109561
191946490841225,Dúró Dóra,Sipos,108134
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,103099
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,101143
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,100966
112879632128020,Novák Előd,Mi Hazánk Mozgalom,99031
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,97022
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,95699
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,88092
682448271826776,Cseh Katalin,Momentum Mozgalom,87026
191461774219575,hirado.hu,hirado.hu,86430
407084009419897,Dr. Szakács László,Dr. Szakács László,85569
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,83751
484401051735475,Príma,Príma,82033
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,80443
107985133878887,Pápai László,LMP - Lehet Más a Politika,80000
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,79345
112340457142250,EzaLényeg.hu - Kisvárda,EzaLényeg.hu,77237
510078013063912,Rózsa László Péter,Rózsa László Péter,76481
632806306818605,Novák Katalin,Novák Katalin,76135
114592706611259,Mi Hazánk Nyíregyháza  Mozgalom,Kovács Koppány Zoltán,75552
781030738624077,Gyöngyösi Márton,Országgyűlés Hivatala Jobbik Frakció,74606
438674070213065,Magyar Állampapír,These ads ran without a disclaimer,74435
2074269302652716,Menczer Tamás,These ads ran without a disclaimer,73995
85568463466,Mérce,Mérce,73299
1431472540477496,Dr. Fülöp Erik,Országgyűlés Hivatala,71813
1828572300805912,Rosatom Global,These ads ran without a disclaimer,71666
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,70707
320701218553533,Alternatíva Párt,Alternatíva párt,69966
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,69524
152408681635243,Hírklikk.hu,Hírklikk.hu,69424
1580459282191804,Agrármarketing Centrum,Agrármarketing Centrum,68913
228731803847927,Semjén Zsolt,Országgyűlés Hivatala KDNP frakció,67967
230385242742,KDNP és Frakciója,KDNP és Frakciója,66226
134477239724,Bringázz a Munkába,Magyar Kerékpárosklub,66056
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,65166
682448271826776,Cseh Katalin,Cseh Katalin,64540
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,63823
150836998898897,aHang,aHang,62660
506348326210466,Ungár Péter,Ungár Péter,62477
237088069704442,Ádám Kósa MEP,"Adam Kosa, Member of the European Parliament",61679
230385242742,KDNP és Frakciója,Országgyűlés Hivatala KDNP frakció,61199
734217673259088,Ujhelyi István dr.,MSZP,61038
781150971947219,Jakab Péter,Jobbik Magyarországért Mozgalom,59168
228731803847927,Semjén Zsolt,KDNP frakció,59078
149061108240,Kocsis Máté,Fidesz frakció,58285
108988690853942,Kásler Miklós,Kásler Miklós,57517
525574220799452,Alfahír,Kiegyensúlyozott Médiáért Alapítvány,57002
107038114001826,Igen Fehérgyarmatért,Farkas János,56054
132593883577930,Dr. Keresztes László Lóránt,Dr. Keresztes László Lóránt,55734
164978027477602,József Felföldi,József Felföldi,54126
53447723449,Publicus Intézet,Publicus Kutató és Tanácsadó Kft.,52882
745695918854943,Nyugati Fény,Nyugati Fény,51751
103024827750491,Mi Várunk,Országgyűlés Hivatala Jobbik Frakció,51686
112407120345686,Farkas Örs,Farkas Örs,50834
191946490841225,Dúró Dóra,These ads ran without a disclaimer,50430
110928260290350,Daily,These ads ran without a disclaimer,50000
1595121247382392,DK Nyíregyháza,\tDemokratikus Koalíció Sz-Sz-B Megye 1-2.,49809
76945222898,Startlap,Centrál Médiacsoport,49147
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,49039
112064378854586,Terror Háza Múzeum / House of Terror Museum,Terror Háza Múzeum / House of Terror Museum,49024
126893087354793,Európai Parlament,Európai Parlament,49021
1560795780732708,"Székely Sándor, az Igen Szolidaritás országgyűlési képviselője",Országgyűlés Hivatala,48851
180924612473518,Dr. Brenner Koloman,Országgyűlés Hivatala Jobbik Frakció,48411
2367481733536787,MSN Magyarország,These ads ran without a disclaimer,48276
257711127995971,Érem Művészeti Kiadó Kft.,These ads ran without a disclaimer,46592
1534911313439123,Ripost,Ripost,46555
193702058028595,Lázár János hivatalos oldala,Lázár János hivatalos oldala,46549
107898832590939,European Commission,These ads ran without a disclaimer,46413
243470906428319,Juhász Hajnalka,Juhász Hajnalka,46141
1084749598210454,Dr. Szabó Tünde,Dr. Szabó Tünde,45715
1377431695828132,Nagy István,Dr. Nagy István,45640
108271872940329,Ara-Kovacs Attila,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,45535
453253875264,Vágó Gábor,LMP - Lehet Más a Politika,44469
210242349159177,EU-Solar 0 Forintos Villanyszámla Garanciával,These ads ran without a disclaimer,44352
129382163754757,Jobbik Ifjúsági Tagozat,Jobbik Magyarországért Mozgalom,44188
543788999005363,ORIGO,New Wave Media Goup Kft.,43976
108941857376911,Igen Szolidaritás,Igen Szolidaritás,43049
142116653162328,Márki-Zay Péter,Márki-Zay Péter,42913
126893087354793,Európai Parlament,Európai Parlament Tájékoztatási Irodája,42576
740771415954618,MSZP Nyíregyháza,MSZP,42031
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,41631
114236027094531,Szedlák Attila,Szedlák Attila,41384
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara - NAK,41380
407977179271063,Jobbik Nyíregyháza,Lengyel Máté,41067
212126705625642,Kocsis-Cake Olivio,Párbeszéd Magyarországért,40845
103090587764746,Kiss László Mi Hazánk Mozgalom Nyíregyháza,Kiss László,40000
1855311791415561,Nurofen Magyarország,These ads ran without a disclaimer,39885
1215492498464496,Angyal Károly,Angyal Károly Tibor,39668
129382163754757,Jobbik Ifjúsági Tagozat,Országgyűlés Hivatala Jobbik Frakció,39590
160102384102712,Szél Bernadett,Szél Bernadett,39367
109503892404998,Világgazdaság,Világgazdaság,39045
1122781531137859,Ellenszél,Ellenszél,38922
112879632128020,Novák Előd,These ads ran without a disclaimer,37569
111858283936607,Igaz Hang,József Felföldi,37538
751133218288660,XXI. Század Intézet,Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Közalapítvány,37224
132720449036,Magyar Kerékpárosklub,Magyar Kerékpárosklub,36861
748348838626461,888.hu,888.hu,36770
206160682739388,Harrach Péter,Országgyűlés Hivatala KDNP frakció,36570
447556782025193,Magyar Munkáspárt,Magyar Munkáspárt,36476
