Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,5118631
9844779306,Fidesz,Fidesz,2033225
178362315106,European Parliament,European Parliament,1034847
109637397268775,Nyugati Pályán,Splendidea Communications Kft,850718
714000945703554,Bomba Gábor Szekszárd,Bomba Gábor László,801950
592204747588011,Momentum Mozgalom,Momentum Mozgalom,690468
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,591974
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,528111
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,456689
115388925185513,Magyar Szocialista Párt,MSZP,447494
264517713636590,PestiSracok.hu,PestiSrácok.hu,365290
107898832590939,European Commission,European Commission,332511
788960034452071,Potápi Árpád János,Potápi Árpád János,328200
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,327072
1880809845328535,Dobrev Klára,Demokratikus Koalíció,296699
100401808007704,EzaLényeg.hu,EzaLényeg.hu,288571
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,287839
462210020803922,Szabó Péter,Szabó Péter,278827
101708758054459,EzaLényeg.hu - Szekszárd,EzaLényeg.hu,244794
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,241767
108768290835212,EzaLényeg.hu - Dombóvár-Bonyhád,EzaLényeg.hu,226049
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,211809
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,210729
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,206666
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,179384
100299381703981,Pesti TV,PestiTV,162137
230385242742,KDNP és Frakciója,KDNP frakció,140503
108346693873484,Győrffy Balázs,Balazs Gyorffy,137217
326635018181862,Magyar Nemzet,Magyar Nemzet,136097
202099276507678,24.hu,24.hu,125764
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,123155
102159197929139,Terra Case,Görög Ádám,117422
1493725474070794,Atombiztos - Hárfás Zsolt blogja,Hárfás Zsolt,116656
438674070213065,Magyar Állampapír,Magyar Állampapír,115898
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,115046
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,108529
149061108240,Kocsis Máté,Kocsis Máté,106124
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,105581
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,101804
594088897289853,Alapjogokért Központ,Alapjogokért Központ,97427
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,97091
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,95178
164061553749320,Nemzeti Televízió,Alfahír Hírportál,91785
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,89660
128573907819549,Fekete-Győr András,Fekete-Győr András,87603
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,84498
294815374340858,Donáth Anna,Donáth Anna - Momentum,82346
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,77878
44847086574,Amnesty International Magyarország,Amnesty International,77205
2158405567819066,Fülöp Attila,Fülöp Attila,76827
100925038297344,EzaLényeg.hu - Paks,EzaLényeg.hu,76617
105110220872731,Hajdu Sándor Tolnai Polgármester Jelölt,Hajdu Sándor Zsolt,76449
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,75006
554058754619723,IKEA,IKEA,73819
1406386486355924,Partizán,Gulyás Márton Ferenc,72904
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,70872
1425355697692924,Dr. Tóth Bertalan,MSZP,67398
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,66887
141366725876424,European Greens,European Greens,65992
126539424061030,Háttér Társaság,Háttér Társaság,65469
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,61919
