Page ID,Page Name,Disclaimer,Amount Spent (HUF)
115388925185513,Magyar Szocialista Párt,MSZP,5498
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",1995
149061108240,Kocsis Máté,Kocsis Máté,1144
1786125951661386,Idetartozunk Egyesület,Idetartozunk Egyesület,1127
607398386415342,Nemesi Pál,Nemesi Pál,1026
1425355697692924,Dr. Tóth Bertalan,MSZP,893
592204747588011,Momentum Mozgalom,Momentum Mozgalom,648
1425355697692924,Dr. Tóth Bertalan,These ads ran without a disclaimer,608
109637397268775,Nyugati Pályán,Splendidea Communications Kft,588
103306314387366,1 Magyarország Kezdeményezés,Roma Sajtóközpont - Roma Press Center,510
120370174702378,Magyarország Kormánya,Magyarország Kormánya,497
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,462
281527466391,Magyar Zoltán,Országgyűlés Hivatala Jobbik Frakció,452
599385656745723,Simon Róbert Balázs,Kisalföld Marketing Kft.,422
544500459311951,Szeretem a Fuchs tojást,Hajdú Attila József,386
168868196656719,Lukoczki Károly,Lukoczki Károly,377
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,372
106280224056208,Gelencsér Ferenc,Gelencsér Ferenc József,370
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,364
694941900537141,Ágh Péter,Ágh Péter,353
560525343980775,Index.hu,Index.hu,340
596691814188107,Koroknai Imre,Koroknai Árpád,329
294815374340858,Donáth Anna,Donáth Anna - Momentum,328
1215492498464496,Angyal Károly,Angyal Károly Tibor,312
2561709470525501,Cycle.bio - Hungary,These ads ran without a disclaimer,300
137851763633896,Barlabás András,Barlabás András,291
2309737912651039,Péterffy Attila,Péterffy Attila,285
59602609998,OrosCafé,OrosCafé,267
341292696291575,Molnár Tamás 4. választókörzet Székesfehérvár,Molnár Tamás,265
115665941871814,Kiskőrös város,These ads ran without a disclaimer,256
505454183141061,Barcza Attila,Barcza Attila,251
1869511526651884,Dr. Zsigmond Barna Pál,Dr. Zsigmond Barna Pál,250
111084083597131,Decsi István,Decsi István,248
490006464353222,Dr. Lukács László György,Jobbik Magyarországért Mozgalom,241
1792920094355738,Simon Miklós országgyűlési képviselő,Dr. Simon Miklós,238
101340151247587,Spéth Géza polgármester,Nagy Gábor Imre,224
142317419120420,Royal Nyelviskola Győr,These ads ran without a disclaimer,224
326763130286,Borsod Online,Borsod Online,217
242038689992675,Somody László,Somody László Zoltán,216
136387873164491,Csárdi Antal,LMP - Lehet Más a Politika,215
106053540773813,nagy_istvan_miniszter,These ads ran without a disclaimer,197
730999340617214,Gábor Pintér,Dr. Pintér Gábor,196
1036660543179166,Filvig Géza,FIlvig Géza,193
428800467250448,Farkas Gergely,Országgyűlés Hivatala Jobbik Frakció,192
253114601689663,Vasas Szakszervezeti Szövetség,Vasas Szakszervezeti Szövetség,192
1130749080425647,Daam Alexandra,These ads ran without a disclaimer,191
1620606484919998,Alföldhír.hu,Alföldhír Kft.,190
100241004684178,Balázs Endre - Momentum,Balázs Endre,186
1567420900021321,Kara Ákos,Kara Ákos,175
108451703856510,Szabó Bence - Momentum,Szabó Bence,172
476064679618761,Hévíz választ,Papp Gábor,172
184922004946258,Horváth Csaba,These ads ran without a disclaimer,171
1438995906323127,Bősz Anett,Bősz Anett,170
113375923695023,Fidesz Budapest,Fidesz Budapest,165
338579539891169,Táncsics - Radikális Balpárt,Kristof Huzian,161
851784814892644,Simicskó István,KDNP frakció,159
1423746824538473,Bús Balázs,Bús Balázs,158
994901094011388,Mindenki Pécsért Egyesület,Péterffy Attila,157
