Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,6209059
9844779306,Fidesz,Fidesz,2512507
184890488198962,Bana Tibor,Bana Tibor,1464307
178362315106,European Parliament,European Parliament,1262941
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1087864
102111214501804,EzaLényeg.hu - Szombathely,EzaLényeg.hu,1034308
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,939358
109637397268775,Nyugati Pályán,Splendidea Communications Kft,933827
694941900537141,Ágh Péter,Ágh Péter,885641
506348326210466,Ungár Péter,Ungár Péter,874387
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,841960
205547789523736,Dr. Nemény András,Éljen Szombathely! Egyesület,712364
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,602038
100401808007704,EzaLényeg.hu,EzaLényeg.hu,595980
174794299225626,LMP Vas megye,LMP - Lehet Más a Politika,571940
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,554809
115388925185513,Magyar Szocialista Párt,MSZP,541878
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,488989
227518144860781,Balázsy Péter,Dr. Balázsy Péter,476546
107898832590939,European Commission,European Commission,401042
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,388913
184890488198962,Bana Tibor,Országgyűlés Hivatala Jobbik Frakció,383708
722640284860119,"Balázsy Péter, a bukott mamahoteles szombathelyi polgármesterjelölt",Horváth Csaba,372291
264517713636590,PestiSracok.hu,PestiSrácok.hu,367753
506348326210466,Ungár Péter,Ungár Péter országgyűlési képviselő,365841
1880809845328535,Dobrev Klára,Demokratikus Koalíció,330234
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,312660
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,308990
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,239623
296310837699,vaol.hu,vaol.hu,238198
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,232378
1406386486355924,Partizán,Gulyás Márton Ferenc,223382
103109218306038,Szombathelyi tények,Hauer Máté,222104
1820761161322160,ugytudjuk.hu,ugytudjuk.hu,221303
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,206154
233101666752758,Frisss.hu,Frisss.hu,192484
102159197929139,Terra Case,Görög Ádám,182685
722640284860119,"Balázsy Péter, a bukott mamahoteles szombathelyi polgármesterjelölt",These ads ran without a disclaimer,176898
171850263345844,Németh Ákos,LMP - Magyarország Zöld Pártja,174473
326635018181862,Magyar Nemzet,Magyar Nemzet,171677
333682340095114,Hende Csaba,Hende Csaba,167893
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,161304
100299381703981,Pesti TV,PestiTV,145774
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,141629
438674070213065,Magyar Állampapír,Magyar Állampapír,139580
230385242742,KDNP és Frakciója,KDNP frakció,139174
202099276507678,24.hu,24.hu,138417
149061108240,Kocsis Máté,Kocsis Máté,135152
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,133789
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,132710
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,123116
862470284143232,Momentum Szombathely,Momentum Mozgalom,121512
360876591136521,Dr. Czeglédy Csaba,Dr. Czeglédy Csaba,120569
102111214501804,EzaLényeg.hu - Szombathely,These ads ran without a disclaimer,120398
294815374340858,Donáth Anna,Donáth Anna - Momentum,116699
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,115493
164061553749320,Nemzeti Televízió,Alfahír Hírportál,112827
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,106835
1406386486355924,Partizán,These ads ran without a disclaimer,103725
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,103125
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,102723
594088897289853,Alapjogokért Központ,Alapjogokért Központ,101341
108346693873484,Győrffy Balázs,Balazs Gyorffy,100891
414939931942865,Rába Kálmán - Vas megye,Jobbik Magyarországért Mozgalom,100000
101959474858764,EzaLényeg.hu - Vas,EzaLényeg.hu,99272
868546349900900,Balassa Péter,Balassa Péter Sándor,97707
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,96108
128573907819549,Fekete-Győr András,Fekete-Győr András,94964
44847086574,Amnesty International Magyarország,Amnesty International,94180
554058754619723,IKEA,IKEA,93918
141366725876424,European Greens,European Greens,93550
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,92876
788960034452071,Potápi Árpád János,Potápi Árpád János,88932
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,80443
110181443655806,Otthonunkért Közösen Egyesület Celldömölk,Horváth Evelin,74829
977398622334966,Aliatic,These ads ran without a disclaimer,71068
2158405567819066,Fülöp Attila,Fülöp Attila,70842
126539424061030,Háttér Társaság,Háttér Társaság,70346
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,70118
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,68991
227518144860781,Balázsy Péter,These ads ran without a disclaimer,67420
1466827703576921,Pro Savaria Egyesület,Meleg Zita Mária,67037
1425355697692924,Dr. Tóth Bertalan,MSZP,66015
682448271826776,Cseh Katalin,Momentum Mozgalom,65445
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,65367
111950033611721,Zöld népszavazás 2020,LMP - Lehet Más a Politika,65192
525574220799452,Alfahír,Alfahír Hírportál,64395
579008042178786,V. Németh Zsolt,Berke Attila,60691
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,60000
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,59758
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,55501
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,54772
191461774219575,hirado.hu,hirado.hu,53497
851784814892644,Simicskó István,KDNP frakció,52924
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,52263
352264605444656,Koczka Tibor legyen Szombathely polgármestere,These ads ran without a disclaimer,52213
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,51378
284769298350576,ugytudjuk.hu,Horváth Evelin,51186
2071373879831946,Szombathelyen is a legerősebb keresztény-konzervatív jelölt induljon,These ads ran without a disclaimer,51126
142116653162328,Márki-Zay Péter,Márki-Zay Péter,50039
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,49844
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,49686
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,49126
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,48766
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,48116
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,46989
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,46040
439039620221129,Mindenki Magyarországa Mozgalom Szombathely,Sándor Koroknyai,45548
505454183141061,Barcza Attila,Barcza Attila,44767
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,44602
152408681635243,Hírklikk.hu,Hírklikk.hu,44435
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,44061
