Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,8176344
9844779306,Fidesz,Fidesz,3313045
178362315106,European Parliament,European Parliament,1798003
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1727241
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1245914
773120112778785,Rig Lajos,Országgyűlés Hivatala Jobbik Frakció,997245
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,955009
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,833511
115388925185513,Magyar Szocialista Párt,MSZP,701634
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,697372
264517713636590,PestiSracok.hu,PestiSrácok.hu,559656
107898832590939,European Commission,European Commission,552249
123565977690316,Együtt Balatonfűzfőért,Pintér András,543991
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,495053
428566461319900,Baráth Gábor,Baráth Gábor,483648
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,482477
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,474652
100401808007704,EzaLényeg.hu,EzaLényeg.hu,462960
1880809845328535,Dobrev Klára,Demokratikus Koalíció,428072
110313197104744,Szabad Városok,Mindenki Budapestért Egyesület,360865
2376623529248269,Bognár Róbert,Bognár Róbert János,359492
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,335197
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,326841
108346693873484,Győrffy Balázs,Balazs Gyorffy,304174
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,301585
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,280935
326635018181862,Magyar Nemzet,Magyar Nemzet,227001
109422090604934,EzaLényeg.hu - Veszprém,EzaLényeg.hu,226755
506348326210466,Ungár Péter,LMP - Lehet Más a Politika,209604
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,209312
102159197929139,Terra Case,Görög Ádám,204953
230385242742,KDNP és Frakciója,KDNP frakció,199237
100299381703981,Pesti TV,PestiTV,199095
202099276507678,24.hu,24.hu,190601
1370610756389472,Tőzsdeikereskedés.hu,Tőzsdeikereskedés.hu Kft,185520
438674070213065,Magyar Állampapír,Magyar Állampapír,184036
122702771108697,Magyar Hírlap,Magyar Hírlap Kiadói Kft.,177252
510019792386607,Emberi Erőforrások Minisztériuma,Emberi Erőforrások Minisztériuma,176666
164061553749320,Nemzeti Televízió,Alfahír Hírportál,173393
107260737656222,EzaLényeg.hu - Balatonvidék,EzaLényeg.hu,168049
294815374340858,Donáth Anna,Donáth Anna - Momentum,164048
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,161865
149061108240,Kocsis Máté,Kocsis Máté,159637
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,152318
1878531865537365,Kálmán Olga,Kálmán Olga Hivatalos oldala,151833
208726209161904,Z. Kárpát Dániel,Országgyűlés Hivatala Jobbik Frakció,151339
44847086574,Amnesty International Magyarország,Amnesty International,149933
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,146469
594088897289853,Alapjogokért Központ,Alapjogokért Központ,145288
109622783745728,Schwartz Béla,Közösen Ajkáért Egyesület,144744
2064360653675528,"Élhető, otthonos, zöld Veszprémet",Hartmann Ferenc,141933
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,140506
128573907819549,Fekete-Győr András,Fekete-Győr András,137366
788960034452071,Potápi Árpád János,Potápi Árpád János,131944
141366725876424,European Greens,European Greens,127271
554058754619723,IKEA,IKEA,126951
408159852575984,Dr. Kepli Lajos,Kepli Lajos,118620
428566461319900,Baráth Gábor,These ads ran without a disclaimer,118566
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,118031
916536061799484,Ovádi Péter,Ovádi Péter,116366
633803513751843,Aranyhíd Polgári Egyesület,Aranyhíd Polgári Egyesület,105795
105857420778395,Lendületet Veszprémnek - Adamecz Zoltán,Adamecz Zoltán,103893
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,103572
660306867367288,Közösen a városért,Galambos István,102935
1406386486355924,Partizán,Gulyás Márton Ferenc,102061
1104342402995557,Jobbik Veszprém megye,Jobbik Magyarországért Mozgalom,100000
682448271826776,Cseh Katalin,Momentum Mozgalom,97488
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,96945
1425355697692924,Dr. Tóth Bertalan,MSZP,95333
126539424061030,Háttér Társaság,Háttér Társaság,94732
525574220799452,Alfahír,Alfahír Hírportál,93885
2158405567819066,Fülöp Attila,Fülöp Attila,92830
191946490841225,Dúró Dóra,Sipos,87577
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,86340
108365073881877,Jósa Gábor független polgármesterjelölt,Jósa Gábor,85461
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,83141
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,82152
620030171664750,Mi Hazánk Mozgalom,Mi Hazánk Mozgalom,81359
240992133142811,Áldozó Tamás,These ads ran without a disclaimer,80982
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,80548
977398622334966,Aliatic,These ads ran without a disclaimer,79771
851784814892644,Simicskó István,KDNP frakció,77750
277576765768144,Porga Gyula,Porga Gyula,76750
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,75562
191461774219575,hirado.hu,hirado.hu,74361
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,73577
156170924737138,KDNP Balatonfüred Városi Szervezet,These ads ran without a disclaimer,72681
2092570681059566,Végh László,Végh László,72526
240992133142811,Áldozó Tamás,Dr. Áldozó Tamás Róbert,70546
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,70498
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,70285
85568463466,Mérce,Mérce,70184
506348326210466,Ungár Péter,Ungár Péter,69757
116905388345518,veol.hu,veol.hu,69296
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,68496
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,67086
104327644277324,Közösen Ajkáért Egyesület,Közösen Ajkáért Egyesület,66649
100516178339092,EzaLényeg.hu - Pápa,EzaLényeg.hu,66365
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,66312
193702058028595,Lázár János hivatalos oldala,Lázár János hivatalos oldala,65987
152408681635243,Hírklikk.hu,Hírklikk.hu,65796
704631519609996,Hegedűs Barbara,Hegedűs Barbara Szilvia,65594
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,65278
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,65080
2376623529248269,Bognár Róbert,These ads ran without a disclaimer,63687
103031211061075,Dr. Töreki-Vörös Ibolya önkormányzati képviselő,Dr. Töreki-Vörös Ibolya,61500
112879632128020,Novák Előd,Mi Hazánk Mozgalom,58979
319848491555131,Dr. Varga-Damm Andrea,Országgyűlés Hivatala Jobbik Frakció,57829
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,57465
682448271826776,Cseh Katalin,Cseh Katalin,55419
1431472540477496,Dr. Fülöp Erik,Országgyűlés Hivatala,54333
407084009419897,Dr. Szakács László,Dr. Szakács László,52412
257711127995971,Érem Művészeti Kiadó Kft.,These ads ran without a disclaimer,52322
109269260454688,Polyák István független polgármester - jelölt,Polyák István,51081
228731803847927,Semjén Zsolt,KDNP frakció,50713
134477239724,Bringázz a Munkába,Magyar Kerékpárosklub,50388
149631551730508,Fidesz Veszprém,Ovádi Péter,50165
438674070213065,Magyar Állampapír,These ads ran without a disclaimer,49738
781030738624077,Gyöngyösi Márton,Országgyűlés Hivatala Jobbik Frakció,49732
109475713743945,Bakos László önkormányzati képviselő,These ads ran without a disclaimer,48985
599485673455396,Magyar Éremkibocsátó Kft.,Magyar Éremkibocsátó Kft.,48840
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,47863
484401051735475,Príma,Príma,47576
632806306818605,Novák Katalin,Novák Katalin,47397
1828572300805912,Rosatom Global,These ads ran without a disclaimer,45878
437674733429219,Unger Tamás,These ads ran without a disclaimer,45836
53447723449,Publicus Intézet,Publicus Kutató és Tanácsadó Kft.,45571
149061108240,Kocsis Máté,Fidesz frakció,45236
150836998898897,aHang,aHang,44335
112265210317688,Drinki,Drinki,44070
437674733429219,Unger Tamás,Unger Tamás,41436
510078013063912,Rózsa László Péter,Rózsa László Péter,41330
1580459282191804,Agrármarketing Centrum,Agrármarketing Centrum,40412
132593883577930,Dr. Keresztes László Lóránt,Dr. Keresztes László Lóránt,40028
2367481733536787,MSN Magyarország,These ads ran without a disclaimer,39880
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,39604
230385242742,KDNP és Frakciója,Országgyűlés Hivatala KDNP frakció,39391
180924612473518,Dr. Brenner Koloman,Országgyűlés Hivatala Jobbik Frakció,39350
228731803847927,Semjén Zsolt,Országgyűlés Hivatala KDNP frakció,39079
773120112778785,Rig Lajos,Jobbik Magyarországért Mozgalom,38944
1434709893411423,Hartmann Ferenc,Hartmann Ferenc,38400
2074269302652716,Menczer Tamás,These ads ran without a disclaimer,38333
320701218553533,Alternatíva Párt,Alternatíva párt,38254
745695918854943,Nyugati Fény,Nyugati Fény,38103
230385242742,KDNP és Frakciója,KDNP és Frakciója,37838
112064378854586,Terror Háza Múzeum / House of Terror Museum,Terror Háza Múzeum / House of Terror Museum,36692
113503063355580,Héjássy Katalin,Héjássy Katalin,36500
112407120345686,Farkas Örs,Farkas Örs,36216
1567420900021321,Kara Ákos,Kara Ákos,36152
525574220799452,Alfahír,Kiegyensúlyozott Médiáért Alapítvány,35986
543788999005363,ORIGO,New Wave Media Goup Kft.,35875
1855311791415561,Nurofen Magyarország,These ads ran without a disclaimer,35534
142116653162328,Márki-Zay Péter,Márki-Zay Péter,35533
104963404190562,Dr Balassa Béla,dr Balassa Béla,35477
453253875264,Vágó Gábor,LMP - Lehet Más a Politika,35341
781150971947219,Jakab Péter,Jobbik Magyarországért Mozgalom,35303
734217673259088,Ujhelyi István dr.,MSZP,34514
109503892404998,Világgazdaság,Világgazdaság,34507
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,34326
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,34028
1560795780732708,"Székely Sándor, az Igen Szolidaritás országgyűlési képviselője",Országgyűlés Hivatala,34020
853618601425615,Dedoles,These ads ran without a disclaimer,33359
751133218288660,XXI. Század Intézet,Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Közalapítvány,32853
126893087354793,Európai Parlament,Európai Parlament,32766
108988690853942,Kásler Miklós,Kásler Miklós,32680
76945222898,Startlap,Centrál Médiacsoport,32612
160102384102712,Szél Bernadett,Szél Bernadett,31539
237088069704442,Ádám Kósa MEP,"Adam Kosa, Member of the European Parliament",31507
108271872940329,Ara-Kovacs Attila,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,30361
107898832590939,European Commission,These ads ran without a disclaimer,30095
1439786569610603,Dr. Fekete Dávid,Fekete Dávid,29764
108373263855369,Dr. Guias János Zsolt önkormányzati képviselő,These ads ran without a disclaimer,29585
206160682739388,Harrach Péter,Harrach Péter,29258
132720449036,Magyar Kerékpárosklub,Magyar Kerékpárosklub,29100
620030171664750,Mi Hazánk Mozgalom,These ads ran without a disclaimer,28792
126893087354793,Európai Parlament,Európai Parlament Tájékoztatási Irodája,28418
1215492498464496,Angyal Károly,Angyal Károly Tibor,27361
2103509783018217,Kovács Mihály,Kovács Mihály,27140
114236027094531,Szedlák Attila,Szedlák Attila,26977
1084749598210454,Dr. Szabó Tünde,Dr. Szabó Tünde,26870
100103228401991,Axióma,Axióma Kulturális Alapítvány,26418
129382163754757,Jobbik Ifjúsági Tagozat,Jobbik Magyarországért Mozgalom,26272
109117190565423,Számok - a baloldali álhírek ellenszere,Számok - a baloldali álhírek ellenszere,25934
191946490841225,Dúró Dóra,These ads ran without a disclaimer,25909
1122781531137859,Ellenszél,Ellenszél,25797
243470906428319,Juhász Hajnalka,Juhász Hajnalka,25764
599385656745723,Simon Róbert Balázs,These ads ran without a disclaimer,25695
164978027477602,József Felföldi,József Felföldi,25573
