Page ID,Page Name,Disclaimer,Amount Spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,6205981
9844779306,Fidesz,Fidesz,2625316
386132578063762,Balaicz Zoltán,Balaicz Zoltán,2030179
178362315106,European Parliament,European Parliament,1298682
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1267794
109637397268775,Nyugati Pályán,Splendidea Communications Kft,989725
1880809845328535,Dobrev Klára,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,666671
1767688026844895,Zalaegerszeg Megyei Jogú Város,Zalaegerszegi Televízió,603183
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,584379
115388925185513,Magyar Szocialista Párt,MSZP,543885
287770891404,Jobbik Magyarországért Mozgalom,Jobbik Magyarországért Mozgalom,543381
264517713636590,PestiSracok.hu,PestiSrácok.hu,428178
107898832590939,European Commission,European Commission,419534
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,389220
100401808007704,EzaLényeg.hu,EzaLényeg.hu,384900
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,381968
1880809845328535,Dobrev Klára,Demokratikus Koalíció,374447
287770891404,Jobbik Magyarországért Mozgalom,Országgyűlés Hivatala Jobbik Frakció,351010
564241793665936,Vigh László,Vigh László,345003
105198897710561,EzaLényeg.hu - Zala,EzaLényeg.hu,340307
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,318157
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,277517
112693416940703,EzaLényeg.hu - Nagykanizsa,EzaLényeg.hu,267510
47198507012,LMP - Magyarország Zöld Pártja,LMP - Lehet Más a Politika,259004
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,243877
781150971947219,Jakab Péter,Országgyűlés Hivatala Jobbik Frakció,206962
326635018181862,Magyar Nemzet,Magyar Nemzet,186511
100299381703981,Pesti TV,PestiTV,183759
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,179823
1767688026844895,Zalaegerszeg Megyei Jogú Város,Zalaegerszeg Megyei Jogú Város,178000
230385242742,KDNP és Frakciója,KDNP frakció,163092
