Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
116635611711738,merrionstreet.ie,merrionstreet.ie,124530,50
264172043210,Fine Gael,Fine Gael,111166,185
222629035132,Fianna Fáil,Fianna Fáil,101774,375
18135444535,Trocaire,Trocaire,95955,559
580832208630212,Referendum Commission,Referendum Commission,93470,30
178362315106,European Parliament,European Parliament,91365,920
291934661006674,HSE Ireland,HSE Ireland,81386,149
201612129410,Oxfam,Oxfam,81342,229
148726998530273,Sinn Féin Ireland,Sinn Féin,79476,2572
6891149895,Concern Worldwide,Concern Worldwide,74072,275
323833692991,ActionAid Ireland,ActionAid Ireland,63310,1657
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,58500,109
1410175299237713,AIB,AIB,56674,108
208480693834,Irish Farmers Journal,Irish Farmers Journal,36058,178
164027949687,Labour Party,Labour Party,27158,205
253456724751421,Bank of Ireland,Bank of Ireland,26985,18
192929340724203,GOAL,GOAL,25879,188
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,25751,102
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,23941,590
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,21799,12
157979074251209,Irish Universities Association,Irish Universities Association,20299,32
606728556470393,paddycosgrave,Patrick Cosgrave,20097,29
178974912140818,Leo Varadkar T.D.,Fine Gael,18307,30
210059959032336,Dominic Hannigan,Dominic Hannigan,16838,186
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,16703,16
201612129410,Oxfam,These ads ran without a disclaimer,16493,208
1832237970132786,Healthy Ireland,Healthy Ireland,15621,72
260630414430823,Department of Social Protection,These ads ran without a disclaimer,14389,2
328781076730,Focus Ireland,Focus Ireland,13982,130
107898832590939,European Commission,European Commission,13121,199
43110923010,Facebook,Facebook Ireland,13069,4
883806764992893,Maria Walsh,Fine Gael,12668,31
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,12500,16
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,12000,7
580216935345125,Matt Carthy,Carthy Matt,11531,114
1619368304944013,Ulster Bank,Ulster Bank,11339,31
305608429284,EU Environment,Egan William,11129,64
108339693065,Green Party Ireland,Green Party Ireland,10991,612
811773748881458,The Business Post,The Business Post,10315,79
212716455604784,EirGrid,EirGrid,8739,16
511408785621387,Andy Harrington - Jet Set Speaker,These ads ran without a disclaimer,8674,18
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,8288,61
2002340613394109,Mark Durkan,Fine Gael,8264,29
156398467784136,Ruth Coppinger,Solidarity - The Left Alternative,8239,93
141366725876424,European Greens,European Greens,8193,14
395121633857254,SEAI,SEAI,8063,40
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",7741,23
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,7689,93
908532162532297,Mick Barry TD,Solidarity - The Left Alternative,7659,125
615775065467919,PV Generation,Joseph Garvin,7326,170
115885998520125,Women for Election,Women for Election,7241,27
