Page ID,Page Name,Disclaimer,Amount Spent (EUR)
264172043210,Fine Gael,Fine Gael,12809
116635611711738,merrionstreet.ie,merrionstreet.ie,12333
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,10890
222629035132,Fianna Fáil,Fianna Fáil,10411
580832208630212,Referendum Commission,Referendum Commission,9989
18135444535,Trocaire,Trocaire,9851
148726998530273,Sinn Féin Ireland,Sinn Féin,9785
178362315106,European Parliament,European Parliament,9364
201612129410,Oxfam,Oxfam,8783
291934661006674,HSE Ireland,HSE Ireland,8338
6891149895,Concern Worldwide,Concern Worldwide,7885
908532162532297,Mick Barry TD,Solidarity - The Left Alternative,6790
323833692991,ActionAid Ireland,ActionAid Ireland,6593
1410175299237713,AIB,AIB,5496
362977374551705,James O'Connor TD,O Connor James Finbarr,4941
208480693834,Irish Farmers Journal,Irish Farmers Journal,3964
516116248507364,Deirdre Clune MEP,Deirdre Clune MEP,3604
1942584782641413,Colm Burke TD,Fine Gael,3297
263238917631520,Holly Cairns TD,Cairns Holly Leah,3280
164027949687,Labour Party,Labour Party,3011
185032148201312,Seán Sherlock TD,Seán Sherlock,2726
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,2621
253456724751421,Bank of Ireland,Bank of Ireland,2533
192929340724203,GOAL,GOAL,2473
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,2410
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,2334
157979074251209,Irish Universities Association,Irish Universities Association,2262
201612129410,Oxfam,These ads ran without a disclaimer,1929
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1866
328781076730,Focus Ireland,Focus Ireland,1808
107898832590939,European Commission,European Commission,1798
606728556470393,paddycosgrave,Patrick Cosgrave,1690
1832237970132786,Healthy Ireland,Healthy Ireland,1580
260630414430823,Department of Social Protection,These ads ran without a disclaimer,1562
1810301579228100,Cllr. John Maher - Labour Party - Cork City North East,Labour Party,1533
1942584782641413,Colm Burke TD,Colm Burke,1495
178974912140818,Leo Varadkar T.D.,Fine Gael,1490
1620952468216589,CleanBee - Munster,Aurimas Jantauskas,1469
112752283514349,Cllr. Pádraig O'Sullivan,Fianna Fáil,1433
446108262434465,Oliver Moran,The Green Party/An Comhaontas Glas,1361
434792943243729,Donnchadh Ó Laoghaire,Donnchadh Ó Laoghaire,1341
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,1292
43110923010,Facebook,Facebook Ireland,1286
1376475039295217,Shane O'Callaghan Fine Gael,Shane Senan O Callaghan,1279
615775065467919,PV Generation,Joseph Garvin,1232
367182798860,Organico Bantry,Organico Bantry,1213
107702220618670,Becky Kealy Aontú,Becky Kealy,1128
1619368304944013,Ulster Bank,Ulster Bank,1088
305608429284,EU Environment,Egan William,1071
811773748881458,The Business Post,The Business Post,1063
115885998520125,Women for Election,Women for Election,973
395121633857254,SEAI,SEAI,969
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,941
112519427263066,Cork County Council Environment Department,Cork County Council Environmental Awareness Office,925
212716455604784,EirGrid,EirGrid,900
1810301579228100,Cllr. John Maher - Labour Party - Cork City North East,John Daniel Maher,884
141366725876424,European Greens,European Greens,858
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,849
182598088450822,McSport,These ads ran without a disclaimer,840
786865738356162,Sheila Nunan for Europe,The Labour Party,832
193590653989945,Simon Coveney,Fine Gael,809
442937496280869,Which Mortgage,Which Mortgage,788
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",773
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,735
108339693065,Green Party Ireland,Green Party Ireland,733
34812247970,Malcolm Byrne,Malcolm Byrne Page,694
227964058053,Aviva,Aviva,692
109379603774944,The Pension Experts,Gareth Byrne,661
16352623251,Self Help Africa,Self Help Africa,647
774617965974573,HSE mychild.ie,HSE mychild.ie,646
28312410177,World Food Programme,These ads ran without a disclaimer,643
118151521564978,SSE Airtricity,SSE Airtricity,631
