Page ID,Page Name,Disclaimer,Amount Spent (EUR)
116635611711738,merrionstreet.ie,merrionstreet.ie,1764
264172043210,Fine Gael,Fine Gael,1710
222629035132,Fianna Fáil,Fianna Fáil,1358
178362315106,European Parliament,European Parliament,1206
291934661006674,HSE Ireland,HSE Ireland,1156
18135444535,Trocaire,Trocaire,1152
580832208630212,Referendum Commission,Referendum Commission,1136
201612129410,Oxfam,Oxfam,1027
148726998530273,Sinn Féin Ireland,Sinn Féin,944
6891149895,Concern Worldwide,Concern Worldwide,941
1410175299237713,AIB,AIB,852
323833692991,ActionAid Ireland,ActionAid Ireland,673
208480693834,Irish Farmers Journal,Irish Farmers Journal,666
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,532
1525091774472331,Thomasina Connell,These ads ran without a disclaimer,531
200875073325354,Andrew Doyle,Andrew Doyle,450
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,415
253456724751421,Bank of Ireland,Bank of Ireland,409
110857323663828,Sean Fleming,Sean Fleming,406
192929340724203,GOAL,GOAL,315
157979074251209,Irish Universities Association,Irish Universities Association,286
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,284
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,267
1832237970132786,Healthy Ireland,Healthy Ireland,258
606728556470393,paddycosgrave,Patrick Cosgrave,257
1233722746690325,Minister Pippa Hackett,Laois Offaly Green Party,242
34812247970,Malcolm Byrne,Malcolm Byrne Page,238
260630414430823,Department of Social Protection,These ads ran without a disclaimer,231
107898832590939,European Commission,European Commission,225
178974912140818,Leo Varadkar T.D.,Fine Gael,222
201612129410,Oxfam,These ads ran without a disclaimer,196
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,179
696488343697165,Fiona McLoughlin Healy,Fiona McLoughlin Healy,165
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,165
164027949687,Labour Party,Labour Party,160
43110923010,Facebook,Facebook Ireland,157
108165364057813,Cathal Berry,Cathal Peter Berry,156
305608429284,EU Environment,Egan William,156
328781076730,Focus Ireland,Focus Ireland,152
108339693065,Green Party Ireland,Green Party Ireland,148
615775065467919,PV Generation,Joseph Garvin,137
212716455604784,EirGrid,EirGrid,137
811773748881458,The Business Post,The Business Post,136
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,136
2183904081677471,Naeem Iqbal - Twoj radny,These ads ran without a disclaimer,134
191694581371518,Cllr Suzanne Doyle,Suzanne Doyle,130
469695723432344,Eoin Barry,Barry Eoin,128
470977316331509,NRG PANEL,These ads ran without a disclaimer,123
516116248507364,Deirdre Clune MEP,Deirdre Clune MEP,122
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,120
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,119
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",118
86357212691,Athlone Institute of Technology,These ads ran without a disclaimer,118
1619368304944013,Ulster Bank,Ulster Bank,117
395121633857254,SEAI,SEAI,117
109379603774944,The Pension Experts,Gareth Byrne,116
786865738356162,Sheila Nunan for Europe,The Labour Party,115
265597210277563,Brian Stanley T.D.,Brian Stanley,107
88243924389,Depaul Ireland,Depaul Ireland,105
2255876974741842,Cllr Noel Tuohy,Marie Tuohy,≤100
174520041078,University College Dublin,University College Dublin,≤100
105958862827971,Debra Ireland - The Butterfly Skin Charity,Debra Ireland,≤100
141366725876424,European Greens,European Greens,≤100
