Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1629444570695976,Minister Frank Feighan,Frank Feighan,2228
264172043210,Fine Gael,Fine Gael,819
222629035132,Fianna Fáil,Fianna Fáil,813
18135444535,Trocaire,Trocaire,802
116635611711738,merrionstreet.ie,merrionstreet.ie,707
6891149895,Concern Worldwide,Concern Worldwide,637
201612129410,Oxfam,Oxfam,608
291934661006674,HSE Ireland,HSE Ireland,520
178362315106,European Parliament,European Parliament,499
148726998530273,Sinn Féin Ireland,Sinn Féin,498
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,478
883806764992893,Maria Walsh,Fine Gael,417
580832208630212,Referendum Commission,Referendum Commission,406
323833692991,ActionAid Ireland,ActionAid Ireland,399
208480693834,Irish Farmers Journal,Irish Farmers Journal,386
1410175299237713,AIB,AIB,365
210059959032336,Dominic Hannigan,Dominic Hannigan,259
253456724751421,Bank of Ireland,Bank of Ireland,217
580216935345125,Matt Carthy,Carthy Matt,208
192929340724203,GOAL,GOAL,197
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,174
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,172
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,163
1619368304944013,Ulster Bank,Ulster Bank,155
178974912140818,Leo Varadkar T.D.,Fine Gael,146
606728556470393,paddycosgrave,Patrick Cosgrave,142
313404689040992,Councillor Thomas Walsh,Thomas Francis Walsh,132
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,121
157979074251209,Irish Universities Association,Irish Universities Association,120
201612129410,Oxfam,These ads ran without a disclaimer,115
1703536769876862,Declan Bree - Independent,Whyte Corey,108
61077332060,Marian Harkin,James Harkin,≤100
107898832590939,European Commission,European Commission,≤100
260630414430823,Department of Social Protection,These ads ran without a disclaimer,≤100
254734251316951,Sligo - Leitrim Fine Gael,Kenneth Christopher Henry,≤100
1832237970132786,Healthy Ireland,Healthy Ireland,≤100
531710393984203,Nessa Cosgrove,Nessa Margaret Cosgrove,≤100
2242183922693730,Saoirse McHugh,Green Party Ireland,≤100
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,≤100
395965057626422,"Dr. Fidelma Healy Eames Independent Candidate, EU elections",Healy Eames Fidelma,≤100
305608429284,EU Environment,Egan William,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
