Page ID,Page Name,Disclaimer,Amount Spent (EUR)
116635611711738,merrionstreet.ie,merrionstreet.ie,3499
580832208630212,Referendum Commission,Referendum Commission,3334
148726998530273,Sinn Féin Ireland,Sinn Féin,3264
222629035132,Fianna Fáil,Fianna Fáil,2675
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,2626
264172043210,Fine Gael,Fine Gael,2463
2317864215165358,Senator Annie Hoey,Annie Hoey,2372
18135444535,Trocaire,Trocaire,2334
291934661006674,HSE Ireland,HSE Ireland,2250
178362315106,European Parliament,European Parliament,2157
6891149895,Concern Worldwide,Concern Worldwide,2070
871894289821855,French First,French Noel Edward,1811
210059959032336,Dominic Hannigan,Dominic Hannigan,1786
201612129410,Oxfam,Oxfam,1771
1410175299237713,AIB,AIB,1714
323833692991,ActionAid Ireland,ActionAid Ireland,1364
341914919905971,Sarah Reilly,Sarah Marie Reilly,1268
677425502390676,Regina Doherty,Regina Doherty,1226
502868399734807,Senator Sharon Keogan,Keogan4Meath,1077
208480693834,Irish Farmers Journal,Irish Farmers Journal,999
253456724751421,Bank of Ireland,Bank of Ireland,777
127878797394967,Darren O'Rourke TD,O'ROURKE DARREN MATTHEW,733
192929340724203,GOAL,GOAL,722
1074064986019581,Doyle  French  Reilly - Sinn Fein Cumann South Navan,Cathal Mooney,691
2206956372697972,Seán McCabe,Mc Cabe Sean Bernard,674
580216935345125,Matt Carthy,Carthy Matt,652
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,649
1181205802001387,Cllr. Ronan Moore,Moore Ronan,601
740004202875853,Peadar Tóibín,Peadar Tóibín,599
606728556470393,paddycosgrave,Patrick Cosgrave,598
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,512
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,506
157979074251209,Irish Universities Association,Irish Universities Association,498
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,485
260630414430823,Department of Social Protection,These ads ran without a disclaimer,479
1832237970132786,Healthy Ireland,Healthy Ireland,459
693773770633178,Meath Labour,Brian Collins,450
107898832590939,European Commission,European Commission,440
164027949687,Labour Party,Labour Party,436
1721804911418647,Thomas Byrne TD,Thomas Benedict Byrne,399
328781076730,Focus Ireland,Focus Ireland,327
178974912140818,Leo Varadkar T.D.,Fine Gael,327
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,324
651567734900881,Alan Tobin,Alan Tobin,324
248607801969670,Paddy Meade for Meath County Council,Meade Patrick Eugene,322
128897183855668,Ged Nash TD,Senator Ged Nash,311
811773748881458,The Business Post,The Business Post,308
201612129410,Oxfam,These ads ran without a disclaimer,306
302979946700167,Interactions,Interactions Research,286
305608429284,EU Environment,Egan William,285
127878797394967,Darren O'Rourke TD,Sinn Féin,278
43110923010,Facebook,Facebook Ireland,278
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,276
2242183922693730,Saoirse McHugh,Green Party Ireland,265
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,251
469286466578136,Louise O'Reilly TD,Louise O Reilly,243
2317864215165358,Senator Annie Hoey,These ads ran without a disclaimer,232
871894289821855,French First,These ads ran without a disclaimer,231
212716455604784,EirGrid,EirGrid,230
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",225
395121633857254,SEAI,SEAI,215
511408785621387,Andy Harrington - Jet Set Speaker,These ads ran without a disclaimer,213
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,211
615775065467919,PV Generation,Joseph Garvin,209
689114891286642,Cllr Gerry O'Connor Peace Commissioner,O'CONNOR GERARD PATRICK,209
1524716941163628,Ross Kelly - Peace Commissioner,These ads ran without a disclaimer,206
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,197
156398467784136,Ruth Coppinger,Solidarity - The Left Alternative,195
176396205873866,Cllr. Deirdre Geraghty-Smith,Deirdre Anne Smith,186
88243924389,Depaul Ireland,Depaul Ireland,184
