Page ID,Page Name,Disclaimer,Amount Spent (EUR)
840685226025419,Jackie Cahill TD,Jackie Cahill TD,4541
1608686222731082,Michael Lowry T.D.,Michael Lowry,4371
264172043210,Fine Gael,Fine Gael,3785
116635611711738,merrionstreet.ie,merrionstreet.ie,3683
222629035132,Fianna Fáil,Fianna Fáil,3248
18135444535,Trocaire,Trocaire,3126
178362315106,European Parliament,European Parliament,2603
291934661006674,HSE Ireland,HSE Ireland,2480
580832208630212,Referendum Commission,Referendum Commission,2404
6891149895,Concern Worldwide,Concern Worldwide,2293
201612129410,Oxfam,Oxfam,2278
275236869996076,Sandra Farrell - A Better Way For Tipperary,Sandra Crowley,1831
1410175299237713,AIB,AIB,1826
444740862350431,Alan Kelly TD,Alan Kelly,1702
208480693834,Irish Farmers Journal,Irish Farmers Journal,1601
323833692991,ActionAid Ireland,ActionAid Ireland,1591
148726998530273,Sinn Féin Ireland,Sinn Féin,1411
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,1222
112260043651945,Vote For Joe,Joseph Hannigan,1220
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,924
253456724751421,Bank of Ireland,Bank of Ireland,814
192929340724203,GOAL,GOAL,786
340786422717552,Sean Kelly MEP,Sean Kelly MEP,704
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,687
164027949687,Labour Party,Labour Party,685
178974912140818,Leo Varadkar T.D.,Fine Gael,669
157979074251209,Irish Universities Association,Irish Universities Association,663
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,633
34812247970,Malcolm Byrne,Malcolm Byrne Page,604
606728556470393,paddycosgrave,Patrick Cosgrave,531
1832237970132786,Healthy Ireland,Healthy Ireland,512
2024184371132618,Senator Garret Ahearn,Lee Flanagan,503
107898832590939,European Commission,European Commission,499
201612129410,Oxfam,These ads ran without a disclaimer,490
260630414430823,Department of Social Protection,These ads ran without a disclaimer,467
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,414
516116248507364,Deirdre Clune MEP,Deirdre Clune MEP,408
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,379
212716455604784,EirGrid,EirGrid,346
43110923010,Facebook,Facebook Ireland,341
305608429284,EU Environment,Egan William,340
811773748881458,The Business Post,The Business Post,331
328781076730,Focus Ireland,Focus Ireland,329
105777687566248,Rob O'Donnell - Tipperary Green Party,Rob O'Donnell - Tipperary Green Party,290
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,279
786865738356162,Sheila Nunan for Europe,The Labour Party,265
109379603774944,The Pension Experts,Gareth Byrne,260
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,258
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,253
395121633857254,SEAI,SEAI,240
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",239
88243924389,Depaul Ireland,Depaul Ireland,236
314539312539859,Brendan Murphy - Peace Commissioner,These ads ran without a disclaimer,230
615775065467919,PV Generation,Joseph Garvin,224
174520041078,University College Dublin,University College Dublin,210
774617965974573,HSE mychild.ie,HSE mychild.ie,210
141366725876424,European Greens,European Greens,209
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,205
16352623251,Self Help Africa,Self Help Africa,202
227964058053,Aviva,Aviva,196
131595511841,CCPC,CCPC,195
333803447243279,Cllr. Imelda Goldsboro,Michael Kealy,190
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,188
105958862827971,Debra Ireland - The Butterfly Skin Charity,Debra Ireland,186
118151521564978,SSE Airtricity,SSE Airtricity,183
158325247540273,Life Institute,Life Institute,177
1619368304944013,Ulster Bank,Ulster Bank,158
1671337413144589,Shane Ross,Shane Ross,156
239085373293887,MariaByrne,Bryne Bridget Mary,153
28312410177,World Food Programme,These ads ran without a disclaimer,150
344422890306,SpunOut.ie,SpunOut.ie,145
149890191689087,Bord Gáis Energy,Bord Gáis Energy,143
141609685900366,InterTradeIreland,These ads ran without a disclaimer,143
116635611711738,merrionstreet.ie,"Department of Enterprise, Trade and Employment",140
574029596021905,People Before Profit,People Before Profit,134
116151744907,IIEA,IIEA,132
455196627967510,Gas Networks Ireland,Gas Networks Ireland (GNI),128
2024184371132618,Senator Garret Ahearn,Garret Ahearn,126
420422991638510,NOW TV,These ads ran without a disclaimer,121
927073384052236,Fianna Fáil Forever,These ads ran without a disclaimer,108
580763859048353,Gript,Gript,107
159788160765346,Calor Ireland,These ads ran without a disclaimer,106
247809738564793,BeLonG To Youth Services,BeLonG To Youth Services,102
367182798860,Organico Bantry,Organico Bantry,101
377716962315255,Spotify,These ads ran without a disclaimer,≤100
386014808271737,Hope Ireland,Hope Ireland,≤100
908532162532297,Mick Barry TD,Solidarity - The Left Alternative,≤100
444740862350431,Alan Kelly TD,These ads ran without a disclaimer,≤100
358553987942544,Rockshore,These ads ran without a disclaimer,≤100
86357212691,Athlone Institute of Technology,These ads ran without a disclaimer,≤100
200875073325354,Andrew Doyle,Andrew Doyle,≤100
1065942253417902,Billy Kelleher MEP,Billy Kelleher MEP (Renew Europe),≤100
116509125035939,Christian Aid Ireland,Christian Aid Ireland,≤100
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100
114570545240850,Who Gives A Crap,These ads ran without a disclaimer,≤100
185032148201312,Seán Sherlock TD,Seán Sherlock,≤100
110887970240718,Tim Cullinan IFA,Denise Whitmore,≤100
541250599362726,Protect Life,Family & Life,≤100
280965412440,National Youth Council of Ireland,National Youth Council of Ireland,≤100
1665062297111025,IOM Ireland,IOM Ireland,≤100
92638258613,Simon Communities of Ireland,Simon Communities of Ireland,≤100
758725787550554,Independent Ireland,Ryan Purcell Walter,≤100
1931709023726259,STAND,STAND.ie,≤100
1615391422074791,Micheál Martin,Micheal Martin,≤100
408393959529245,Support Your Local,Sinead O'Reilly,≤100
78701493153,European Movement Ireland,Lisa Nic An Bhreithimh,≤100
2259750964278363,"Department of Housing, Local Government and Heritage",These ads ran without a disclaimer,≤100
108339693065,Green Party Ireland,Green Party Ireland,≤100
1531955060259795,Ciara McCormack - Sinn Féin Thurles Area Rep,These ads ran without a disclaimer,≤100
165050580250025,Development Perspectives,Development Perspectives,≤100
10150093430360004,Democrats Abroad Ireland,Democrats Abroad,≤100
337495229149,All Ireland Rally for Life,Life Institute,≤100
867537843286951,Mattie McGrath TD,MC GRATH MÁIRÍN,≤100
205830066112238,You Can Quit,You Can Quit,≤100
2177632682563843,Òmnium Civil Rights Europe,These ads ran without a disclaimer,≤100
89499899901,SPIN South West,SPIN South West,≤100
137357969666256,GCN,GCN,≤100
