Page ID,Page Name,Disclaimer,Amount Spent (EUR)
116635611711738,merrionstreet.ie,merrionstreet.ie,5476
264172043210,Fine Gael,Fine Gael,4723
18135444535,Trocaire,Trocaire,4437
580832208630212,Referendum Commission,Referendum Commission,4020
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,3888
222629035132,Fianna Fáil,Fianna Fáil,3627
148726998530273,Sinn Féin Ireland,Sinn Féin,3464
178362315106,European Parliament,European Parliament,3162
291934661006674,HSE Ireland,HSE Ireland,3039
6891149895,Concern Worldwide,Concern Worldwide,2958
201612129410,Oxfam,Oxfam,2916
590527104313523,Pearse Doherty,Pearse Doherty,2430
1410175299237713,AIB,AIB,2277
883806764992893,Maria Walsh,Fine Gael,1913
208480693834,Irish Farmers Journal,Irish Farmers Journal,1806
323833692991,ActionAid Ireland,ActionAid Ireland,1774
210059959032336,Dominic Hannigan,Dominic Hannigan,1690
580216935345125,Matt Carthy,Carthy Matt,1549
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,1275
158539504310135,Pádraig Mac Lochlainn TD,Senator Pádraig Mac Lochlainn,1267
253456724751421,Bank of Ireland,Bank of Ireland,1059
192929340724203,GOAL,GOAL,921
606728556470393,paddycosgrave,Patrick Cosgrave,854
178974912140818,Leo Varadkar T.D.,Fine Gael,830
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,815
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,805
157979074251209,Irish Universities Association,Irish Universities Association,709
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,694
109257543908579,Niall McConnell - The Irish Patriot,These ads ran without a disclaimer,685
1832237970132786,Healthy Ireland,Healthy Ireland,652
1629444570695976,Minister Frank Feighan,Frank Feighan,650
107898832590939,European Commission,European Commission,646
201612129410,Oxfam,These ads ran without a disclaimer,573
266203563414682,Thomas Pringle TD,Thomas Pringle,547
260630414430823,Department of Social Protection,These ads ran without a disclaimer,505
