Page ID,Page Name,Disclaimer,Amount Spent (EUR)
116635611711738,merrionstreet.ie,merrionstreet.ie,45595
178362315106,European Parliament,European Parliament,35436
264172043210,Fine Gael,Fine Gael,34716
580832208630212,Referendum Commission,Referendum Commission,33805
18135444535,Trocaire,Trocaire,33478
201612129410,Oxfam,Oxfam,30394
291934661006674,HSE Ireland,HSE Ireland,29395
222629035132,Fianna Fáil,Fianna Fáil,29263
148726998530273,Sinn Féin Ireland,Sinn Féin,26824
323833692991,ActionAid Ireland,ActionAid Ireland,26793
6891149895,Concern Worldwide,Concern Worldwide,24871
1410175299237713,AIB,AIB,19532
164027949687,Labour Party,Labour Party,13314
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,12349
253456724751421,Bank of Ireland,Bank of Ireland,9676
192929340724203,GOAL,GOAL,9413
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,9317
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,8809
606728556470393,paddycosgrave,Patrick Cosgrave,8384
2002340613394109,Mark Durkan,Fine Gael,8249
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,8058
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,7581
208480693834,Irish Farmers Journal,Irish Farmers Journal,7158
157979074251209,Irish Universities Association,Irish Universities Association,6993
178974912140818,Leo Varadkar T.D.,Fine Gael,6947
156398467784136,Ruth Coppinger,Solidarity - The Left Alternative,6762
511408785621387,Andy Harrington - Jet Set Speaker,These ads ran without a disclaimer,6571
328781076730,Focus Ireland,Focus Ireland,6321
201612129410,Oxfam,These ads ran without a disclaimer,6037
43110923010,Facebook,Facebook Ireland,5739
719890584766018,Paul Murphy TD,Paul Murphy TD,5645
1619368304944013,Ulster Bank,Ulster Bank,5403
2001188669995923,Alan Kerrigan,Alan Thomas Kerrigan,5206
1832237970132786,Healthy Ireland,Healthy Ireland,5195
108339693065,Green Party Ireland,Green Party Ireland,5153
680383782013115,Emer Higgins T.D.,Fine Gael,5151
115885998520125,Women for Election,Women for Election,5134
260630414430823,Department of Social Protection,These ads ran without a disclaimer,4623
2191197471159741,PandaPower.ie,Lisa Gillivan,4409
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,4396
116151744907,IIEA,IIEA,4157
305608429284,EU Environment,Egan William,3988
1536535833238375,Richard Boyd Barrett TD,Richard Boyd Barrett TD,3913
811773748881458,The Business Post,The Business Post,3767
1012851375393300,Social Democrats,Social Democrats,3521
1055105841226515,Senator Alice-Mary Higgins,Alice Mary Higgins,3379
107898832590939,European Commission,European Commission,3204
286177884865240,Jack Chambers,Jack Chambers,3141
141366725876424,European Greens,European Greens,3132
302584593224671,Frances Fitzgerald,Fine Gael,3121
574029596021905,People Before Profit,People Before Profit,3086
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,2954
174520041078,University College Dublin,University College Dublin,2928
817142228361834,Aengus O Snodaigh TD,Aengus O Snodaigh TD,2918
55561789395,Cormac Devlin TD,Cormac Devlin,2821
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",2821
28312410177,World Food Programme,These ads ran without a disclaimer,2790
395121633857254,SEAI,SEAI,2732
88243924389,Depaul Ireland,Depaul Ireland,2606
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,2539
212716455604784,EirGrid,EirGrid,2474
58389344622,Alex White,Mc Kinney Eunan Anthony,2471
114570545240850,Who Gives A Crap,These ads ran without a disclaimer,2406
16352623251,Self Help Africa,Self Help Africa,2397
118151521564978,SSE Airtricity,SSE Airtricity,2289
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,2207
430906330320263,Paul Donnelly TD,Seamus Hazlett,2202
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,2146
502689826503669,Alan Farrell TD,Alan Mark Farrell,2081
247809738564793,BeLonG To Youth Services,BeLonG To Youth Services,2077
263338903785184,Cian O'Callaghan T.D.,O'Callaghan Cian James,2054
787376334669425,Éilis Ryan - Workers' Party Dublin Central,The Workers' Party of Ireland,2050
1761504887466495,Cllr Carly Bailey,Social Democrats,2011
