Page ID,Page Name,Disclaimer,Amount Spent (EUR)
264172043210,Fine Gael,Fine Gael,6617
116635611711738,merrionstreet.ie,merrionstreet.ie,5848
18135444535,Trocaire,Trocaire,5524
222629035132,Fianna Fáil,Fianna Fáil,5273
883806764992893,Maria Walsh,Fine Gael,4931
290164627800136,Senator Ollie Crowe,Ollie Crowe,4740
178362315106,European Parliament,European Parliament,4630
201612129410,Oxfam,Oxfam,4593
580832208630212,Referendum Commission,Referendum Commission,4330
6891149895,Concern Worldwide,Concern Worldwide,3944
291934661006674,HSE Ireland,HSE Ireland,3854
148726998530273,Sinn Féin Ireland,Sinn Féin,3691
770178369763272,Niall Ó Tuathail,Niall Ó Tuathail,3615
210059959032336,Dominic Hannigan,Dominic Hannigan,3460
323833692991,ActionAid Ireland,ActionAid Ireland,3395
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,3055
1410175299237713,AIB,AIB,2705
208480693834,Irish Farmers Journal,Irish Farmers Journal,1926
253456724751421,Bank of Ireland,Bank of Ireland,1428
580216935345125,Matt Carthy,Carthy Matt,1390
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,1357
192929340724203,GOAL,GOAL,1350
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,1323
178974912140818,Leo Varadkar T.D.,Fine Gael,1318
290382001169403,Louis O'Hara - Sinn Féin,O'HARA LOUIS JOSEPH,1292
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,1205
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,1165
164027949687,Labour Party,Labour Party,1162
157979074251209,Irish Universities Association,Irish Universities Association,1156
1426461550915658,Anne Rabbitte TD,Rabbitte Anne Marie,1143
2242183922693730,Saoirse McHugh,Green Party Ireland,1093
201612129410,Oxfam,These ads ran without a disclaimer,944
1012851375393300,Social Democrats,Social Democrats,861
395965057626422,"Dr. Fidelma Healy Eames Independent Candidate, EU elections",Healy Eames Fidelma,841
606728556470393,paddycosgrave,Patrick Cosgrave,813
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,791
260630414430823,Department of Social Protection,These ads ran without a disclaimer,738
1832237970132786,Healthy Ireland,Healthy Ireland,730
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,701
511441585997675,Cllr. Gabe Cronnelly,These ads ran without a disclaimer,687
370136253367940,Níall McNelis,Mc Neill James Christopher,684
107898832590939,European Commission,European Commission,669
