Page ID,Page Name,Disclaimer,Amount Spent (EUR)
222629035132,Fianna Fáil,Fianna Fáil,3899
116635611711738,merrionstreet.ie,merrionstreet.ie,3109
264172043210,Fine Gael,Fine Gael,3054
18135444535,Trocaire,Trocaire,2924
148726998530273,Sinn Féin Ireland,Sinn Féin,2450
201612129410,Oxfam,Oxfam,2380
178362315106,European Parliament,European Parliament,2359
6891149895,Concern Worldwide,Concern Worldwide,2253
291934661006674,HSE Ireland,HSE Ireland,2160
580832208630212,Referendum Commission,Referendum Commission,2139
208480693834,Irish Farmers Journal,Irish Farmers Journal,1906
323833692991,ActionAid Ireland,ActionAid Ireland,1690
1410175299237713,AIB,AIB,1570
340786422717552,Sean Kelly MEP,Sean Kelly MEP,1411
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,1357
192929340724203,GOAL,GOAL,809
1124870327536556,Danny Healy-Rae,Danny Healy-Rae,784
253456724751421,Bank of Ireland,Bank of Ireland,729
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,698
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,694
761682623849149,Pa Daly TD,Foley Cathal Rory,642
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,620
404745130303486,Luke Crowley-Holland,CROWLEY-HOLLAND LUKE,605
157979074251209,Irish Universities Association,Irish Universities Association,562
201612129410,Oxfam,These ads ran without a disclaimer,562
280861719486814,Johnny Healy Rae,These ads ran without a disclaimer,507
606728556470393,paddycosgrave,Patrick Cosgrave,491
426049728160231,Niall 'Botty' O Callaghan,These ads ran without a disclaimer,471
107898832590939,European Commission,European Commission,468
1457284394488343,Brendan Griffin,Brendan Joseph Griffin,445
1380244222274117,Martin Ferris,Foley Cathal Rory,440
178974912140818,Leo Varadkar T.D.,Fine Gael,426
1832237970132786,Healthy Ireland,Healthy Ireland,418
260630414430823,Department of Social Protection,These ads ran without a disclaimer,393
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,363
615775065467919,PV Generation,Joseph Garvin,360
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,342
1779225985699826,CleanBee - Co. Kerry,Aurimas Jantauskas,334
43110923010,Facebook,Facebook Ireland,333
262353518019935,Norma Foley - TD,Norma Foley,321
212716455604784,EirGrid,EirGrid,321
305608429284,EU Environment,Egan William,308
2134218549996588,Kate Mc Sweeney - Sinn Féin,These ads ran without a disclaimer,275
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,259
811773748881458,The Business Post,The Business Post,259
889419298078209,Cllr Jim Finucane Fine Gael,These ads ran without a disclaimer,252
328781076730,Focus Ireland,Focus Ireland,232
786865738356162,Sheila Nunan for Europe,The Labour Party,227
705028403223841,Ben Slimm,Slimm Ben John,225
109379603774944,The Pension Experts,Gareth Byrne,210
141366725876424,European Greens,European Greens,205
395121633857254,SEAI,SEAI,205
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",204
227964058053,Aviva,Aviva,201
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,200
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,197
164027949687,Labour Party,Labour Party,190
16352623251,Self Help Africa,Self Help Africa,188
615775065467919,PV Generation,These ads ran without a disclaimer,187
88243924389,Depaul Ireland,Depaul Ireland,183
34812247970,Malcolm Byrne,Malcolm Byrne Page,179
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,178
202834510536977,Jackie Healy-Rae,Healy-Rae Jackie Christopher,173
174520041078,University College Dublin,University College Dublin,167
