Page ID,Page Name,Disclaimer,Amount Spent (EUR)
116635611711738,merrionstreet.ie,merrionstreet.ie,4306
264172043210,Fine Gael,Fine Gael,3140
222629035132,Fianna Fáil,Fianna Fáil,2977
178362315106,European Parliament,European Parliament,2803
291934661006674,HSE Ireland,HSE Ireland,2717
18135444535,Trocaire,Trocaire,2662
580832208630212,Referendum Commission,Referendum Commission,2635
6891149895,Concern Worldwide,Concern Worldwide,2492
201612129410,Oxfam,Oxfam,2261
148726998530273,Sinn Féin Ireland,Sinn Féin,2230
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,2107
1410175299237713,AIB,AIB,2023
210059959032336,Dominic Hannigan,Dominic Hannigan,1980
323833692991,ActionAid Ireland,ActionAid Ireland,1780
164027949687,Labour Party,Labour Party,1418
511408785621387,Andy Harrington - Jet Set Speaker,These ads ran without a disclaimer,1288
208480693834,Irish Farmers Journal,Irish Farmers Journal,1253
49224396046,James Lawless TD,James Lawless TD,1227
580216935345125,Matt Carthy,Carthy Matt,1074
2489200491152461,Cllr Chris Pender - Social Democrats,Chris Pender,1046
192929340724203,GOAL,GOAL,944
253456724751421,Bank of Ireland,Bank of Ireland,829
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,693
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,666
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,625
883806764992893,Maria Walsh,Fine Gael,618
157979074251209,Irish Universities Association,Irish Universities Association,608
264271610907208,Cllr Brendan Wyse,Brendan Wyse,595
606728556470393,paddycosgrave,Patrick Cosgrave,591
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,580
260630414430823,Department of Social Protection,These ads ran without a disclaimer,575
1832237970132786,Healthy Ireland,Healthy Ireland,565
1024663687554177,Anthony Lawlor,Lawlor Antony,538
2242183922693730,Saoirse McHugh,Green Party Ireland,516
107898832590939,European Commission,European Commission,489
178974912140818,Leo Varadkar T.D.,Fine Gael,487
125779134174869,Kildare North Fianna Fáil,Daniel Jonathan Moore,477
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,476
191694581371518,Cllr Suzanne Doyle,Suzanne Doyle,468
108339693065,Green Party Ireland,Green Party Ireland,462
328781076730,Focus Ireland,Focus Ireland,440
1907649435989003,Cllr. Aidan Farrelly,Farrelly Aidan,427
156398467784136,Ruth Coppinger,Solidarity - The Left Alternative,412
615360051874836,Morgan McCabe Independent,These ads ran without a disclaimer,412
201612129410,Oxfam,These ads ran without a disclaimer,397
795638267221373,Senator Fiona O'Loughlin,Fiona O'Loughlin,384
302979946700167,Interactions,Interactions Research,365
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,364
811773748881458,The Business Post,The Business Post,356
43110923010,Facebook,Facebook Ireland,349
1619368304944013,Ulster Bank,Ulster Bank,339
305608429284,EU Environment,Egan William,339
108165364057813,Cathal Berry,Cathal Peter Berry,338
696488343697165,Fiona McLoughlin Healy,Fiona McLoughlin Healy,331
2188959231340078,Cllr Carmel Kelly,These ads ran without a disclaimer,319
1047040148650402,Senator Mark Wall,Labour Party,303
395121633857254,SEAI,SEAI,287
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",286
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,284
212716455604784,EirGrid,EirGrid,263
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,259
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,253
326703511492175,Bill Clear Councillor Kildare CoCo,William Clear,241
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,238
88243924389,Depaul Ireland,Depaul Ireland,238
118478340401,Vincent P Martin,Jennifer Callaghan,232
302584593224671,Frances Fitzgerald,Fine Gael,223
1047040148650402,Senator Mark Wall,Mark Wall,222
141366725876424,European Greens,European Greens,220
180763859269999,Clear Cut Marketing,Mark Anthony Kirwan,215
34812247970,Malcolm Byrne,Malcolm Byrne Page,205
116635611711738,merrionstreet.ie,"Department of Enterprise, Trade and Employment",200
227964058053,Aviva,Aviva,200
109379603774944,The Pension Experts,Gareth Byrne,198
114570545240850,Who Gives A Crap,These ads ran without a disclaimer,197
178248998902663,WEEE Ireland,WEEE Ireland,191
1426461550915658,Anne Rabbitte TD,Rabbitte Anne Marie,186
774617965974573,HSE mychild.ie,HSE mychild.ie,185
615775065467919,PV Generation,Joseph Garvin,185
174520041078,University College Dublin,University College Dublin,182
16352623251,Self Help Africa,Self Help Africa,181
86357212691,Athlone Institute of Technology,These ads ran without a disclaimer,178
28312410177,World Food Programme,These ads ran without a disclaimer,175
118151521564978,SSE Airtricity,SSE Airtricity,175
377716962315255,Spotify,These ads ran without a disclaimer,172
420422991638510,NOW TV,These ads ran without a disclaimer,172
192453024244214,Cllr. Naoise Ó Cearúil - Kildare North,These ads ran without a disclaimer,167
