Page ID,Page Name,Disclaimer,Amount Spent (EUR)
116635611711738,merrionstreet.ie,merrionstreet.ie,5525
580832208630212,Referendum Commission,Referendum Commission,5000
264172043210,Fine Gael,Fine Gael,4181
178362315106,European Parliament,European Parliament,3772
222629035132,Fianna Fáil,Fianna Fáil,3767
18135444535,Trocaire,Trocaire,3353
148726998530273,Sinn Féin Ireland,Sinn Féin,3311
291934661006674,HSE Ireland,HSE Ireland,3189
201612129410,Oxfam,Oxfam,3044
6891149895,Concern Worldwide,Concern Worldwide,2754
1410175299237713,AIB,AIB,2121
323833692991,ActionAid Ireland,ActionAid Ireland,2119
208480693834,Irish Farmers Journal,Irish Farmers Journal,2078
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,1774
340786422717552,Sean Kelly MEP,Sean Kelly MEP,1494
338081456286757,Jan O'Sullivan,Labour Party,1403
164027949687,Labour Party,Labour Party,1287
137766716313436,Fine Gael Limerick City,Breen Colm Timothy,1098
184073878309307,Willie O'Dea TD,William O'dea,1035
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,1019
253456724751421,Bank of Ireland,Bank of Ireland,1006
192929340724203,GOAL,GOAL,934
157979074251209,Irish Universities Association,Irish Universities Association,913
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,908
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,865
1567985436755341,Kieran O'Donnell,Kieran Patrick Jude O'donnell,849
239085373293887,MariaByrne,Bryne Bridget Mary,817
1832237970132786,Healthy Ireland,Healthy Ireland,670
201612129410,Oxfam,These ads ran without a disclaimer,626
101827357994003,Claire Keating Green Party Candidate,Claire Keating,615
260630414430823,Department of Social Protection,These ads ran without a disclaimer,610
996940053694510,Maurice Quinlivan TD,Quinlivan Maurice John,598
43110923010,Facebook,Facebook Ireland,594
178974912140818,Leo Varadkar T.D.,Fine Gael,593
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,591
606728556470393,paddycosgrave,Patrick Cosgrave,589
516116248507364,Deirdre Clune MEP,Deirdre Clune MEP,543
1598241336961371,James Collins Page,James John Collins,520
328781076730,Focus Ireland,Focus Ireland,514
1619368304944013,Ulster Bank,Ulster Bank,475
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,470
305608429284,EU Environment,Egan William,453
107898832590939,European Commission,European Commission,427
34812247970,Malcolm Byrne,Malcolm Byrne Page,415
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,397
615775065467919,PV Generation,These ads ran without a disclaimer,394
108339693065,Green Party Ireland,Green Party Ireland,382
996940053694510,Maurice Quinlivan TD,These ads ran without a disclaimer,375
811773748881458,The Business Post,The Business Post,374
212716455604784,EirGrid,EirGrid,355
2303537626340775,Cllr Conor Sheehan,Sheehan Conor,354
786865738356162,Sheila Nunan for Europe,The Labour Party,354
701653573180714,Councillor Michael Collins,Michael Joseph Collins,351
433481587460366,Mark Carey - City West - Time for Change,Steamboat,349
1606428376342650,Senator Paul Gavan SF,Gavan Paul,347
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,342
141366725876424,European Greens,European Greens,332
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",320
1517920911633313,Fine Gael Limerick County,Breen Colm Timothy,300
395121633857254,SEAI,SEAI,296
615775065467919,PV Generation,Joseph Garvin,292
174520041078,University College Dublin,University College Dublin,287
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,285
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,283
109379603774944,The Pension Experts,Gareth Byrne,267
131595511841,CCPC,CCPC,264
365558726793635,Niall Collins T.D.,Niall Alan Collins,258
88243924389,Depaul Ireland,Depaul Ireland,257
774617965974573,HSE mychild.ie,HSE mychild.ie,255
180763859269999,Clear Cut Marketing,Mark Anthony Kirwan,253
227964058053,Aviva,Aviva,238
118151521564978,SSE Airtricity,SSE Airtricity,235
476895509083747,Séighin Ó Ceallaigh,O Ceallaigh Seighin,235
16352623251,Self Help Africa,Self Help Africa,231
105958862827971,Debra Ireland - The Butterfly Skin Charity,Debra Ireland,210
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,206
344422890306,SpunOut.ie,SpunOut.ie,204
116635611711738,merrionstreet.ie,"Department of Enterprise, Trade and Employment",203
28312410177,World Food Programme,These ads ran without a disclaimer,200
608669872833125,Cllr Dan Mc Sweeney,Mcsweeney Daniel Joseph,199
158325247540273,Life Institute,Life Institute,188
116151744907,IIEA,IIEA,186
574029596021905,People Before Profit,People Before Profit,169
420422991638510,NOW TV,These ads ran without a disclaimer,165
149890191689087,Bord Gáis Energy,Bord Gáis Energy,158
1012851375393300,Social Democrats,Social Democrats,155
812108299143560,Eleanor McSherry - Limerick City North,These ads ran without a disclaimer,152
1682603511977567,Breandán Anraoi MacGabhann,Breandán Anraoi MacGabhann (Green Party),150
377716962315255,Spotify,These ads ran without a disclaimer,150
107193277481115,"Jenny Blake, Social Democrats",Kavanagh James,142
1598241336961371,James Collins Page,These ads ran without a disclaimer,141
141609685900366,InterTradeIreland,These ads ran without a disclaimer,141
247809738564793,BeLonG To Youth Services,BeLonG To Youth Services,140
567085217131237,Cllr Sarah Kiely - Limerick City East,These ads ran without a disclaimer,137
455196627967510,Gas Networks Ireland,Gas Networks Ireland (GNI),133
608669872833125,Cllr Dan Mc Sweeney,These ads ran without a disclaimer,130
120649112665035,Speak With Your Feet March,These ads ran without a disclaimer,130
1865289526926921,Brian Leddin - Green Party TD for Limerick City,These ads ran without a disclaimer,129
908532162532297,Mick Barry TD,Solidarity - The Left Alternative,127
1671337413144589,Shane Ross,Shane Ross,127
