Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1629444570695976,Minister Frank Feighan,Frank Feighan,2710
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,1838
264172043210,Fine Gael,Fine Gael,1492
222629035132,Fianna Fáil,Fianna Fáil,1378
18135444535,Trocaire,Trocaire,1302
116635611711738,merrionstreet.ie,merrionstreet.ie,1280
371962112988652,Blaine Gaffney,Blaine O' Gamhna,1251
201612129410,Oxfam,Oxfam,1023
6891149895,Concern Worldwide,Concern Worldwide,1019
178362315106,European Parliament,European Parliament,1017
291934661006674,HSE Ireland,HSE Ireland,965
148726998530273,Sinn Féin Ireland,Sinn Féin,917
580832208630212,Referendum Commission,Referendum Commission,894
210059959032336,Dominic Hannigan,Dominic Hannigan,891
883806764992893,Maria Walsh,Fine Gael,867
595800713834983,Marc Mac Sharry,Marc David Mac Sharry,774
323833692991,ActionAid Ireland,ActionAid Ireland,749
1410175299237713,AIB,AIB,664
208480693834,Irish Farmers Journal,Irish Farmers Journal,492
313404689040992,Councillor Thomas Walsh,Thomas Francis Walsh,405
580216935345125,Matt Carthy,Carthy Matt,381
253456724751421,Bank of Ireland,Bank of Ireland,354
192929340724203,GOAL,GOAL,320
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,320
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,317
178974912140818,Leo Varadkar T.D.,Fine Gael,307
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,300
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,267
531710393984203,Nessa Cosgrove,Nessa Margaret Cosgrove,259
1703536769876862,Declan Bree - Independent,Whyte Corey,256
606728556470393,paddycosgrave,Patrick Cosgrave,242
254734251316951,Sligo - Leitrim Fine Gael,Kenneth Christopher Henry,239
201612129410,Oxfam,These ads ran without a disclaimer,228
157979074251209,Irish Universities Association,Irish Universities Association,226
107898832590939,European Commission,European Commission,175
1832237970132786,Healthy Ireland,Healthy Ireland,172
164027949687,Labour Party,Labour Party,170
2242183922693730,Saoirse McHugh,Green Party Ireland,167
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,165
260630414430823,Department of Social Protection,These ads ran without a disclaimer,162
1123614794339006,Corey Whyte,These ads ran without a disclaimer,155
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,151
43110923010,Facebook,Facebook Ireland,143
328781076730,Focus Ireland,Focus Ireland,142
305608429284,EU Environment,Egan William,140
248763689345831,Tom Fox MCC,These ads ran without a disclaimer,126
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,120
1486666311655495,Chris MacManus MEP,Chris Macmanus,118
811773748881458,The Business Post,The Business Post,117
464781347062794,Keith Henry,These ads ran without a disclaimer,116
254734251316951,Sligo - Leitrim Fine Gael,Comiskey Laura,110
141366725876424,European Greens,European Greens,108
531710393984203,Nessa Cosgrove,These ads ran without a disclaimer,102
1703536769876862,Declan Bree - Independent,These ads ran without a disclaimer,≤100
61077332060,Marian Harkin,James Harkin,≤100
212716455604784,EirGrid,EirGrid,≤100
395965057626422,"Dr. Fidelma Healy Eames Independent Candidate, EU elections",Healy Eames Fidelma,≤100
88243924389,Depaul Ireland,Depaul Ireland,≤100
1426461550915658,Anne Rabbitte TD,Rabbitte Anne Marie,≤100
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,≤100
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,≤100
108271484060709,Project Zero Carbon,Project Zero Carbon,≤100
222132907981775,Cllr Sinéad Maguire,These ads ran without a disclaimer,≤100
16352623251,Self Help Africa,Self Help Africa,≤100
395121633857254,SEAI,SEAI,≤100
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",≤100
109379603774944,The Pension Experts,Gareth Byrne,≤100
227964058053,Aviva,Aviva,≤100
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,≤100
174520041078,University College Dublin,University College Dublin,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
878147035569806,Michael O'Dowd Community and Disability Activist,O'Dowd Michael Joseph,≤100
1619368304944013,Ulster Bank,Ulster Bank,≤100
774617965974573,HSE mychild.ie,HSE mychild.ie,≤100
574029596021905,People Before Profit,People Before Profit,≤100
1021273508077651,Frank the Yank for Mayo County Council,These ads ran without a disclaimer,≤100
116635611711738,merrionstreet.ie,"Department of Enterprise, Trade and Employment",≤100
1615857282023967,Nigel Gallagher - People Before Profit Sligo,These ads ran without a disclaimer,≤100
1409046722702175,Solar Home,Solar Home Ireland,≤100
158325247540273,Life Institute,Life Institute,≤100
131595511841,CCPC,CCPC,≤100
118151521564978,SSE Airtricity,SSE Airtricity,≤100
105958862827971,Debra Ireland - The Butterfly Skin Charity,Debra Ireland,≤100
106222951129,Horseworldeu,These ads ran without a disclaimer,≤100
1467709383452180,Eamon Scanlon,Eamon Scanlon,≤100
141609685900366,InterTradeIreland,These ads ran without a disclaimer,≤100
1123614794339006,Corey Whyte,Whyte Corey,≤100
344422890306,SpunOut.ie,SpunOut.ie,≤100
470977316331509,NRG PANEL,These ads ran without a disclaimer,≤100
149890191689087,Bord Gáis Energy,Bord Gáis Energy,≤100
615775065467919,PV Generation,These ads ran without a disclaimer,≤100
116151744907,IIEA,IIEA,≤100
580763859048353,Gript,Gript,≤100
1671337413144589,Shane Ross,Shane Ross,≤100
420422991638510,NOW TV,These ads ran without a disclaimer,≤100
247809738564793,BeLonG To Youth Services,BeLonG To Youth Services,≤100
367182798860,Organico Bantry,Organico Bantry,≤100
455196627967510,Gas Networks Ireland,Gas Networks Ireland (GNI),≤100
114570545240850,Who Gives A Crap,These ads ran without a disclaimer,≤100
377716962315255,Spotify,These ads ran without a disclaimer,≤100
216736745187268,Cllr Marie Casserly,These ads ran without a disclaimer,≤100
387820164702519,Martin Kenny TD,Martin Kenny,≤100
391239304616343,True Health Secrets,True Health Secrets Ltd,≤100
1486666311655495,Chris MacManus MEP,Chris MacManus for Sligo,≤100
10150093430360004,Democrats Abroad Ireland,Democrats Abroad,≤100
159788160765346,Calor Ireland,These ads ran without a disclaimer,≤100
386014808271737,Hope Ireland,Hope Ireland,≤100
116509125035939,Christian Aid Ireland,Christian Aid Ireland,≤100
2259750964278363,"Department of Housing, Local Government and Heritage",These ads ran without a disclaimer,≤100
358553987942544,Rockshore,These ads ran without a disclaimer,≤100
356442408312992,Amanda Gallagher,These ads ran without a disclaimer,≤100
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100
280965412440,National Youth Council of Ireland,National Youth Council of Ireland,≤100
92638258613,Simon Communities of Ireland,Simon Communities of Ireland,≤100
1665062297111025,IOM Ireland,IOM Ireland,≤100
108339693065,Green Party Ireland,Green Party Ireland,≤100
1563070060619754,Sligo Sinn Féin,These ads ran without a disclaimer,≤100
1931709023726259,STAND,STAND.ie,≤100
408393959529245,Support Your Local,Sinead O'Reilly,≤100
137357969666256,GCN,GCN,≤100
118201718255275,"Bord Iascaigh Mhara, Ireland's Seafood Development Agency","Bord Iascaigh Mhara, Ireland's Seafood Development Agency",≤100
208480693834,Irish Farmers Journal,These ads ran without a disclaimer,≤100
86357212691,Athlone Institute of Technology,These ads ran without a disclaimer,≤100
287458667963046,Brendan Smith TD,Brendan Smith,≤100
165050580250025,Development Perspectives,Development Perspectives,≤100
193590653989945,Simon Coveney,Fine Gael,≤100
148024081881549,The Phoenix Magazine,The Phoenix Magazine,≤100
2123051974609701,Miggle D Giggles,These ads ran without a disclaimer,≤100
580216935345125,Matt Carthy,These ads ran without a disclaimer,≤100
541250599362726,Protect Life,Family & Life,≤100
337495229149,All Ireland Rally for Life,Life Institute,≤100
1486666311655495,Chris MacManus MEP,These ads ran without a disclaimer,≤100
2177632682563843,Òmnium Civil Rights Europe,These ads ran without a disclaimer,≤100
1615391422074791,Micheál Martin,Micheal Martin,≤100
78701493153,European Movement Ireland,Lisa Nic An Bhreithimh,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
2095143190593960,Solar Generation,These ads ran without a disclaimer,≤100
615775065467919,PV Generation,Joseph Garvin,≤100
1388361888143291,John Perry,Jude Perry,≤100
1573441899601646,Hismile,These ads ran without a disclaimer,≤100
287458667963046,Brendan Smith TD,These ads ran without a disclaimer,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
247599719477029,Barry Gallagher - Community Campaigner,These ads ran without a disclaimer,≤100
114983778559783,European Commission Representation in Ireland,European Commission Representation in Ireland,≤100
205830066112238,You Can Quit,You Can Quit,≤100
932961146837571,HSE Ask About Alcohol,HSE Ask About Alcohol,≤100
89499899901,SPIN South West,SPIN South West,≤100
127846340619,Little Comfort,Dmitry Lagounov,≤100
243751009611391,Vote Deirdre O'Connor INTO Election 2020,Deirdre O'Connor,≤100
291934661006674,HSE Ireland,These ads ran without a disclaimer,≤100
115816835104562,Deutsche Bank,These ads ran without a disclaimer,≤100
110887970240718,Tim Cullinan IFA,Denise Whitmore,≤100
1055105841226515,Senator Alice-Mary Higgins,Alice Mary Higgins,≤100
351682974453,Teva Pharmaceutical Industries Ltd.,These ads ran without a disclaimer,≤100
374974667323,European Parliament Office in Ireland,European Parliament Office in Ireland,≤100
449282445418073,Irish Foreign Ministry,Department of Foreign Affairs and Trade,≤100
904726062939920,Tom Clonan Independent Candidate for Senate TCD Panel,Thomas Martin Clonan,≤100
276698761915,Sightsavers Ireland,These ads ran without a disclaimer,≤100
175466346599,Sunday World,Sunday World,≤100
124270247607479,Publicjobs.ie,These ads ran without a disclaimer,≤100
242351902481164,The Radical Tea Towel Company,These ads ran without a disclaimer,≤100
222629035132,Fianna Fáil,These ads ran without a disclaimer,≤100
214697488711000,Uplift - People Powered Change,Uplift - People Powered Change,≤100
2259750964278363,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government & Heritage",≤100
203197030603239,8 Billion Trees,These ads ran without a disclaimer,≤100
595800713834983,Marc Mac Sharry,These ads ran without a disclaimer,≤100
131456653566112,Skillnet Ireland,Skillnet Ireland,≤100
265930260162999,Young Fine Gael,Young Fine Gael,≤100
264172043210,Fine Gael,These ads ran without a disclaimer,≤100
2075127812758129,Games area,These ads ran without a disclaimer,≤100
609149492588031,Irish National Teachers' Organisation,Irish National Teachers' Organisation,≤100
883806764992893,Maria Walsh,Maria Walsh,≤100
2456628187915854,New Yellow Wave,These ads ran without a disclaimer,≤100
161221517234532,National Animal Rights Association,Laura Broxson,≤100
1473814189502078,Peter Casey,Casey Peter Joseph,≤100
595150707237407,Cllr Dara Mulvey,These ads ran without a disclaimer,≤100
139059673435,Irish Council for Civil Liberties,Irish Council for Civil Liberties,≤100
67573689016,Atheist Ireland,Atheist Ireland,≤100
113108813564918,Getgreenaware,These ads ran without a disclaimer,≤100
1052704411520149,Aontú,Toibin Peadar Pol,≤100
1615857282023967,Nigel Gallagher - People Before Profit Sligo,Gallagher Nigel,≤100
168167627224830,Ireland Israel Alliance,Ireland Israel Alliance,≤100
133688260046579,Jimi Cullen Music,Jimi Cullen,≤100
882941261873795,TFI - Transport for Ireland,These ads ran without a disclaimer,≤100
178838454420,Bob Proctor,These ads ran without a disclaimer,≤100
234865686896602,Coca-Cola HBC Careers,Q4PR,≤100
285316014937075,Pet Care Plus,Hopper Sheena,≤100
120345046553940,Ireland's Recovery,These ads ran without a disclaimer,≤100
355358311212582,Sculpt,These ads ran without a disclaimer,≤100
58389344622,Alex White,Mc Kinney Eunan Anthony,≤100
210059959032336,Dominic Hannigan,These ads ran without a disclaimer,≤100
2388354714741824,EcoInnova,These ads ran without a disclaimer,≤100
156398467784136,Ruth Coppinger,Solidarity - The Left Alternative,≤100
323531924942301,Millbee,These ads ran without a disclaimer,≤100
343125736605014,The Dancing Monkeys,These ads ran without a disclaimer,≤100
252011928285955,Students for Life Ireland,Students for Life Ireland,≤100
136191876445102,Alex Salmond,These ads ran without a disclaimer,≤100
230844904254698,Local Enterprise Offices,These ads ran without a disclaimer,≤100
1881598998726029,Joe Loughnane - People Before Profit Galway West,Loughnane Joseph,≤100
68619059680,SPIN 1038,SPIN 1038,≤100
199657493971420,Facebook Curated,These ads ran without a disclaimer,≤100
179839132041541,Electric Ireland,Electric Ireland,≤100
254451068317816,Patagonia,These ads ran without a disclaimer,≤100
141366725876424,European Greens,These ads ran without a disclaimer,≤100
235254463209438,iCatholic,iCatholic,≤100
289854928553162,Cllr. Mark Duffy,These ads ran without a disclaimer,≤100
195232927961,SIPTU,SIPTU,≤100
145353845502414,Global Action Plan Ireland,Global Action Plan Ireland,≤100
572377316595896,Purple Sweetie,These ads ran without a disclaimer,≤100
121138729710,Immigrant Council of Ireland,Immigrant Council of Ireland,≤100
59695012511,Bloom,These ads ran without a disclaimer,≤100
122938653695,Wind Energy Ireland,Irish Wind Energy Association,≤100
210570272336539,Aodhán Ó Ríordáin,Labour Party,≤100
