Page ID,Page Name,Disclaimer,Amount Spent (EUR)
222629035132,Fianna Fáil,Fianna Fáil,3986
264172043210,Fine Gael,Fine Gael,3906
116635611711738,merrionstreet.ie,merrionstreet.ie,3844
148726998530273,Sinn Féin Ireland,Sinn Féin,3035
18135444535,Trocaire,Trocaire,2760
244891379018563,James Browne TD,James Andrew Browne,2663
178362315106,European Parliament,European Parliament,2660
291934661006674,HSE Ireland,HSE Ireland,2642
6891149895,Concern Worldwide,Concern Worldwide,2466
580832208630212,Referendum Commission,Referendum Commission,2432
201612129410,Oxfam,Oxfam,2418
101878487911740,Verona Murphy TD,Fine Gael,2228
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,2003
1410175299237713,AIB,AIB,1903
323833692991,ActionAid Ireland,ActionAid Ireland,1822
34812247970,Malcolm Byrne,Fianna Fáil,1400
208480693834,Irish Farmers Journal,Irish Farmers Journal,1388
94632597137,Paul Kehoe TD,Minister Paul Kehoe TD,1236
243578843146981,Cllr. Michael Sheehan,Michael Sheehan,1146
239055969530920,Michael D'Arcy,Michael William D'arcy,958
291990888144823,Diarmuid Devereux,Diarmuid Devereux,939
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,867
164027949687,Labour Party,Labour Party,842
781679668602579,Johnny Mythen T.D. Wexford,John Mythen,774
192929340724203,GOAL,GOAL,773
253456724751421,Bank of Ireland,Bank of Ireland,763
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,738
200875073325354,Andrew Doyle,Andrew Doyle,692
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,679
157979074251209,Irish Universities Association,Irish Universities Association,598
398247764235752,Cllr. Ger Carthy,Ger Carthy,572
1832237970132786,Healthy Ireland,Healthy Ireland,561
606728556470393,paddycosgrave,Patrick Cosgrave,547
201612129410,Oxfam,These ads ran without a disclaimer,518
34812247970,Malcolm Byrne,Malcolm Byrne Page,509
107898832590939,European Commission,European Commission,500
260630414430823,Department of Social Protection,These ads ran without a disclaimer,474
243578843146981,Cllr. Michael Sheehan,These ads ran without a disclaimer,459
178974912140818,Leo Varadkar T.D.,Fine Gael,453
1498774436890207,Getting Ireland Brexit Ready,merrionstreet.ie,401
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,395
328781076730,Focus Ireland,Focus Ireland,393
305608429284,EU Environment,Egan William,370
291990888144823,Diarmuid Devereux,These ads ran without a disclaimer,368
212716455604784,EirGrid,EirGrid,355
615775065467919,PV Generation,Joseph Garvin,339
101878487911740,Verona Murphy TD,Verona Murphy,333
811773748881458,The Business Post,The Business Post,331
615775065467919,PV Generation,These ads ran without a disclaimer,326
102645536550201,Wexford Labour,Wexford Labour,312
43110923010,Facebook,Facebook Ireland,284
182354901841834,Luke 'Ming' Flanagan MEP,Luke 'Ming' Flanagan MEP,283
395121633857254,SEAI,SEAI,280
786865738356162,Sheila Nunan for Europe,The Labour Party,279
103880909673865,SVP - Society of St. Vincent de Paul Ireland,SVP - Society of St. Vincent de Paul Ireland,278
103739254501533,Seánie O'Shea,John Joseph Donoghue,276
516116248507364,Deirdre Clune MEP,Deirdre Clune MEP,267
104454981310294,"Department of Children, Equality, Disability, Integration and Youth",These ads ran without a disclaimer,261
439786533246186,Irish Human Rights & Equality Commission,"All Human, All Equal",246
141366725876424,European Greens,European Greens,244
174520041078,University College Dublin,University College Dublin,237
88243924389,Depaul Ireland,Depaul Ireland,223
162814401227663,Josiah Burke,Burke Josiah Emmanuelle,215
109379603774944,The Pension Experts,Gareth Byrne,208
16352623251,Self Help Africa,Self Help Africa,207
1406220546158456,Cllr. Lisa McDonald,These ads ran without a disclaimer,205
131595511841,CCPC,CCPC,202
108271484060709,Project Zero Carbon,Project Zero Carbon,197
182348645122723,TENI - Transgender Equality Network Ireland,TENI - Transgender Equality Network Ireland,195
774617965974573,HSE mychild.ie,HSE mychild.ie,192
105958862827971,Debra Ireland - The Butterfly Skin Charity,Debra Ireland,190
793361804376379,Cllr. Aidan Browne,These ads ran without a disclaimer,189
118151521564978,SSE Airtricity,SSE Airtricity,186
227964058053,Aviva,Aviva,183
158325247540273,Life Institute,Life Institute,175
116635611711738,merrionstreet.ie,"Department of Enterprise, Trade and Employment",164
1419873194909802,Jennifer Whitmore TD,Jennifer Whitmore,163
1619368304944013,Ulster Bank,Ulster Bank,153
512028555814283,Senator Pat Casey,Casey Patrick,152
149890191689087,Bord Gáis Energy,Bord Gáis Energy,151
784299231651676,John Brady TD,John Brady TD,150
529838400490590,Cathal Byrne,These ads ran without a disclaimer,149
28312410177,World Food Programme,These ads ran without a disclaimer,148
133688260046579,Jimi Cullen Music,Jimi Cullen,146
574029596021905,People Before Profit,People Before Profit,146
344422890306,SpunOut.ie,SpunOut.ie,145
529838400490590,Cathal Byrne,Cathal Byrne,142
340786422717552,Sean Kelly MEP,Sean Kelly MEP,140
141609685900366,InterTradeIreland,These ads ran without a disclaimer,137
247809738564793,BeLonG To Youth Services,BeLonG To Youth Services,135
108339693065,Green Party Ireland,Green Party Ireland,132
1671337413144589,Shane Ross,Shane Ross,131
455196627967510,Gas Networks Ireland,Gas Networks Ireland (GNI),128
110399433720006,Karin Dubsky,Karin Gertraud Sonja Dubsky,122
114570545240850,Who Gives A Crap,These ads ran without a disclaimer,122
