Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178881055485251,Stephen Donnelly for Wicklow,Stephen Donnelly for Wicklow,3365
222629035132,Fianna Fáil,Fianna Fáil,3126
116635611711738,merrionstreet.ie,merrionstreet.ie,2756
264172043210,Fine Gael,Fine Gael,2453
18135444535,Trocaire,Trocaire,2222
6891149895,Concern Worldwide,Concern Worldwide,2217
291934661006674,HSE Ireland,HSE Ireland,1901
201612129410,Oxfam,Oxfam,1900
178362315106,European Parliament,European Parliament,1824
1419873194909802,Jennifer Whitmore TD,Jennifer Whitmore,1745
323833692991,ActionAid Ireland,ActionAid Ireland,1668
580832208630212,Referendum Commission,Referendum Commission,1626
947669891968179,Irish Water Uisce Éireann,Irish Water Uisce Éireann,1617
1410175299237713,AIB,AIB,1390
512028555814283,Senator Pat Casey,Casey Patrick,1237
148726998530273,Sinn Féin Ireland,Sinn Féin,1165
34812247970,Malcolm Byrne,Malcolm Byrne Page,1052
102789951270357,Vote Valerie Cox,Emily Jane Cox,1022
164027949687,Labour Party,Labour Party,793
231252126891977,Simon Harris TD,Simon Harris TD,777
784299231651676,John Brady TD,John Brady TD,750
1012851375393300,Social Democrats,Social Democrats,736
192929340724203,GOAL,GOAL,735
208480693834,Irish Farmers Journal,Irish Farmers Journal,688
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,636
200875073325354,Andrew Doyle,Andrew Doyle,622
195132624007569,Cllr Paul O'Brien,Paul Christopher O'brien,605
253456724751421,Bank of Ireland,Bank of Ireland,567
606728556470393,paddycosgrave,Patrick Cosgrave,564
224615650378,Pro Life Campaign Ireland,Pro Life Campaign Ireland,550
328781076730,Focus Ireland,Focus Ireland,531
112303228782980,Dogs Trust Ireland,These ads ran without a disclaimer,511
511408785621387,Andy Harrington - Jet Set Speaker,These ads ran without a disclaimer,437
157979074251209,Irish Universities Association,Irish Universities Association,381
1832237970132786,Healthy Ireland,Healthy Ireland,377
201612129410,Oxfam,These ads ran without a disclaimer,374
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,372
