Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,54657
178362315106,European Parliament,European Parliament,14129
73493613024,ActionAid Italia,ActionAid Italia,10232
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,9895
40433567307,UNICEF Italia,UNICEF Italia,9122
107898832590939,European Commission,European Commission,7611
39993728498,Amnesty International - Italia,Amnesty International - Italia,5592
103827764737718,mascherine.it,mascherine.it,5218
625639674556506,Scrivete Giuseppe Conte,These ads ran without a disclaimer,4529
164370404088711,Cif,Unilever,3883
77034286895,Partito Democratico,Partito Democratico,3823
35346524498,Greenpeace Italia,Greenpeace Italia,3690
183047736356,EMERGENCY,EMERGENCY,3369
252306033154,Matteo Salvini,Lega - Salvini Premier,3251
645405062226429,Rosa Pestilli,Rosa Pestilli,3213
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,3119
576664002355828,CIWF Italia,CIWF Italia,2912
116716651695782,Silvio Berlusconi,Silvio Berlusconi,2756
1410474395723679,Petizioni.it,Petizioni.it,2666
647452785370591,Camillo D'Alessandro,Camillo D'Alessandro,2611
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,2509
331513123718905,Sprite,Coca-Cola,2477
635426593771612,Ocean Words,Rio Mare,2445
106626487721376,Amazon Europe,Amazon Europe,2420
100964541456650,Will media,Will Media,2406
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,2344
693492780985618,HSI/Italia,HSI/Italia,2166
221885247968518,AZ Informa,Avezzano Informa,2062
177425929118747,Silvio Paolucci,Silvio Paolucci,2016
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,1946
150200761667597,Oxfam Italia,Oxfam Italia,1943
186041014771695,LINES,LINES,1918
156149777783739,Facebook app,Facebook,1865
1015853455157037,Acea Gruppo,Acea,1767
113335124914,Matteo Renzi,Italia Viva,1756
100724158398565,Anna Maria Taccone,Anna Maria Taccone candidata sindaco,1746
88997912868,WWF Italia,WWF Italia,1741
182120865170178,Gianluigi Paragone,Gianluigi Paragone,1726
131887960826264,Carlo Calenda,Azione,1681
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,1642
1515009958746863,Coop Centro Italia,Coop Centro Italia,1623
629627600458266,Daniela Torto,Daniela Torto,1615
37616066366,Gino Strada,EMERGENCY,1530
146169045979888,Anna Maria Bernini,Anna Maria Bernini,1518
554943434517746,Carte D'Or,Unilever,1465
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,1442
103088584630961,Manuel Pantalone,Manuel Pantalone,1442
1898240136924657,Barbara Stella,Barbara Stella,1414
1618719834925589,Caterina Cerroni,Caterina Cerroni,1393
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,1363
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1359
100717421797752,Medic Shop+,MedicShop,1347
1525666877712653,Coca-Cola,Coca-Cola,1331
167192463921273,Antonio Zennaro,Antonio Zennaro,1327
1657214567845698,BPER Banca,BPER Banca,1322
900360899999206,Aquafarma,These ads ran without a disclaimer,1294
1410474395723679,Petizioni.it,Silvano Facchinetti,1215
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,1209
167192463921273,Antonio Zennaro,These ads ran without a disclaimer,1207
506686459503158,Rosaria Ciancaione consigliere comunale,Rosaria Ciancaione,1185
635426593771612,Ocean Words,These ads ran without a disclaimer,1068
117266648305733,LifeGate,LifeGate,1066
355710427861591,Fratelli d'Italia,Fratelli d'Italia,1049
