Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,5338
103230461494668,Rinascimento Valle d'Aosta,Rinascimento Valle d'Aosta,4250
128982325312075,Alliance Valdôtaine - Stella Alpina - Italia Viva per la VDA,Alliance Valdôtaine,1799
218228352123548,Marco Carrel,Carrel Marco,1499
252306033154,Matteo Salvini,Lega - Salvini Premier,1363
109550547534059,Paolo Laurencet,Paolo Laurencet,1296
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,1098
178362315106,European Parliament,European Parliament,1064
479500590857,Union Valdôtaine,Union Valdôtaine,942
383975758705361,Albert Chatrian Consigliere Regionale Valle d’Aosta,Alliance Valdotaine,937
297770447221274,Andrea Manfrin,Andrea Fabrizio Manfrin,911
40433567307,UNICEF Italia,UNICEF Italia,779
103168624841917,Noi con Voi per Saint Vincent - Francesco Favre Sindaco,Nicola Triglia,745
1710099635901700,Andrea Padovani,Andrea Padovani,742
73493613024,ActionAid Italia,ActionAid Italia,737
383975758705361,Albert Chatrian Consigliere Regionale Valle d’Aosta,Albert Chatrian,716
294562034414464,Luciano Mossa,Luciano Alfredo Nicola Mossa,656
1771569342887158,Chantal Certan -  Assessore,Chantal Certan,630
103145021506261,Almo Baccini,Almo Baccini,627
39993728498,Amnesty International - Italia,Amnesty International - Italia,621
186635098759963,"Orlando Navarra - Progetto Valle d’Aosta, il futuro non si improvvisa",Orlando Navarra,621
103827764737718,mascherine.it,mascherine.it,557
107898832590939,European Commission,European Commission,542
127918408771768,Eleonora Baccini,Eleonora Baccini,507
102380784938492,Donatello Anello,Donatello Anello,478
576664002355828,CIWF Italia,CIWF Italia,409
35346524498,Greenpeace Italia,Greenpeace Italia,403
588179215180816,Nuti · Borre,Gianni Nuti,383
183047736356,EMERGENCY,EMERGENCY,379
230022114591754,Rete Civica Valle d'Aosta,Rete Civica Valle d'Aosta,326
1410474395723679,Petizioni.it,Petizioni.it,311
693492780985618,HSI/Italia,HSI/Italia,306
379680635554468,Lega Valle d'Aosta,Simona Campo,302
435038850029446,Fulvio Centoz,Fulvio Centoz,299
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,298
327055434858375,Jean Barocco,Giovanni Barocco,294
297770447221274,Andrea Manfrin,These ads ran without a disclaimer,269
150200761667597,Oxfam Italia,Oxfam Italia,267
129345748691132,Antonio Iiriti Sindaco SaintVincent,Antonio Iiriti,259
164370404088711,Cif,Unilever,253
108704480614705,Italia Viva - Comitato Europa Aosta,Giovanni Brignoli,230
88997912868,WWF Italia,WWF Italia,222
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,221
379680635554468,Lega Valle d'Aosta,These ads ran without a disclaimer,211
37616066366,Gino Strada,EMERGENCY,208
100717421797752,Medic Shop+,MedicShop,208
479212098810360,Angelo Ciocca,Angelo Ciocca,205
327055434858375,Jean Barocco,These ads ran without a disclaimer,201
100741595087662,Progetto Civico Progressista,Progetto Civico Progressista,198
104614284378785,Vdalibra,Roberto Cognetta,197
635426593771612,Ocean Words,Rio Mare,197
77034286895,Partito Democratico,Partito Democratico,188
230022114591754,Rete Civica Valle d'Aosta,Fabio Protasoni,187
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,184
1771569342887158,Chantal Certan -  Assessore,Alliance Valdotaine,184
331513123718905,Sprite,Coca-Cola,183
131887960826264,Carlo Calenda,Azione,181
114950743673121,Luigi Alberto Davide De Franco,Luigi Alberto Davide De Franco,171
106626487721376,Amazon Europe,Amazon Europe,167
100261318485232,Jovial Sergio,Sergio Jovial,166
116716651695782,Silvio Berlusconi,Silvio Berlusconi,160
116035116868358,Maskproof,Maskproof®,152
100964541456650,Will media,Will Media,144
186041014771695,LINES,LINES,143
1410474395723679,Petizioni.it,Silvano Facchinetti,138
1015853455157037,Acea Gruppo,Acea,137
100304075133950,"Gruppo Consigliare ""Saint-Vincent, Insieme Per Cambiare""",Carlo Motto Ros,131
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,129
458422000884426,Union Valdôtaine Progressiste,Gruppo Consiliare Alliance Valdôtaine,129
195548473824552,Associazione Diplomatici,Associazione Diplomatici,127
1486718904933717,Compagnia di San Paolo,Compagnia di San Paolo,126
40433567307,UNICEF Italia,These ads ran without a disclaimer,125
182120865170178,Gianluigi Paragone,Gianluigi Paragone,120
360133591158746,zeroCO2,zeroCO2,118
113335124914,Matteo Renzi,Italia Viva,117
1638510526420491,Refugees Welcome Italia,Refugees Welcome Italia,114
156149777783739,Facebook app,Facebook,112
637374719933381,Stefano AGGRAVI,Stefano Aggravi,109
464042523713705,Carlo Marzi,Emanuele Burzio,107
117266648305733,LifeGate,LifeGate,105
104990851261310,Walter Martino Zampa,Walter Zampa,102
