Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,21621
178362315106,European Parliament,European Parliament,5694
73493613024,ActionAid Italia,ActionAid Italia,4308
40433567307,UNICEF Italia,UNICEF Italia,3798
107898832590939,European Commission,European Commission,3595
289752771388757,Culligan Italiana,Culligan Italiana,3523
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,3312
39993728498,Amnesty International - Italia,Amnesty International - Italia,1948
77034286895,Partito Democratico,Partito Democratico,1849
103827764737718,mascherine.it,mascherine.it,1728
164370404088711,Cif,Unilever,1700
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,1606
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,1426
176134109106348,Francesco Galtieri,Francesco Galtieri,1351
1410474395723679,Petizioni.it,Petizioni.it,1265
252306033154,Matteo Salvini,Lega - Salvini Premier,1259
35346524498,Greenpeace Italia,Greenpeace Italia,1201
116716651695782,Silvio Berlusconi,Silvio Berlusconi,1112
331513123718905,Sprite,Coca-Cola,1099
100964541456650,Will media,Will Media,1086
183047736356,EMERGENCY,EMERGENCY,1074
106626487721376,Amazon Europe,Amazon Europe,1048
34987266938,Raffaele Fitto,Raffaele Fitto,1013
635426593771612,Ocean Words,Rio Mare,998
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,948
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,879
186041014771695,LINES,LINES,848
576664002355828,CIWF Italia,CIWF Italia,838
146169045979888,Anna Maria Bernini,Anna Maria Bernini,832
1015853455157037,Acea Gruppo,Acea,831
156149777783739,Facebook app,Facebook,830
1618719834925589,Caterina Cerroni,Caterina Cerroni,824
150200761667597,Oxfam Italia,Oxfam Italia,784
113335124914,Matteo Renzi,Italia Viva,730
125319085671763,Rocco Sassone,Rocco Sassone Sindaco,703
201484606557114,Fotovoltaico per Te,These ads ran without a disclaimer,674
