Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,73069
178362315106,European Parliament,European Parliament,20551
73493613024,ActionAid Italia,ActionAid Italia,17494
252306033154,Matteo Salvini,Lega - Salvini Premier,14973
289752771388757,Culligan Italiana,Culligan Italiana,13268
107898832590939,European Commission,European Commission,12869
40433567307,UNICEF Italia,UNICEF Italia,12246
195744091612,Mi'Ndujo,Panino Genuino,11317
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,10864
98659325269,Pippo Callipo Io Resto in Calabria,Pippo Callipo Io Resto in Calabria,8382
39993728498,Amnesty International - Italia,Amnesty International - Italia,7655
164370404088711,Cif,Unilever,6391
77034286895,Partito Democratico,Partito Democratico,6228
244499615597347,Marco Siclari Senato,Marco Siclari,6130
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,5604
103827764737718,mascherine.it,mascherine.it,5073
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,4944
1410474395723679,Petizioni.it,Petizioni.it,4773
183047736356,EMERGENCY,EMERGENCY,4670
116716651695782,Silvio Berlusconi,Silvio Berlusconi,4298
100964541456650,Will media,Will Media,4186
331513123718905,Sprite,Coca-Cola,4117
35346524498,Greenpeace Italia,Greenpeace Italia,4057
635426593771612,Ocean Words,Rio Mare,3742
355710427861591,Fratelli d'Italia,Fratelli d'Italia,3616
106626487721376,Amazon Europe,Amazon Europe,3591
146169045979888,Anna Maria Bernini,Anna Maria Bernini,3555
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,3387
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,3384
731200573630420,Carlo Guccione,Gennaro Alessandro Alessio,3074
113335124914,Matteo Renzi,Italia Viva,3029
106926064152112,Pippo Callipo,Pippo Callipo,3002
186041014771695,LINES,LINES,2991
156149777783739,Facebook app,Facebook,2945
150200761667597,Oxfam Italia,Oxfam Italia,2828
1015853455157037,Acea Gruppo,Acea,2824
576664002355828,CIWF Italia,CIWF Italia,2764
554943434517746,Carte D'Or,Unilever,2594
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,2468
131887960826264,Carlo Calenda,Azione,2446
1618719834925589,Caterina Cerroni,Caterina Cerroni,2423
201484606557114,Fotovoltaico per Te,These ads ran without a disclaimer,2404
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,2377
182120865170178,Gianluigi Paragone,Gianluigi Paragone,2343
693492780985618,HSI/Italia,HSI/Italia,2297
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,2294
955643344543213,Sindacato Asset,These ads ran without a disclaimer,2281
1657214567845698,BPER Banca,BPER Banca,2152
1525666877712653,Coca-Cola,Coca-Cola,2118
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,2021
101809814574755,Eugenio Guarascio,Campisano Fabio Mandatario Elettorale,2012
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,1984
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1819
88997912868,WWF Italia,WWF Italia,1735
635426593771612,Ocean Words,These ads ran without a disclaimer,1704
120651632670990,Distilleria F.lli Caffo Srl,These ads ran without a disclaimer,1670
1220083278166465,My KAI,Unilever,1650
1999551673592698,Michele Gubitosa,Michele Gubitosa,1611
1162607400446579,Massimo Ripepi,Massimo Ripepi,1558
241937025884890,Colgate Italia,Colgate Italia,1551
299584710061488,WeWorld Onlus,WeWorld Onlus,1549
1410474395723679,Petizioni.it,Silvano Facchinetti,1542
201184776602722,Massimo Cristiano,Massimo Cristiano,1495
38919827644,Giorgia Meloni,Fratelli d'Italia,1453
100361594719735,Rosario Piccioni Consigliere Comunale,Candidato Rosario Piccioni,1344
37616066366,Gino Strada,EMERGENCY,1327
105259627672862,Rori De Luca,Rori De Luca,1279
77034286895,Partito Democratico,These ads ran without a disclaimer,1250
40433567307,UNICEF Italia,These ads ran without a disclaimer,1236
102913007801451,Il Riformista,Il Riformista Romeo Editore,1235
1773694896182795,VD,Videodrome,1231
115912616911241,Iovotosi,MoVimento 5 Stelle Camera,1230
1197558557023437,Capitan Findus,Findus Italia,1215
116316293085763,Giuseppe Nucera,La Calabria che Vogliamo,1181
172265396249029,Forza Italia,These ads ran without a disclaimer,1173
1168815166600773,Fab,Fab,1168
106146657569036,Pietro Raso,Antonio D'Alessi,1157
117266648305733,LifeGate,LifeGate,1157
406187203142799,Luciano Nobili,Luciano Nobili,1130
437240109669063,Autonomi e Partite Iva - Eugenio Filograna,These ads ran without a disclaimer,1102
100717421797752,Medic Shop+,MedicShop,1097
376113702438564,Levissima,These ads ran without a disclaimer,1081
53388213256,Vincenzo De Luca,De Luca,1070
113335124914,Matteo Renzi,Comitati Ritorno al Futuro - Azione Civile - Italia Viva,1046
425820797979047,Carmine Spiaggia,Carmine Spiaggia,1014
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,1010
109491080460389,Bambine Non Spose,WeWorld Onlus,993
172265396249029,Forza Italia,Forza Italia,991
397286324156859,Orlando Amodeo per Europa Verde,Orlando Amodeo,989
130748560281809,Eurosatellite,Giovanni Battista Magro,984
113071918732530,Animal Equality Italia,Animal Equality Italia,965
421539548423434,SOS Rifugiati,These ads ran without a disclaimer,959
360133591158746,zeroCO2,zeroCO2,934
104652392900508,Deputati PD,Deputati PD,921
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,903
105803021220566,Pietro Silletta,Rinascita Florense - Sindaco Silletta Pietro,885
343584756259146,Al fianco delle Donne,Amref Health Africa - Italia,882
