Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,270092
726927320703290,Severino Nappi,Severino Nappi,72784
178362315106,European Parliament,European Parliament,70593
73493613024,ActionAid Italia,ActionAid Italia,62928
107898832590939,European Commission,European Commission,46747
40433567307,UNICEF Italia,UNICEF Italia,45414
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,39813
53388213256,Vincenzo De Luca,De Luca,37194
252306033154,Matteo Salvini,Lega - Salvini Premier,35769
39993728498,Amnesty International - Italia,Amnesty International - Italia,26507
48398083442,Stefano Caldoro,SocialCom,25399
164370404088711,Cif,Unilever,24727
77034286895,Partito Democratico,Partito Democratico,19349
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,17588
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,17561
1410474395723679,Petizioni.it,Petizioni.it,16263
35346524498,Greenpeace Italia,Greenpeace Italia,15224
1525666877712653,Coca-Cola,Coca-Cola,14996
16995627251,Mulino Bianco,Mulino Bianco,14911
331513123718905,Sprite,Coca-Cola,14423
116716651695782,Silvio Berlusconi,Silvio Berlusconi,14227
635426593771612,Ocean Words,Rio Mare,14153
103827764737718,mascherine.it,mascherine.it,13802
419364914793326,Gianpiero Zinzi,Gianpiero Zinzi,12104
100964541456650,Will media,Will Media,12008
106626487721376,Amazon Europe,Amazon Europe,11633
156922821011409,Timberland,PHD Media,11535
183047736356,EMERGENCY,EMERGENCY,11515
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,11003
576664002355828,CIWF Italia,CIWF Italia,10937
186041014771695,LINES,LINES,10836
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,10439
1625845411016926,Sole365,Sole365,10341
1999551673592698,Michele Gubitosa,Michele Gubitosa,9809
693492780985618,HSI/Italia,HSI/Italia,9702
1015853455157037,Acea Gruppo,Acea,9612
156149777783739,Facebook app,Facebook,9582
554943434517746,Carte D'Or,Unilever,9327
537668596368732,Massimo Golino,Massimo Golino,8938
150200761667597,Oxfam Italia,Oxfam Italia,8695
83061442061,Ernesto Sica,Ernesto Sica,8627
146169045979888,Anna Maria Bernini,Anna Maria Bernini,8545
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,8342
640013759787075,Giulio Stompanato,Giulio Stompanato,8023
113335124914,Matteo Renzi,Italia Viva,8021
603549289847062,Lega - Campania,Lega - Campania,7920
355710427861591,Fratelli d'Italia,Fratelli d'Italia,7632
1618719834925589,Caterina Cerroni,Caterina Cerroni,7611
131887960826264,Carlo Calenda,Azione,7301
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,7270
88997912868,WWF Italia,WWF Italia,7269
955643344543213,Sindacato Asset,These ads ran without a disclaimer,7238
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,7172
216280412274928,Guerino Gazzella,Guerino Gazzella,7130
195548473824552,Associazione Diplomatici,Associazione Diplomatici,7071
103791734515979,Orlando de Cristofaro,Orlando De Cristofaro,6841
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,6755
182120865170178,Gianluigi Paragone,Gianluigi Paragone,6604
1439514556290274,Nicola Caputo,Nicola Caputo,6457
1657214567845698,BPER Banca,BPER Banca,6232
635426593771612,Ocean Words,These ads ran without a disclaimer,6184
1220083278166465,My KAI,Unilever,6068
48398083442,Stefano Caldoro,Stefano Caldoro,5864
241937025884890,Colgate Italia,Colgate Italia,5719
852722901422326,Gennaro Saiello M5S,Gennaro Saiello,5711
110989067157534,Avv. Vittorio Luigi Fucci,Vittorio Lugi Fucci,5698
299584710061488,WeWorld Onlus,WeWorld Onlus,5462
2146534718893741,Gianluca Vorzillo,Gianluca Vorzillo,5367
1410474395723679,Petizioni.it,Silvano Facchinetti,5344
197114987094252,Luigi Cirillo - Consigliere Regionale MoVimento 5 stelle Campania,Luigi Cirillo,5211
524365307593066,Regione Campania,Regione Campania,5082
1168815166600773,Fab,Fab,4830
1773694896182795,VD,Videodrome,4751
473411799399377,Antonio Poziello,Antonio Poziello,4727
175046706411,easyJet,These ads ran without a disclaimer,4692
37616066366,Gino Strada,EMERGENCY,4588
107763381001276,Salvatore Aversano,Salvatore Aversano,4585
1197558557023437,Capitan Findus,Findus Italia,4582
572247743469627,Zaccaria Spina,Zaccaria Spina,4437
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,4374
115912616911241,Iovotosi,MoVimento 5 Stelle Camera,4371
102738368201188,Alessandro Totaro,Alessandro Totaro,4210
1791339391078358,Davide D' Errico,Davide D'Errico,4081
103999534747538,Antonella Pepe,Antonella Pepe,4052
77034286895,Partito Democratico,These ads ran without a disclaimer,4042
113071918732530,Animal Equality Italia,Animal Equality Italia,3986
40433567307,UNICEF Italia,These ads ran without a disclaimer,3984
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,3963
201484606557114,Fotovoltaico per Te,These ads ran without a disclaimer,3803
100103075241780,Fondazione Laps,Fondazione Laps,3797
1018265751626002,Domenico Mauro,Domenico Mauro,3706
117266648305733,LifeGate,LifeGate,3657
119405039728091,Giuliano Granato,Potere al Popolo,3590
270397229970888,Lucia Fortini,Lucia Fortini,3574
102913007801451,Il Riformista,Il Riformista Romeo Editore,3550
425820797979047,Carmine Spiaggia,Carmine Spiaggia,3544
38919827644,Giorgia Meloni,Fratelli d'Italia,3536
120658594712185,Erminia Mazzoni,Erminia Mazzoni,3431
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,3401
113765190394167,Mario Ascierto,Mario Ascierto,3383
172265396249029,Forza Italia,These ads ran without a disclaimer,3329
1705020549766880,Massimo Schiavone,Bertolino Andrea,3303
313559438694166,VIDAS - Assistenza ai Malati inguaribili,VIDAS - Assistenza ai Malati inguaribili,3297
422372041241104,Michele Cammarano,Michele Cammarano,3286
406187203142799,Luciano Nobili,Luciano Nobili,3208
455750777797919,Farmacie UniClub,Farmacie UniClub,3160
53388213256,Vincenzo De Luca,These ads ran without a disclaimer,3155
421539548423434,SOS Rifugiati,These ads ran without a disclaimer,3137
360133591158746,zeroCO2,zeroCO2,3129
1561559094125855,Gianluca Daniele,Gianluca Daniele,3116
188176378303931,Kaitiaki,Kaitiaki Srl,3104
107898832590939,European Commission,These ads ran without a disclaimer,3103
172265396249029,Forza Italia,Forza Italia,3081
343584756259146,Al fianco delle Donne,Amref Health Africa - Italia,3067
109491080460389,Bambine Non Spose,WeWorld Onlus,3065
40645773554,Aldo Patriciello,Aldo Patriciello,3054
694642417262339,Sparanise In Movimento,Salvatore Martiello,3026
551302731738349,Peppe Razzano,Giuseppe Razzano,3020
340472676679938,Capire il cambiamento climatico,OTM Company Srl,3015
100717421797752,Medic Shop+,MedicShop,3007
1624334387651107,Angela Russo,Angela Russo,2999
376113702438564,Levissima,These ads ran without a disclaimer,2967
154144331904379,Marta Schifone,SocialCom,2955
1000392486681830,Italia Viva,Italia Viva,2912
100896914607046,dejan_cetnikovic,Dejan Cetnikovic,2903
437240109669063,Autonomi e Partite Iva - Eugenio Filograna,These ads ran without a disclaimer,2872
136888059662453,Mani Tese Ong Onlus,Mani Tese Ong Onlus,2854
130748560281809,Eurosatellite,Giovanni Battista Magro,2841
503758879804176,Mario Coppeto,Graficamente srl,2841
118713758151850,UNHCR Italia - Agenzia ONU per i Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,2837
698743116897167,Valeria Valente,Valeria Valente,2732
109124290780727,Protectia,Luca Magnani,2702
113335124914,Matteo Renzi,Comitati Ritorno al Futuro - Azione Civile - Italia Viva,2697
46284336597,Eau Thermale Avène,Eau Thermale Avène,2689
108341445894,Enel Group,Enel Group,2680
2130123750553944,Carmine Mocerino,Carmine Mocerino,2679
353868374653514,Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri,Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri,2661
109534260835332,Vincenzo Santangelo,Vincenzo Santangelo,2606
736079863175363,Nunzio Carpentieri,Nunzio Carpentieri,2594
1438041536488199,Michela Rostan,Michela Rostan,2573
1725281434468286,Patagonia,Patagonia,2569
33327548320,Croce Rossa Italiana - Italian Red Cross,Croce Rossa Italiana - Italian Red Cross,2529
366262847574964,Campania Il Nostro Posto,Severino Nappi,2497
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2495
109422234177715,Bernarda De Girolamo,Silvio Ragucci,2442
517836524946630,Humana Italia,Humana Italia,2442
1542098406066630,Stefano Graziano,Stefano Graziano,2410
674115289288309,Silenzi e falsità della stampa italiana,MFM,2400
48677844864,Amref Health Africa - Italia,These ads ran without a disclaimer,2389
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,2384
315849382340059,Giulio Gambino,TPI,2368
1812502662156167,Luigi Iovino,Luigi Iovino,2344
104652392900508,Deputati PD,Deputati PD,2310
657831660949139,Purina FELIX,These ads ran without a disclaimer,2287
52168168742,Armando Cesaro,Armando Cesaro,2284
437240109669063,Autonomi e Partite Iva - Eugenio Filograna,Eugenio Filograna,2258
1673669186277733,Freeda,Daniela Sparano,2255
124222689373650,Carolina Persico,Marco Durastante,2243
289518708781,AIESEC Italia,AIESEC Italia,2240
1638510526420491,Refugees Welcome Italia,Refugees Welcome Italia,2227
1450593071894311,Bussolini Design,Bussolini Design,2191
38423524033,Nicola Zingaretti,Partito Democratico,2183
503567226377662,Centro Narconon "Il Gabbiano",These ads ran without a disclaimer,2180
111466783780919,Anita Amato M5S,Anita Amato,2167
103826658043070,Autilia Carillo,NWM MEDIA,2149
