Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,198781
252306033154,Matteo Salvini,Lega - Salvini Premier,86048
775663779243853,Lucia Borgonzoni,Lega - Salvini Premier,76874
264302983606606,Stefano Bonaccini,Stefano Bonaccini,56347
178362315106,European Parliament,European Parliament,52343
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,43718
40433567307,UNICEF Italia,UNICEF Italia,31143
73493613024,ActionAid Italia,ActionAid Italia,28481
103230474521983,Passaparola Emilia-Romagna,Passaparola Emilia-Romagna,27836
39993728498,Amnesty International - Italia,Amnesty International - Italia,25011
107898832590939,European Commission,European Commission,24160
109850810515922,Raffaella Raimondi,Raffaella Raimondi,21555
35346524498,Greenpeace Italia,Greenpeace Italia,17670
103827764737718,mascherine.it,mascherine.it,17269
183047736356,EMERGENCY,EMERGENCY,17220
900360899999206,Aquafarma,These ads ran without a disclaimer,15684
716882765141129,Emma Petitti,Emma Petitti,15218
126662574668084,Più Europa,Più Europa,14889
576664002355828,CIWF Italia,CIWF Italia,14507
214454558764681,Elly Schlein,Elly Schlein,14473
109432640544224,Federico Amico,Federico Amico,14015
693492780985618,HSI/Italia,HSI/Italia,11453
164370404088711,Cif,Unilever,11093
77034286895,Partito Democratico,Partito Democratico,10965
566860663494491,Marilena Pillati,Marilena Pillati,10743
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,10461
1410474395723679,Petizioni.it,Petizioni.it,9957
208046335427,Coop Alleanza 3.0,Chiara Trojsi,9557
37616066366,Gino Strada,EMERGENCY,9380
283875259134028,Forza Italia Emilia-Romagna,Forza Italia Emilia-Romagna,9304
150200761667597,Oxfam Italia,Oxfam Italia,8751
88997912868,WWF Italia,WWF Italia,8690
635426593771612,Ocean Words,Rio Mare,8270
331513123718905,Sprite,Coca-Cola,8151
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,7617
116716651695782,Silvio Berlusconi,Silvio Berlusconi,7342
100964541456650,Will media,Will Media,6861
106626487721376,Amazon Europe,Amazon Europe,6689
186041014771695,LINES,LINES,6638
1508610365842423,Verdi - Europa Verde Emilia-Romagna,Federazione dei Verdi Emilia-Romagna,6628
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,6597
355710427861591,Fratelli d'Italia,Fratelli d'Italia,6558
195548473824552,Associazione Diplomatici,Associazione Diplomatici,6555
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,6215
131887960826264,Carlo Calenda,Azione,5919
113335124914,Matteo Renzi,Italia Viva,5826
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,5729
112487893602076,Simona Caselli,Alessandro Anceschi,5695
131887960826264,Carlo Calenda,Siamo Europei,5611
100717421797752,Medic Shop+,MedicShop,5402
1410474395723679,Petizioni.it,Silvano Facchinetti,5180
1015853455157037,Acea Gruppo,Acea,5167
182120865170178,Gianluigi Paragone,Gianluigi Paragone,4982
104287934370503,Francesca Maletti,Francesca Maletti,4970
156149777783739,Facebook app,Facebook,4961
289752771388757,Culligan Italiana,Culligan Italiana,4884
989254441140391,Fabbri Marco,Marco Fabbri,4774
40433567307,UNICEF Italia,These ads ran without a disclaimer,4735
405291650226189,Lista Civica Cambiamo,Andrea Rossi,4676
274401889720052,Katia Tarasconi,Katia Tarasconi,4666
1490311121245235,Lia Montalti,Lia Montalti,4641
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,4496
1657214567845698,BPER Banca,BPER Banca,4352
1525666877712653,Coca-Cola,Coca-Cola,4279
360133591158746,zeroCO2,zeroCO2,4189
389585871653842,Massimiliano Santini,Massimiliano Ghelfi,4170
185304218340791,Alessio Mammi,Alessio Mammi,4166
206538383573849,RomagnaCase.it,Romagna Case,4138
554943434517746,Carte D'Or,Unilever,4054
647691558631437,Gian Carlo Muzzarelli per Modena,Gian Carlo Muzzarelli per Modena,4025
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,3958
38919827644,Giorgia Meloni,Fratelli d'Italia,3901
113000566832587,Andrea Costa,Andrea Costa,3867
156922821011409,Timberland,PHD Media,3856
117266648305733,LifeGate,LifeGate,3855
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,3835
468211006719345,Confcommercio,Confcommercio,3809
146169045979888,Anna Maria Bernini,Anna Maria Bernini,3768
635426593771612,Ocean Words,These ads ran without a disclaimer,3531
249206709289799,Marco Cardona,Marco Cardona,3505
1854930514569648,Carmen Cappello,Carmela Cappello,3478
241937025884890,Colgate Italia,Colgate Italia,3474
303708057200,Stefano Cavalli Lega Piacenza,Stefano Cavalli,3246
101657427992245,Giorgia De Giacomi,Giorgia De Giacomi,3212
586556718504769,Raffaele Donini,Raffaele Donini,3172
77034286895,Partito Democratico,These ads ran without a disclaimer,3132
113335124914,Matteo Renzi,Comitati Ritorno al Futuro - Azione Civile - Italia Viva,3107
1450593071894311,Bussolini Design,Bussolini Design,3080
245475858955495,Luca Vecchi,Comitato Elettorale Luca Vecchi 2024,3062
535957553569891,Nicola Rossi,Nicola Rossi,3033
1220083278166465,My KAI,Unilever,2975
850314868332850,Ottavia Soncini,Ottavia Soncini,2975
1773694896182795,VD,Videodrome,2962
299584710061488,WeWorld Onlus,WeWorld Onlus,2935
116035116868358,Maskproof,Maskproof®,2902
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,2861
53347533412,LAV,LAV,2810
46590675335,Save the Children Italia,These ads ran without a disclaimer,2765
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,2742
1560870394132809,Francesca Marchetti,Francesca Marchetti,2619
1558017574410137,Matteo Rancan,Matteo Rancan,2588
2182237772091494,Movimento 3V,Movimento 3V - Vaccini Vogliamo Verità,2584
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,2554
822028764839310,Elisabetta Gualmini,Elisabetta Gualmini,2547
313559438694166,VIDAS - Assistenza ai Malati inguaribili,VIDAS - Assistenza ai Malati inguaribili,2532
104652392900508,Deputati PD,Deputati PD,2525
104562850951765,Fabio Callori,Fabio Callori,2505
406187203142799,Luciano Nobili,Luciano Nobili,2504
441907505922632,Paolo De Castro,Paolo De Castro,2471
204493693449796,Matteo Gazzini,Matteo Gazzini,2429
102573121100839,Andrea Corsini,Andrea Corsini,2410
1638510526420491,Refugees Welcome Italia,Refugees Welcome Italia,2339
1197558557023437,Capitan Findus,Findus Italia,2338
136888059662453,Mani Tese Ong Onlus,Mani Tese Ong Onlus,2333
109099683893634,Carlo Fagioli,Comitato Elettorale Carlo Fagioli Comm. Resp. Paola Azilli,2327
289518708781,AIESEC Italia,AIESEC Italia,2308
113071918732530,Animal Equality Italia,Animal Equality Italia,2307
324659087936362,CarClinic,CAR CLINIC SRL,2263
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,2236
104768397622911,Stefano Caliandro,Stefano Caliandro,2224
709748635771646,Luca Sabattini,Luca Sabattini,2144
421539548423434,SOS Rifugiati,These ads ran without a disclaimer,2144
1168815166600773,Fab,Fab,2129
151183154977624,Daniele Marchetti,Daniele Marchetti,2110
146790728704771,Pietro Vignali,Pietro Vignali,2085
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,2079
118713758151850,UNHCR Italia - Agenzia ONU per i Rifugiati,These ads ran without a disclaimer,2026
220712121278700,Francesca Scarano,Manuele Luppi,2022
217810366941,Left,Left,2004
196965250328047,Francesca Puglisi,Francesca Puglisi,2003
315849382340059,Giulio Gambino,TPI,1975
191585464317302,Cécile  Kyenge Kashetu,Cécile  Kyenge Kashetu,1975
740380199679755,Antonio Silvio Calò,Antonio Silvio Calò,1951
1448101522079687,Onlymoso,Onlymoso,1939
625590310861100,Giancarlo Tagliaferri,Giancarlo Tagliaferri,1937
1725281434468286,Patagonia,Patagonia,1924
1000392486681830,Italia Viva,Italia Viva,1912
575901269205920,Massimiliano Pompignoli,Massimiliano Pompignoli,1909
343584756259146,Al fianco delle Donne,Amref Health Africa - Italia,1883
118591018251602,Senatori PD,Senatori PD,1880
1487835114826768,Luciana Serri,Luciana Serri,1863
60235153066,On. Gianluca Vinci,Gianluca Vinci,1858
