Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,42585
178362315106,European Parliament,European Parliament,12497
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,9748
40433567307,UNICEF Italia,UNICEF Italia,6658
107898832590939,European Commission,European Commission,6003
39993728498,Amnesty International - Italia,Amnesty International - Italia,5818
73493613024,ActionAid Italia,ActionAid Italia,5789
103827764737718,mascherine.it,mascherine.it,4239
35346524498,Greenpeace Italia,Greenpeace Italia,4048
183047736356,EMERGENCY,EMERGENCY,3997
576664002355828,CIWF Italia,CIWF Italia,3735
1676582112422226,Walter Zalukar,Walter Zalukar,3564
900360899999206,Aquafarma,These ads ran without a disclaimer,3249
252306033154,Matteo Salvini,Lega - Salvini Premier,2616
693492780985618,HSI/Italia,HSI/Italia,2609
1410474395723679,Petizioni.it,Petizioni.it,2585
164370404088711,Cif,Unilever,2509
133572500153943,Francesco Russo,Francesco Russo,2354
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,2235
150200761667597,Oxfam Italia,Oxfam Italia,2082
37616066366,Gino Strada,EMERGENCY,2011
772439236200402,Patto per l'Autonomia,Patto per l'Autonomia,1985
331513123718905,Sprite,Coca-Cola,1982
635426593771612,Ocean Words,Rio Mare,1980
88997912868,WWF Italia,WWF Italia,1958
77034286895,Partito Democratico,Partito Democratico,1849
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,1806
100964541456650,Will media,Will Media,1762
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,1726
2369219559883447,EstEnergy SpA,EstEnergy S.p.a.,1623
106626487721376,Amazon Europe,Amazon Europe,1582
116716651695782,Silvio Berlusconi,Silvio Berlusconi,1577
182120865170178,Gianluigi Paragone,Gianluigi Paragone,1571
186041014771695,LINES,LINES,1568
521834031533123,Marco Dreosto,Marco Dreosto,1526
100717421797752,Medic Shop+,MedicShop,1460
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1427
298085074056860,Antonio Calligaris,Antonio Calligaris,1397
1410474395723679,Petizioni.it,Silvano Facchinetti,1356
319859381838996,Laura Stabile,Laura Stabile,1332
1015853455157037,Acea Gruppo,Acea,1305
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,1222
204493693449796,Matteo Gazzini,Matteo Gazzini,1187
131887960826264,Carlo Calenda,Azione,1176
113335124914,Matteo Renzi,Italia Viva,1153
156149777783739,Facebook app,Facebook,1091
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,1079
131887960826264,Carlo Calenda,Siamo Europei,1029
360133591158746,zeroCO2,zeroCO2,1018
389585871653842,Massimiliano Santini,Massimiliano Ghelfi,980
208046335427,Coop Alleanza 3.0,Chiara Trojsi,955
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,951
117266648305733,LifeGate,LifeGate,950
1525666877712653,Coca-Cola,Coca-Cola,949
40433567307,UNICEF Italia,These ads ran without a disclaimer,930
152661171597544,Isabella De Monte,Walter Godina - Mandatario Elettorale di Isabella De Monte,918
146169045979888,Anna Maria Bernini,Anna Maria Bernini,916
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,881
554943434517746,Carte D'Or,Unilever,867
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,854
116035116868358,Maskproof,Maskproof®,846
298085074056860,Antonio Calligaris,These ads ran without a disclaimer,838
635426593771612,Ocean Words,These ads ran without a disclaimer,835
289518708781,AIESEC Italia,AIESEC Italia,816
241937025884890,Colgate Italia,Colgate Italia,810
38919827644,Giorgia Meloni,Fratelli d'Italia,796
1773694896182795,VD,Videodrome,794
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,773
324228571405443,Luca Sut,Luca Sut,771
355710427861591,Fratelli d'Italia,Fratelli d'Italia,770
299584710061488,WeWorld Onlus,WeWorld Onlus,729
169654563482312,Sergio Emidio Bini,Sergio Emidio Bini,695
1438845349558345,Tatjana ROJC Senator,Giorgio Kufersin,683
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,665
462862687580578,Monica Canciani per Trieste,Monica Canciani,636
312956335872216,Massimo Moretuzzo,Massimo Moretuzzo,629
53347533412,LAV,LAV,622
180329672596502,Fratelli d'Italia Senato,Fratelli d'Italia Senato,612
113071918732530,Animal Equality Italia,Animal Equality Italia,601
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,597
287539351688695,Marika Diminutto - Fratelli d'Italia,Marika Diminutto,582
313559438694166,VIDAS - Assistenza ai Malati inguaribili,VIDAS - Assistenza ai Malati inguaribili,573
