Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,321135
178362315106,European Parliament,European Parliament,76932
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,62062
40433567307,UNICEF Italia,UNICEF Italia,53608
73493613024,ActionAid Italia,ActionAid Italia,49329
39993728498,Amnesty International - Italia,Amnesty International - Italia,38667
107898832590939,European Commission,European Commission,35619
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,32266
183047736356,EMERGENCY,EMERGENCY,23281
35346524498,Greenpeace Italia,Greenpeace Italia,22798
131887960826264,Carlo Calenda,Azione,22626
252306033154,Matteo Salvini,Lega - Salvini Premier,21838
103827764737718,mascherine.it,mascherine.it,20944
164370404088711,Cif,Unilever,18907
576664002355828,CIWF Italia,CIWF Italia,18890
77034286895,Partito Democratico,Partito Democratico,18585
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,18143
626058230885020,Tobia Zevi,Tobia Zevi,17993
693492780985618,HSI/Italia,HSI/Italia,15301
1410474395723679,Petizioni.it,Petizioni.it,15079
150200761667597,Oxfam Italia,Oxfam Italia,12654
635426593771612,Ocean Words,Rio Mare,12559
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,12362
37616066366,Gino Strada,EMERGENCY,12130
331513123718905,Sprite,Coca-Cola,11486
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,11193
88997912868,WWF Italia,WWF Italia,10824
100964541456650,Will media,Will Media,10598
1638510526420491,Refugees Welcome Italia,Refugees Welcome Italia,10236
106626487721376,Amazon Europe,Amazon Europe,10154
156149777783739,Facebook app,Facebook,9888
156922821011409,Timberland,PHD Media,9820
186041014771695,LINES,LINES,9592
195548473824552,Associazione Diplomatici,Associazione Diplomatici,8834
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,8481
630856663649596,Regione Lazio,Regione Lazio,8280
113335124914,Matteo Renzi,Italia Viva,8194
182120865170178,Gianluigi Paragone,Gianluigi Paragone,8130
1015853455157037,Acea Gruppo,Acea,7839
117266648305733,LifeGate,LifeGate,7601
